epoch,n_inner_folds,mean_validation_balanced_accuracy,mean_validation_macro_f1,mean_validation_loss
1,3,0.5374396135265701,0.3920793218422718,0.7114083477428981
2,3,0.4915458937198068,0.3639862132538072,0.7020306609925769
3,3,0.5,0.3434353431780092,0.6963433186213175
4,3,0.49382716049382713,0.3404201162821852,0.6939990747542608
5,3,0.510615927282594,0.39537835249042147,0.6919224534715925
6,3,0.5595238095238095,0.4783178218104878,0.692515774567922
7,3,0.5080279355641675,0.4619420702754036,0.6910139401753744
8,3,0.5135106439454266,0.4201412622465254,0.6917679417700994
9,3,0.5271790742805235,0.4323586744639376,0.6926791929063342
10,3,0.48116074746509524,0.42196772429330576,0.6908019735699608
11,3,0.5119585862339485,0.5054409300377043,0.689071574097588
