experiment,n,accuracy,balanced_accuracy,macro_f1,per_class_recall,per_class_precision,per_class_f1,support,mae,quadratic_weighted_kappa
video_raw,140,0.5357142857142857,0.47679924242424243,0.47674084296475183,"[0.6354166666666666, 0.3181818181818182]","[0.6703296703296703, 0.2857142857142857]","[0.6524064171122994, 0.30107526881720426]","[96, 44]",0.4642857142857143,-0.045016077170418
video_trial_delta,140,0.5142857142857142,0.43655303030303033,0.43655303030303033,"[0.6458333333333334, 0.22727272727272727]","[0.6458333333333334, 0.22727272727272727]","[0.6458333333333334, 0.22727272727272727]","[96, 44]",0.4857142857142857,-0.12689393939393945
video_water_delta,140,0.4714285714285714,0.4114583333333333,0.4134963768115942,"[0.5729166666666666, 0.25]","[0.625, 0.21153846153846154]","[0.5978260869565217, 0.22916666666666666]","[96, 44]",0.5285714285714286,-0.16877256317689526
