task,model,accuracy,f1_macro,mean_fold_acc,std_fold_acc,chance
substance,eegnet,0.5109489051094891,0.506505376344086,0.5118577075098815,0.12196787793462915,0.5
substance,shallowconvnet,0.5328467153284672,0.5322236448997013,0.5329380764163373,0.11594296472253848,0.5
intensity,eegnet,0.32116788321167883,0.32124679486230856,0.32180500658761524,0.15303698124618292,0.3333333333333333
intensity,shallowconvnet,0.36496350364963503,0.3646902463279775,0.3656126482213438,0.11096368158949027,0.3333333333333333
