experiment,n,accuracy,balanced_accuracy,macro_f1,per_class_recall,per_class_precision,per_class_f1,support,mae,quadratic_weighted_kappa
code_only,140,0.6428571428571429,0.6286031042128603,0.624892119009766,"[0.8181818181818182, 0.4090909090909091, 0.6585365853658537]","[0.8035714285714286, 0.45, 0.6136363636363636]","[0.8108108108108109, 0.4285714285714286, 0.6352941176470588]","[55, 44, 41]",0.37142857142857144,0.7107438016528925
face_raw,140,0.39285714285714285,0.38407243163340726,0.38250213128729754,"[0.4909090909090909, 0.29545454545454547, 0.36585365853658536]","[0.45, 0.3611111111111111, 0.3409090909090909]","[0.46956521739130436, 0.325, 0.3529411764705882]","[55, 44, 41]",0.8285714285714286,0.0955284552845529
face_trial_delta,140,0.40714285714285714,0.3997782705099778,0.3987649777123461,"[0.4909090909090909, 0.3181818181818182, 0.3902439024390244]","[0.4576271186440678, 0.4117647058823529, 0.3404255319148936]","[0.4736842105263158, 0.358974358974359, 0.36363636363636365]","[55, 44, 41]",0.8285714285714286,0.08817635270541091
face_water_delta,140,0.35714285714285715,0.353769401330377,0.3536787942630257,"[0.4, 0.29545454545454547, 0.36585365853658536]","[0.38596491228070173, 0.30952380952380953, 0.36585365853658536]","[0.3928571428571429, 0.3023255813953489, 0.36585365853658536]","[55, 44, 41]",0.8571428571428571,0.05660377358490576
fusion_raw,140,0.65,0.6367331855136733,0.6311711206580846,"[0.8181818181818182, 0.4090909090909091, 0.6829268292682927]","[0.8035714285714286, 0.47368421052631576, 0.6086956521739131]","[0.8108108108108109, 0.43902439024390244, 0.6436781609195402]","[55, 44, 41]",0.37142857142857144,0.7040816326530612
fusion_trial_delta,140,0.6428571428571429,0.6286031042128603,0.6241509091046777,"[0.8181818181818182, 0.4090909090909091, 0.6585365853658537]","[0.8035714285714286, 0.46153846153846156, 0.6]","[0.8108108108108109, 0.4337349397590362, 0.627906976744186]","[55, 44, 41]",0.37857142857142856,0.6971252566735113
fusion_water_delta,140,0.6357142857142857,0.6199186991869919,0.6176799635516858,"[0.8181818181818182, 0.4318181818181818, 0.6097560975609756]","[0.7894736842105263, 0.4634146341463415, 0.5952380952380952]","[0.8035714285714286, 0.4470588235294118, 0.6024096385542169]","[55, 44, 41]",0.39285714285714285,0.671875
