dataset,model,sampling,K,n_feat,accuracy,balanced_acc,f1_macro,rec_vua,rec_oth,oracle_bacc,oracle_thr
combined,XGB_gpu,none,20,1417,0.6723,0.5496,0.5502,0.3103,0.7889,0.5747,0.32
combined,XGB_gpu,none,25,1417,0.6975,0.5663,0.5688,0.3103,0.8222,0.5996,0.56
combined,XGB_gpu,none,30,1417,0.7311,0.6236,0.6264,0.4138,0.8333,0.6352,0.45
combined,XGB_gpu,none,35,1417,0.7143,0.5774,0.5817,0.3103,0.8444,0.6192,0.39
combined,GradBoost,none,5,1417,0.6134,0.4757,0.4757,0.2069,0.7444,0.4889,0.9
combined,GradBoost,none,10,1417,0.6218,0.4695,0.468,0.1724,0.7667,0.5703,0.15
combined,GradBoost,none,15,1417,0.6723,0.5029,0.4989,0.1724,0.8333,0.5603,0.1
combined,GradBoost,none,20,1417,0.6975,0.5079,0.4981,0.1379,0.8778,0.5887,0.1
combined,GradBoost,none,25,1417,0.6807,0.4967,0.488,0.1379,0.8556,0.5542,0.13
combined,GradBoost,none,30,1417,0.6975,0.5195,0.5149,0.1724,0.8667,0.5692,0.16
combined,GradBoost,none,35,1417,0.6555,0.4684,0.4565,0.1034,0.8333,0.5536,0.12
combined,XGB_gpu,smote,5,1417,0.4874,0.4508,0.4358,0.3793,0.5222,0.5268,0.83
combined,XGB_gpu,smote,10,1417,0.5798,0.5352,0.5167,0.4483,0.6222,0.5352,0.48
combined,XGB_gpu,smote,15,1417,0.563,0.5358,0.5104,0.4828,0.5889,0.577,0.41
combined,XGB_gpu,smote,20,1417,0.6134,0.5692,0.5489,0.4828,0.6556,0.5952,0.7
combined,XGB_gpu,smote,25,1417,0.6134,0.5575,0.542,0.4483,0.6667,0.573,0.57
combined,XGB_gpu,smote,30,1417,0.6303,0.5803,0.5619,0.4828,0.6778,0.6215,0.43
combined,XGB_gpu,smote,35,1417,0.6387,0.6092,0.5814,0.5517,0.6667,0.6092,0.5
combined,GradBoost,smote,5,1417,0.605,0.5169,0.5118,0.3448,0.6889,0.5613,0.58
combined,GradBoost,smote,10,1417,0.5798,0.4768,0.4759,0.2759,0.6778,0.5414,0.34
combined,GradBoost,smote,15,1417,0.5798,0.4768,0.4759,0.2759,0.6778,0.5312,0.76
combined,GradBoost,smote,20,1417,0.6303,0.5569,0.5471,0.4138,0.7,0.5958,0.57
combined,GradBoost,smote,25,1417,0.6807,0.5435,0.5449,0.2759,0.8111,0.5732,0.16
combined,GradBoost,smote,30,1417,0.6891,0.5724,0.5732,0.3448,0.8,0.6019,0.44
combined,GradBoost,smote,35,1417,0.6975,0.5663,0.5688,0.3103,0.8222,0.5943,0.19
