epoch,loss,accuracy
1,0.6588627880269831,0.33636363636363636
2,0.6502901738340204,0.38181818181818183
3,0.6160374132069675,0.4727272727272727
4,0.6253634203564037,0.45454545454545453
5,0.5935104337605563,0.4727272727272727
6,0.5847553968429565,0.4909090909090909
7,0.5562515703114597,0.5272727272727272
8,0.5357966097918424,0.5454545454545454
9,0.5359196261926131,0.5363636363636364
10,0.5390761603008617,0.5727272727272728
11,0.5606172128157182,0.509090909090909
12,0.5334124055775729,0.5
13,0.5476934920657764,0.5181818181818182
