fold,experiment,n_inner_folds,n_train_conditions,n_test_conditions,train_subjects,test_subjects,selected_k_features,selected_C,n,accuracy,balanced_accuracy,macro_f1,per_class_recall,per_class_precision,per_class_f1,support,mae,quadratic_weighted_kappa
1,video_raw,3,110,30,P001|P002|P005|P006|P007|P008|P009|P010|P014|P015|P016|P017|P018|P019|P020|P021|P023|P025|P026|P028|P029|P030,P003|P004|P011|P013|P024|P027,32,1.0,30,0.4666666666666667,0.45,0.4444444444444444,"[0.5, 0.4]","[0.625, 0.2857142857142857]","[0.5555555555555556, 0.3333333333333333]","[20, 10]",0.5333333333333333,-0.09090909090909083
1,video_trial_delta,3,110,30,P001|P002|P005|P006|P007|P008|P009|P010|P014|P015|P016|P017|P018|P019|P020|P021|P023|P025|P026|P028|P029|P030,P003|P004|P011|P013|P024|P027,32,1.0,30,0.4666666666666667,0.4,0.4,"[0.6, 0.2]","[0.6, 0.2]","[0.6, 0.20000000000000004]","[20, 10]",0.5333333333333333,-0.19999999999999996
1,video_water_delta,3,110,30,P001|P002|P005|P006|P007|P008|P009|P010|P014|P015|P016|P017|P018|P019|P020|P021|P023|P025|P026|P028|P029|P030,P003|P004|P011|P013|P024|P027,32,0.01,30,0.4666666666666667,0.45,0.4444444444444444,"[0.5, 0.4]","[0.625, 0.2857142857142857]","[0.5555555555555556, 0.3333333333333333]","[20, 10]",0.5333333333333333,-0.09090909090909083
2,video_raw,3,110,30,P002|P003|P004|P006|P007|P008|P009|P010|P011|P013|P014|P016|P017|P018|P019|P024|P025|P026|P027|P028|P029|P030,P001|P005|P015|P020|P021|P023,64,0.1,30,0.5666666666666667,0.4365079365079365,0.4222222222222222,"[0.7619047619047619, 0.1111111111111111]","[0.6666666666666666, 0.16666666666666666]","[0.7111111111111111, 0.13333333333333333]","[21, 9]",0.43333333333333335,-0.14035087719298245
2,video_trial_delta,3,110,30,P002|P003|P004|P006|P007|P008|P009|P010|P011|P013|P014|P016|P017|P018|P019|P024|P025|P026|P027|P028|P029|P030,P001|P005|P015|P020|P021|P023,64,1.0,30,0.5333333333333333,0.4444444444444444,0.4444444444444444,"[0.6666666666666666, 0.2222222222222222]","[0.6666666666666666, 0.2222222222222222]","[0.6666666666666666, 0.2222222222222222]","[21, 9]",0.4666666666666667,-0.11111111111111116
2,video_water_delta,3,110,30,P002|P003|P004|P006|P007|P008|P009|P010|P011|P013|P014|P016|P017|P018|P019|P024|P025|P026|P027|P028|P029|P030,P001|P005|P015|P020|P021|P023,32,1.0,30,0.6,0.42857142857142855,0.375,"[0.8571428571428571, 0.0]","[0.6666666666666666, 0.0]","[0.75, 0.0]","[21, 9]",0.4,-0.17647058823529416
3,video_raw,3,110,30,P001|P002|P003|P004|P005|P008|P009|P010|P011|P013|P015|P018|P019|P020|P021|P023|P024|P025|P026|P027|P028|P029,P006|P007|P014|P016|P017|P030,64,1.0,30,0.5,0.38888888888888884,0.3844049247606019,"[0.6666666666666666, 0.1111111111111111]","[0.6363636363636364, 0.125]","[0.6511627906976744, 0.11764705882352941]","[21, 9]",0.5,-0.2295081967213115
3,video_trial_delta,3,110,30,P001|P002|P003|P004|P005|P008|P009|P010|P011|P013|P015|P018|P019|P020|P021|P023|P024|P025|P026|P027|P028|P029,P006|P007|P014|P016|P017|P030,16,0.01,30,0.4,0.38095238095238093,0.375,"[0.42857142857142855, 0.3333333333333333]","[0.6, 0.2]","[0.5, 0.25]","[21, 9]",0.6,-0.19999999999999996
3,video_water_delta,3,110,30,P001|P002|P003|P004|P005|P008|P009|P010|P011|P013|P015|P018|P019|P020|P021|P023|P024|P025|P026|P027|P028|P029,P006|P007|P014|P016|P017|P030,64,1.0,30,0.26666666666666666,0.25396825396825395,0.25339366515837103,"[0.2857142857142857, 0.2222222222222222]","[0.46153846153846156, 0.11764705882352941]","[0.35294117647058826, 0.15384615384615383]","[21, 9]",0.7333333333333333,-0.3924050632911391
4,video_raw,3,115,25,P001|P002|P003|P004|P005|P006|P007|P009|P011|P013|P014|P015|P016|P017|P020|P021|P023|P024|P025|P027|P028|P029|P030,P008|P010|P018|P019|P026,32,0.1,25,0.52,0.5357142857142857,0.5,"[0.5, 0.5714285714285714]","[0.75, 0.3076923076923077]","[0.6, 0.4]","[18, 7]",0.48,0.05660377358490554
