fold,experiment,rank_by_training_f_score,summary_feature_index,training_f_score,node,source_feature,statistic,feature_family
4,video_trial_delta,53,838,4.358253479003906,brow_left_outer,velocity_aspect,absolute_mean,absolute_motion
4,video_trial_delta,54,892,4.349916458129883,eye_left_lower,velocity_x,absolute_quantile_90,absolute_motion
4,video_trial_delta,55,360,4.286890506744385,eye_right_upper,velocity_y,mean,temporal
4,video_trial_delta,56,411,4.286539077758789,eye_right_lower,velocity_x,quantile_90,temporal
4,video_trial_delta,57,824,4.278628349304199,brow_left_inner,velocity_aspect,absolute_quantile_90,absolute_motion
4,video_trial_delta,58,579,4.235650539398193,nose_alar_right,velocity_y,quantile_90,temporal
4,video_trial_delta,59,811,4.217862129211426,brow_left_inner,velocity_x,absolute_std,absolute_motion
4,video_trial_delta,60,826,4.208463191986084,brow_left_outer,velocity_x,absolute_mean,absolute_motion
4,video_trial_delta,61,591,4.160204887390137,nose_alar_right,velocity_aspect,quantile_90,temporal
4,video_trial_delta,62,503,4.154044151306152,nose_alar_left,cz,temporal_slope,temporal
4,video_trial_delta,63,818,4.106836795806885,brow_left_inner,velocity_area,absolute_mean,absolute_motion
4,video_trial_delta,64,1017,4.0877203941345215,lower_lip,velocity_aspect,absolute_max,absolute_motion
4,video_water_delta,1,38,8.91702651977539,brow_left_inner,velocity_y,quantile_10,temporal
4,video_water_delta,2,824,7.830968856811523,brow_left_inner,velocity_aspect,absolute_quantile_90,absolute_motion
4,video_water_delta,3,892,6.882215976715088,eye_left_lower,velocity_x,absolute_quantile_90,absolute_motion
4,video_water_delta,4,301,6.776930332183838,eye_left_lower,velocity_x,std,temporal
4,video_water_delta,5,876,6.586238861083984,eye_left_upper,velocity_x,absolute_quantile_90,absolute_motion
4,video_water_delta,6,814,6.5373640060424805,brow_left_inner,velocity_y,absolute_mean,absolute_motion
4,video_water_delta,7,811,6.432663440704346,brow_left_inner,velocity_x,absolute_std,absolute_motion
4,video_water_delta,8,890,6.270092010498047,eye_left_lower,velocity_x,absolute_mean,absolute_motion
4,video_water_delta,9,351,6.1777801513671875,eye_right_upper,aspect,quantile_90,temporal
4,video_water_delta,10,891,6.0780510902404785,eye_left_lower,velocity_x,absolute_std,absolute_motion
4,video_water_delta,11,31,5.916311740875244,brow_left_inner,velocity_x,std,temporal
4,video_water_delta,12,49,5.792149066925049,brow_left_inner,velocity_aspect,std,temporal
4,video_water_delta,13,816,5.692054748535156,brow_left_inner,velocity_y,absolute_quantile_90,absolute_motion
4,video_water_delta,14,823,5.6319193840026855,brow_left_inner,velocity_aspect,absolute_std,absolute_motion
4,video_water_delta,15,874,5.623940944671631,eye_left_upper,velocity_x,absolute_mean,absolute_motion
4,video_water_delta,16,247,5.537895202636719,eye_left_upper,velocity_x,std,temporal
5,video_raw,1,50,8.085803985595703,brow_left_inner,velocity_aspect,quantile_10,temporal
5,video_raw,2,33,8.02859115600586,brow_left_inner,velocity_x,quantile_90,temporal
5,video_raw,3,87,7.817385196685791,brow_left_outer,velocity_x,quantile_90,temporal
5,video_raw,4,32,6.995034694671631,brow_left_inner,velocity_x,quantile_10,temporal
5,video_raw,5,49,6.8848795890808105,brow_left_inner,velocity_aspect,std,temporal
5,video_raw,6,810,6.798377990722656,brow_left_inner,velocity_x,absolute_mean,absolute_motion
5,video_raw,7,86,6.659562587738037,brow_left_outer,velocity_x,quantile_10,temporal
5,video_raw,8,823,6.543594837188721,brow_left_inner,velocity_aspect,absolute_std,absolute_motion
5,video_raw,9,822,6.5191569328308105,brow_left_inner,velocity_aspect,absolute_mean,absolute_motion
5,video_raw,10,31,6.168060779571533,brow_left_inner,velocity_x,std,temporal
5,video_raw,11,828,6.067225933074951,brow_left_outer,velocity_x,absolute_quantile_90,absolute_motion
5,video_raw,12,85,5.888427257537842,brow_left_outer,velocity_x,std,temporal
5,video_raw,13,303,5.887825012207031,eye_left_lower,velocity_x,quantile_90,temporal
5,video_raw,14,812,5.715065956115723,brow_left_inner,velocity_x,absolute_quantile_90,absolute_motion
5,video_raw,15,826,5.678223609924316,brow_left_outer,velocity_x,absolute_mean,absolute_motion
5,video_raw,16,104,5.608384132385254,brow_left_outer,velocity_aspect,quantile_10,temporal
5,video_raw,17,356,5.565577507019043,eye_right_upper,velocity_x,quantile_10,temporal
5,video_raw,18,51,5.4543328285217285,brow_left_inner,velocity_aspect,quantile_90,temporal
5,video_raw,19,38,5.436643600463867,brow_left_inner,velocity_y,quantile_10,temporal
5,video_raw,20,838,5.261467933654785,brow_left_outer,velocity_aspect,absolute_mean,absolute_motion
5,video_raw,21,103,5.161651611328125,brow_left_outer,velocity_aspect,std,temporal
5,video_raw,22,827,5.117221832275391,brow_left_outer,velocity_x,absolute_std,absolute_motion
5,video_raw,23,105,4.899141311645508,brow_left_outer,velocity_aspect,quantile_90,temporal
5,video_raw,24,479,4.8669610023498535,nose_bridge,velocity_area,temporal_slope,temporal
5,video_raw,25,818,4.827276706695557,brow_left_inner,velocity_area,absolute_mean,absolute_motion
5,video_raw,26,839,4.75788688659668,brow_left_outer,velocity_aspect,absolute_std,absolute_motion
5,video_raw,27,39,4.751924991607666,brow_left_inner,velocity_y,quantile_90,temporal
5,video_raw,28,25,4.73867654800415,brow_left_inner,aspect,std,temporal
5,video_raw,29,820,4.7011189460754395,brow_left_inner,velocity_area,absolute_quantile_90,absolute_motion
5,video_raw,30,811,4.678227424621582,brow_left_inner,velocity_x,absolute_std,absolute_motion
5,video_raw,31,824,4.645357131958008,brow_left_inner,velocity_aspect,absolute_quantile_90,absolute_motion
5,video_raw,32,411,4.498960018157959,eye_right_lower,velocity_x,quantile_90,temporal
5,video_trial_delta,1,50,8.085803985595703,brow_left_inner,velocity_aspect,quantile_10,temporal
5,video_trial_delta,2,33,8.02859115600586,brow_left_inner,velocity_x,quantile_90,temporal
5,video_trial_delta,3,87,7.817385196685791,brow_left_outer,velocity_x,quantile_90,temporal
5,video_trial_delta,4,32,6.995034694671631,brow_left_inner,velocity_x,quantile_10,temporal
5,video_trial_delta,5,49,6.8848795890808105,brow_left_inner,velocity_aspect,std,temporal
5,video_trial_delta,6,810,6.798377990722656,brow_left_inner,velocity_x,absolute_mean,absolute_motion
5,video_trial_delta,7,86,6.659562587738037,brow_left_outer,velocity_x,quantile_10,temporal
5,video_trial_delta,8,823,6.543594837188721,brow_left_inner,velocity_aspect,absolute_std,absolute_motion
5,video_trial_delta,9,822,6.5191569328308105,brow_left_inner,velocity_aspect,absolute_mean,absolute_motion
5,video_trial_delta,10,31,6.168060779571533,brow_left_inner,velocity_x,std,temporal
5,video_trial_delta,11,828,6.067225933074951,brow_left_outer,velocity_x,absolute_quantile_90,absolute_motion
5,video_trial_delta,12,85,5.888427257537842,brow_left_outer,velocity_x,std,temporal
5,video_trial_delta,13,303,5.887825012207031,eye_left_lower,velocity_x,quantile_90,temporal
5,video_trial_delta,14,812,5.715065956115723,brow_left_inner,velocity_x,absolute_quantile_90,absolute_motion
5,video_trial_delta,15,826,5.678223609924316,brow_left_outer,velocity_x,absolute_mean,absolute_motion
5,video_trial_delta,16,104,5.608384132385254,brow_left_outer,velocity_aspect,quantile_10,temporal
5,video_trial_delta,17,356,5.565577507019043,eye_right_upper,velocity_x,quantile_10,temporal
5,video_trial_delta,18,51,5.4543328285217285,brow_left_inner,velocity_aspect,quantile_90,temporal
5,video_trial_delta,19,38,5.436643600463867,brow_left_inner,velocity_y,quantile_10,temporal
5,video_trial_delta,20,838,5.261467933654785,brow_left_outer,velocity_aspect,absolute_mean,absolute_motion
5,video_trial_delta,21,103,5.161651611328125,brow_left_outer,velocity_aspect,std,temporal
5,video_trial_delta,22,827,5.117221832275391,brow_left_outer,velocity_x,absolute_std,absolute_motion
5,video_trial_delta,23,105,4.899141311645508,brow_left_outer,velocity_aspect,quantile_90,temporal
5,video_trial_delta,24,479,4.8669610023498535,nose_bridge,velocity_area,temporal_slope,temporal
5,video_trial_delta,25,818,4.827276706695557,brow_left_inner,velocity_area,absolute_mean,absolute_motion
5,video_trial_delta,26,839,4.75788688659668,brow_left_outer,velocity_aspect,absolute_std,absolute_motion
5,video_trial_delta,27,39,4.751924991607666,brow_left_inner,velocity_y,quantile_90,temporal
5,video_trial_delta,28,25,4.738677501678467,brow_left_inner,aspect,std,temporal
5,video_trial_delta,29,820,4.7011189460754395,brow_left_inner,velocity_area,absolute_quantile_90,absolute_motion
5,video_trial_delta,30,811,4.678227424621582,brow_left_inner,velocity_x,absolute_std,absolute_motion
5,video_trial_delta,31,824,4.645357131958008,brow_left_inner,velocity_aspect,absolute_quantile_90,absolute_motion
5,video_trial_delta,32,411,4.498960018157959,eye_right_lower,velocity_x,quantile_90,temporal
5,video_water_delta,1,31,6.2599334716796875,brow_left_inner,velocity_x,std,temporal
5,video_water_delta,2,811,6.205538749694824,brow_left_inner,velocity_x,absolute_std,absolute_motion
5,video_water_delta,3,824,6.06160831451416,brow_left_inner,velocity_aspect,absolute_quantile_90,absolute_motion
5,video_water_delta,4,810,5.816184043884277,brow_left_inner,velocity_x,absolute_mean,absolute_motion
5,video_water_delta,5,814,5.625863075256348,brow_left_inner,velocity_y,absolute_mean,absolute_motion
5,video_water_delta,6,33,5.500889778137207,brow_left_inner,velocity_x,quantile_90,temporal
5,video_water_delta,7,539,5.449747085571289,nose_alar_left,velocity_aspect,temporal_slope,temporal
5,video_water_delta,8,38,5.395281791687012,brow_left_inner,velocity_y,quantile_10,temporal
5,video_water_delta,9,399,5.056203842163086,eye_right_lower,area,quantile_90,temporal
5,video_water_delta,10,652,4.961660861968994,lower_lip,cx,late_minus_early,temporal
5,video_water_delta,11,350,4.954236030578613,eye_right_upper,aspect,quantile_10,temporal
5,video_water_delta,12,32,4.897287368774414,brow_left_inner,velocity_x,quantile_10,temporal
5,video_water_delta,13,812,4.83810567855835,brow_left_inner,velocity_x,absolute_quantile_90,absolute_motion
5,video_water_delta,14,191,4.80520486831665,brow_right_outer,aspect,temporal_slope,temporal
5,video_water_delta,15,190,4.796619892120361,brow_right_outer,aspect,late_minus_early,temporal
5,video_water_delta,16,893,4.747361660003662,eye_left_lower,velocity_x,absolute_max,absolute_motion
5,video_water_delta,17,37,4.730421543121338,brow_left_inner,velocity_y,std,temporal
5,video_water_delta,18,829,4.705538749694824,brow_left_outer,velocity_x,absolute_max,absolute_motion
5,video_water_delta,19,653,4.589791774749756,lower_lip,cx,temporal_slope,temporal
5,video_water_delta,20,49,4.509410381317139,brow_left_inner,velocity_aspect,std,temporal
5,video_water_delta,21,891,4.4718017578125,eye_left_lower,velocity_x,absolute_std,absolute_motion
5,video_water_delta,22,823,4.436331272125244,brow_left_inner,velocity_aspect,absolute_std,absolute_motion
5,video_water_delta,23,348,4.356379985809326,eye_right_upper,aspect,mean,temporal
5,video_water_delta,24,351,4.297868251800537,eye_right_upper,aspect,quantile_90,temporal
5,video_water_delta,25,827,4.288853168487549,brow_left_outer,velocity_x,absolute_std,absolute_motion
5,video_water_delta,26,822,4.216768264770508,brow_left_inner,velocity_aspect,absolute_mean,absolute_motion
5,video_water_delta,27,85,3.9736814498901367,brow_left_outer,velocity_x,std,temporal
5,video_water_delta,28,816,3.8849785327911377,brow_left_inner,velocity_y,absolute_quantile_90,absolute_motion
5,video_water_delta,29,301,3.883409261703491,eye_left_lower,velocity_x,std,temporal
5,video_water_delta,30,51,3.836270809173584,brow_left_inner,velocity_aspect,quantile_90,temporal
5,video_water_delta,31,892,3.812889337539673,eye_left_lower,velocity_x,absolute_quantile_90,absolute_motion
5,video_water_delta,32,876,3.4958691596984863,eye_left_upper,velocity_x,absolute_quantile_90,absolute_motion
5,video_water_delta,33,136,3.43851900100708,brow_right_inner,aspect,late_minus_early,temporal
5,video_water_delta,34,25,3.320737361907959,brow_left_inner,aspect,std,temporal
5,video_water_delta,35,826,3.2915775775909424,brow_left_outer,velocity_x,absolute_mean,absolute_motion
5,video_water_delta,36,59,3.27567982673645,brow_left_outer,cx,temporal_slope,temporal
5,video_water_delta,37,818,3.2660906314849854,brow_left_inner,velocity_area,absolute_mean,absolute_motion
5,video_water_delta,38,156,3.1629254817962646,brow_right_inner,velocity_aspect,mean,temporal
5,video_water_delta,39,266,3.118945837020874,eye_left_upper,velocity_aspect,quantile_10,temporal
5,video_water_delta,40,1041,3.1082162857055664,chin_center,velocity_y,absolute_max,absolute_motion
5,video_water_delta,41,425,3.086845874786377,eye_right_lower,velocity_area,temporal_slope,temporal
5,video_water_delta,42,137,3.0845038890838623,brow_right_inner,aspect,temporal_slope,temporal
5,video_water_delta,43,820,3.0755674839019775,brow_left_inner,velocity_area,absolute_quantile_90,absolute_motion
5,video_water_delta,44,39,3.0444228649139404,brow_left_inner,velocity_y,quantile_90,temporal
5,video_water_delta,45,890,3.0434908866882324,eye_left_lower,velocity_x,absolute_mean,absolute_motion
5,video_water_delta,46,43,3.004276990890503,brow_left_inner,velocity_area,std,temporal
5,video_water_delta,47,247,2.9986462593078613,eye_left_upper,velocity_x,std,temporal
5,video_water_delta,48,999,2.997511863708496,upper_lip,velocity_aspect,absolute_std,absolute_motion
5,video_water_delta,49,103,2.976987838745117,brow_left_outer,velocity_aspect,std,temporal
5,video_water_delta,50,875,2.972320079803467,eye_left_upper,velocity_x,absolute_std,absolute_motion
5,video_water_delta,51,105,2.965675115585327,brow_left_outer,velocity_aspect,quantile_90,temporal
5,video_water_delta,52,98,2.9317617416381836,brow_left_outer,velocity_area,quantile_10,temporal
5,video_water_delta,53,838,2.9177749156951904,brow_left_outer,velocity_aspect,absolute_mean,absolute_motion
5,video_water_delta,54,44,2.8990752696990967,brow_left_inner,velocity_area,quantile_10,temporal
5,video_water_delta,55,58,2.882960557937622,brow_left_outer,cx,late_minus_early,temporal
5,video_water_delta,56,761,2.8499932289123535,chin_center,cx,temporal_slope,temporal
5,video_water_delta,57,839,2.847700834274292,brow_left_outer,velocity_aspect,absolute_std,absolute_motion
5,video_water_delta,58,241,2.82440185546875,eye_left_upper,aspect,std,temporal
5,video_water_delta,59,828,2.8045904636383057,brow_left_outer,velocity_x,absolute_quantile_90,absolute_motion
5,video_water_delta,60,545,2.80135440826416,nose_alar_right,cx,temporal_slope,temporal
5,video_water_delta,61,448,2.7970385551452637,nose_bridge,cz,late_minus_early,temporal
5,video_water_delta,62,449,2.7938385009765625,nose_bridge,cz,temporal_slope,temporal
5,video_water_delta,63,760,2.7637686729431152,chin_center,cx,late_minus_early,temporal
5,video_water_delta,64,825,2.7590491771698,brow_left_inner,velocity_aspect,absolute_max,absolute_motion
