experiment,n,accuracy,balanced_accuracy,macro_f1,per_class_recall,per_class_precision,per_class_f1,support,mae,quadratic_weighted_kappa
video_raw,30,0.36666666666666664,0.3611111111111111,0.3686868686868687,"[0.4166666666666667, 0.3333333333333333, 0.3333333333333333]","[0.625, 0.23076923076923078, 0.3333333333333333]","[0.5, 0.27272727272727276, 0.3333333333333333]","[12, 9, 9]",0.7333333333333333,0.2670157068062827
video_trial_delta,30,0.36666666666666664,0.3703703703703704,0.35837365249129954,"[0.3333333333333333, 0.2222222222222222, 0.5555555555555556]","[0.4, 0.25, 0.4166666666666667]","[0.3636363636363636, 0.23529411764705882, 0.4761904761904762]","[12, 9, 9]",0.8333333333333334,0.14746543778801835
video_water_delta,30,0.4666666666666667,0.4537037037037037,0.443064182194617,"[0.5833333333333334, 0.5555555555555556, 0.2222222222222222]","[0.6363636363636364, 0.35714285714285715, 0.4]","[0.6086956521739131, 0.43478260869565216, 0.2857142857142857]","[12, 9, 9]",0.6333333333333333,0.3016759776536312
