k,model,accuracy,balanced_accuracy,f1_macro,f1_weighted,fold_acc_mean,fold_acc_std
5,LogReg,0.3526315789473684,0.311705345700983,0.31188763859702434,0.3539069654442214,0.3537104257298766,0.15545633149999694
5,LR_L1,0.3701754385964912,0.32596286937685487,0.32578193186054244,0.37014793522972106,0.3706047448610378,0.15792741099326463
5,SVM_RBF,0.35964912280701755,0.3345070281084164,0.33568541126528645,0.3731502158662786,0.36541579901337995,0.14962396949326295
5,SVM_Linear,0.3684210526315789,0.3190575090353742,0.3176339964574288,0.36614463571368994,0.3644705601930185,0.1540482183671389
5,RandomForest,0.4298245614035088,0.3655149772737519,0.3592038547627779,0.4091465518532401,0.4312468329075064,0.1250520978898832
5,GradBoost,0.41228070175438597,0.3399280294559672,0.32936132173356725,0.3832523998345574,0.4184999522017339,0.12532878616905574
5,LDA,0.4649122807017544,0.33698073658664834,0.264494828645772,0.34940669643748096,0.46900009503106926,0.15701034359666374
5,KNN,0.387719298245614,0.3231298438064223,0.3121665630739301,0.36797085726547335,0.38566501258720937,0.13555808017031604
5,MLP,0.4543859649122807,0.32914226769703636,0.2570178529480855,0.3368887776170518,0.46047297365620343,0.16160369728110482
10,LogReg,0.3385964912280702,0.3189912250748875,0.3181345842246633,0.3479850517390429,0.3439911331056314,0.1331205781910318
10,LR_L1,0.3456140350877193,0.32385740512354927,0.3231244270701421,0.35457757309902127,0.3455240868668459,0.14993356519092615
10,SVM_RBF,0.3473684210526316,0.3373447404235299,0.33332443135073914,0.35647191353069996,0.3518564164698523,0.12686999746696567
10,SVM_Linear,0.3473684210526316,0.32627286406074735,0.324610009891006,0.35413478186325215,0.35361679218617764,0.13354416964654103
10,RandomForest,0.39649122807017545,0.3227029036838259,0.3102054788090905,0.3666146574631805,0.4010353949320932,0.14619972114355503
10,GradBoost,0.387719298245614,0.32139173106477037,0.3126370779268847,0.3629445699525295,0.3900336192780619,0.1313929682592239
10,LDA,0.43859649122807015,0.3211303892542318,0.2620397637173577,0.3413550333125633,0.4440785152880609,0.153410504364553
10,KNN,0.37894736842105264,0.32967186984597574,0.32815240489237846,0.37160080427428216,0.38435575704004926,0.13346154407976601
10,MLP,0.43157894736842106,0.3288648570475919,0.29011634250849744,0.3581182429323425,0.4234563832671875,0.17350206428497594
20,LogReg,0.3333333333333333,0.3195257371468259,0.3172941141988406,0.34405928665983754,0.33927494321087004,0.13044861749457412
20,LR_L1,0.34385964912280703,0.32713076151566645,0.32574433213309,0.35518197535166013,0.3506269797030667,0.14537430540626187
20,SVM_RBF,0.3631578947368421,0.344439355978791,0.3431421333003286,0.37272288609060766,0.36757450725209795,0.14596031489857153
20,SVM_Linear,0.34385964912280703,0.32983434366157954,0.3277282682651785,0.3558152087588824,0.3565185883365844,0.14301631566771186
20,RandomForest,0.43333333333333335,0.3503424224935177,0.3345364374582718,0.39549181688829477,0.43706768364213605,0.1552109707331772
20,GradBoost,0.4192982456140351,0.3528808526840094,0.3470445662198421,0.39280919119488505,0.41896075725758625,0.1541487025689632
20,LDA,0.42105263157894735,0.3245026136412837,0.29326511635249436,0.36026903319877124,0.41847910008338257,0.14382272451418152
20,KNN,0.4245614035087719,0.37357283045009265,0.37241528285577924,0.414889168441704,0.42303443351171355,0.16398918934616422
20,MLP,0.43508771929824563,0.33895831966366136,0.30349686683877736,0.3713959218776743,0.4294132213995732,0.16373881202916912
40,LogReg,0.3508771929824561,0.3400835847437087,0.3366038779987652,0.3622921247715298,0.34974714351308017,0.12516919821919772
40,LR_L1,0.3473684210526316,0.33226743368591044,0.33015889859833353,0.3579030950696171,0.34773884031893176,0.14713434583890403
40,SVM_RBF,0.38421052631578945,0.36145982723320036,0.3602437918052306,0.39265438605948033,0.3872381925642795,0.16355468534210582
40,SVM_Linear,0.3473684210526316,0.3292580972441495,0.3270575898492673,0.3562178947551324,0.34960581365288784,0.14174956980781955
