fold,experiment,rank_by_training_f_score,summary_feature_index,training_f_score,node,source_feature,statistic,feature_family
1,video_raw,1,899,5.984399318695068,eye_left_lower,velocity_area,absolute_std,absolute_motion
1,video_raw,2,968,4.679380893707275,nose_alar_left,velocity_aspect,absolute_quantile_90,absolute_motion
1,video_raw,3,537,4.661519527435303,nose_alar_left,velocity_aspect,quantile_90,temporal
1,video_raw,4,901,4.545743942260742,eye_left_lower,velocity_area,absolute_max,absolute_motion
1,video_raw,5,536,4.511487007141113,nose_alar_left,velocity_aspect,quantile_10,temporal
1,video_raw,6,50,4.197699546813965,brow_left_inner,velocity_aspect,quantile_10,temporal
1,video_raw,7,503,4.0412750244140625,nose_alar_left,cz,temporal_slope,temporal
1,video_raw,8,1017,4.040528297424316,lower_lip,velocity_aspect,absolute_max,absolute_motion
1,video_raw,9,531,3.8839633464813232,nose_alar_left,velocity_area,quantile_90,temporal
1,video_raw,10,502,3.762906074523926,nose_alar_left,cz,late_minus_early,temporal
1,video_raw,11,51,3.7002384662628174,brow_left_inner,velocity_aspect,quantile_90,temporal
1,video_raw,12,33,3.6750123500823975,brow_left_inner,velocity_x,quantile_90,temporal
1,video_raw,13,823,3.563722848892212,brow_left_inner,velocity_aspect,absolute_std,absolute_motion
1,video_raw,14,49,3.534219264984131,brow_left_inner,velocity_aspect,std,temporal
1,video_raw,15,900,3.3867733478546143,eye_left_lower,velocity_area,absolute_quantile_90,absolute_motion
1,video_raw,16,822,3.355642080307007,brow_left_inner,velocity_aspect,absolute_mean,absolute_motion
1,video_raw,17,152,3.21121883392334,brow_right_inner,velocity_area,quantile_10,temporal
1,video_raw,18,810,3.1763017177581787,brow_left_inner,velocity_x,absolute_mean,absolute_motion
1,video_raw,19,313,3.1708521842956543,eye_left_lower,velocity_area,std,temporal
1,video_raw,20,449,3.1630890369415283,nose_bridge,cz,temporal_slope,temporal
1,video_raw,21,579,3.1505849361419678,nose_alar_right,velocity_y,quantile_90,temporal
1,video_raw,22,964,3.129786968231201,nose_alar_left,velocity_area,absolute_quantile_90,absolute_motion
1,video_raw,23,496,3.0758209228515625,nose_alar_left,cy,late_minus_early,temporal
1,video_raw,24,31,3.059211492538452,brow_left_inner,velocity_x,std,temporal
1,video_raw,25,967,2.9529635906219482,nose_alar_left,velocity_aspect,absolute_std,absolute_motion
1,video_raw,26,568,2.952103853225708,nose_alar_right,aspect,late_minus_early,temporal
1,video_raw,27,535,2.9409806728363037,nose_alar_left,velocity_aspect,std,temporal
1,video_raw,28,824,2.9296436309814453,brow_left_inner,velocity_aspect,absolute_quantile_90,absolute_motion
1,video_raw,29,194,2.8968024253845215,brow_right_outer,velocity_x,quantile_10,temporal
1,video_raw,30,726,2.8921451568603516,lip_corners,aspect,mean,temporal
1,video_raw,31,728,2.8849282264709473,lip_corners,aspect,quantile_10,temporal
1,video_raw,32,87,2.8731935024261475,brow_left_outer,velocity_x,quantile_90,temporal
1,video_trial_delta,1,899,5.984399318695068,eye_left_lower,velocity_area,absolute_std,absolute_motion
1,video_trial_delta,2,968,4.679380893707275,nose_alar_left,velocity_aspect,absolute_quantile_90,absolute_motion
1,video_trial_delta,3,537,4.661519527435303,nose_alar_left,velocity_aspect,quantile_90,temporal
1,video_trial_delta,4,901,4.545743942260742,eye_left_lower,velocity_area,absolute_max,absolute_motion
1,video_trial_delta,5,536,4.511487007141113,nose_alar_left,velocity_aspect,quantile_10,temporal
1,video_trial_delta,6,69,4.261728286743164,brow_left_outer,cz,quantile_90,temporal
1,video_trial_delta,7,50,4.197699546813965,brow_left_inner,velocity_aspect,quantile_10,temporal
1,video_trial_delta,8,503,4.041273593902588,nose_alar_left,cz,temporal_slope,temporal
1,video_trial_delta,9,1017,4.040528297424316,lower_lip,velocity_aspect,absolute_max,absolute_motion
1,video_trial_delta,10,531,3.8839633464813232,nose_alar_left,velocity_area,quantile_90,temporal
1,video_trial_delta,11,502,3.7629051208496094,nose_alar_left,cz,late_minus_early,temporal
1,video_trial_delta,12,51,3.7002384662628174,brow_left_inner,velocity_aspect,quantile_90,temporal
1,video_trial_delta,13,33,3.6750123500823975,brow_left_inner,velocity_x,quantile_90,temporal
1,video_trial_delta,14,823,3.563722848892212,brow_left_inner,velocity_aspect,absolute_std,absolute_motion
1,video_trial_delta,15,15,3.555856704711914,brow_left_inner,cz,quantile_90,temporal
1,video_trial_delta,16,49,3.534219264984131,brow_left_inner,velocity_aspect,std,temporal
1,video_trial_delta,17,900,3.3867733478546143,eye_left_lower,velocity_area,absolute_quantile_90,absolute_motion
1,video_trial_delta,18,822,3.355642080307007,brow_left_inner,velocity_aspect,absolute_mean,absolute_motion
1,video_trial_delta,19,152,3.21121883392334,brow_right_inner,velocity_area,quantile_10,temporal
1,video_trial_delta,20,810,3.1763017177581787,brow_left_inner,velocity_x,absolute_mean,absolute_motion
1,video_trial_delta,21,313,3.1708521842956543,eye_left_lower,velocity_area,std,temporal
1,video_trial_delta,22,449,3.1630890369415283,nose_bridge,cz,temporal_slope,temporal
1,video_trial_delta,23,579,3.1505849361419678,nose_alar_right,velocity_y,quantile_90,temporal
1,video_trial_delta,24,964,3.129786968231201,nose_alar_left,velocity_area,absolute_quantile_90,absolute_motion
1,video_trial_delta,25,496,3.0758206844329834,nose_alar_left,cy,late_minus_early,temporal
1,video_trial_delta,26,31,3.059211492538452,brow_left_inner,velocity_x,std,temporal
1,video_trial_delta,27,704,3.044471263885498,lip_corners,cx,quantile_10,temporal
1,video_trial_delta,28,967,2.9529635906219482,nose_alar_left,velocity_aspect,absolute_std,absolute_motion
1,video_trial_delta,29,568,2.952104091644287,nose_alar_right,aspect,late_minus_early,temporal
1,video_trial_delta,30,535,2.9409806728363037,nose_alar_left,velocity_aspect,std,temporal
1,video_trial_delta,31,824,2.9296436309814453,brow_left_inner,velocity_aspect,absolute_quantile_90,absolute_motion
1,video_trial_delta,32,596,2.8968780040740967,upper_lip,cx,quantile_10,temporal
1,video_water_delta,1,289,3.7379140853881836,eye_left_lower,area,std,temporal
1,video_water_delta,2,484,3.571747064590454,nose_bridge,velocity_aspect,late_minus_early,temporal
1,video_water_delta,3,136,3.522895336151123,brow_right_inner,aspect,late_minus_early,temporal
1,video_water_delta,4,137,3.493659257888794,brow_right_inner,aspect,temporal_slope,temporal
1,video_water_delta,5,485,3.4309494495391846,nose_bridge,velocity_aspect,temporal_slope,temporal
1,video_water_delta,6,536,3.4268994331359863,nose_alar_left,velocity_aspect,quantile_10,temporal
1,video_water_delta,7,38,3.4058830738067627,brow_left_inner,velocity_y,quantile_10,temporal
1,video_water_delta,8,291,3.401341676712036,eye_left_lower,area,quantile_90,temporal
1,video_water_delta,9,508,3.098731279373169,nose_alar_left,area,late_minus_early,temporal
1,video_water_delta,10,901,3.0908379554748535,eye_left_lower,velocity_area,absolute_max,absolute_motion
1,video_water_delta,11,509,2.896071434020996,nose_alar_left,area,temporal_slope,temporal
1,video_water_delta,12,524,2.8794775009155273,nose_alar_left,velocity_y,quantile_10,temporal
1,video_water_delta,13,169,2.869671583175659,brow_right_outer,cy,std,temporal
1,video_water_delta,14,958,2.8413243293762207,nose_alar_left,velocity_y,absolute_mean,absolute_motion
1,video_water_delta,15,528,2.83813738822937,nose_alar_left,velocity_area,mean,temporal
1,video_water_delta,16,981,2.812183141708374,nose_alar_right,velocity_area,absolute_max,absolute_motion
1,video_water_delta,17,824,2.8012893199920654,brow_left_inner,velocity_aspect,absolute_quantile_90,absolute_motion
1,video_water_delta,18,966,2.7460830211639404,nose_alar_left,velocity_aspect,absolute_mean,absolute_motion
1,video_water_delta,19,33,2.7024855613708496,brow_left_inner,velocity_x,quantile_90,temporal
1,video_water_delta,20,525,2.6484627723693848,nose_alar_left,velocity_y,quantile_90,temporal
1,video_water_delta,21,523,2.6322317123413086,nose_alar_left,velocity_y,std,temporal
1,video_water_delta,22,584,2.5137722492218018,nose_alar_right,velocity_area,quantile_10,temporal
1,video_water_delta,23,978,2.5052149295806885,nose_alar_right,velocity_area,absolute_mean,absolute_motion
1,video_water_delta,24,583,2.4660723209381104,nose_alar_right,velocity_area,std,temporal
1,video_water_delta,25,31,2.4511091709136963,brow_left_inner,velocity_x,std,temporal
1,video_water_delta,26,351,2.4387025833129883,eye_right_upper,aspect,quantile_90,temporal
1,video_water_delta,27,439,2.4312856197357178,nose_bridge,cy,std,temporal
1,video_water_delta,28,810,2.3998827934265137,brow_left_inner,velocity_x,absolute_mean,absolute_motion
1,video_water_delta,29,116,2.391611099243164,brow_right_inner,cy,quantile_10,temporal
1,video_water_delta,30,514,2.3860244750976562,nose_alar_left,aspect,late_minus_early,temporal
1,video_water_delta,31,769,2.3817923069000244,chin_center,cz,std,temporal
1,video_water_delta,32,982,2.380134344100952,nose_alar_right,velocity_aspect,absolute_mean,absolute_motion
2,video_raw,1,726,4.746683120727539,lip_corners,aspect,mean,temporal
2,video_raw,2,728,4.429895877838135,lip_corners,aspect,quantile_10,temporal
2,video_raw,3,729,4.206383228302002,lip_corners,aspect,quantile_90,temporal
2,video_raw,4,537,3.8968124389648438,nose_alar_left,velocity_aspect,quantile_90,temporal
2,video_raw,5,899,3.5346603393554688,eye_left_lower,velocity_area,absolute_std,absolute_motion
2,video_raw,6,617,3.384126663208008,upper_lip,area,temporal_slope,temporal
2,video_raw,7,503,3.3458285331726074,nose_alar_left,cz,temporal_slope,temporal
2,video_raw,8,616,3.3271400928497314,upper_lip,area,late_minus_early,temporal
2,video_raw,9,536,3.2793068885803223,nose_alar_left,velocity_aspect,quantile_10,temporal
2,video_raw,10,968,3.246908187866211,nose_alar_left,velocity_aspect,absolute_quantile_90,absolute_motion
2,video_raw,11,909,3.223240852355957,eye_right_upper,velocity_x,absolute_max,absolute_motion
2,video_raw,12,502,3.033193349838257,nose_alar_left,cz,late_minus_early,temporal
2,video_raw,13,136,2.9878644943237305,brow_right_inner,aspect,late_minus_early,temporal
2,video_raw,14,869,2.983103036880493,brow_right_outer,velocity_area,absolute_max,absolute_motion
2,video_raw,15,499,2.9752957820892334,nose_alar_left,cz,std,temporal
2,video_raw,16,773,2.88541841506958,chin_center,cz,temporal_slope,temporal
2,video_raw,17,611,2.760464668273926,upper_lip,cz,temporal_slope,temporal
2,video_raw,18,217,2.729919195175171,eye_left_upper,cx,std,temporal
2,video_raw,19,356,2.718937873840332,eye_right_upper,velocity_x,quantile_10,temporal
2,video_raw,20,142,2.658541679382324,brow_right_inner,velocity_x,late_minus_early,temporal
2,video_raw,21,772,2.642367362976074,chin_center,cz,late_minus_early,temporal
2,video_raw,22,665,2.6323273181915283,lower_lip,cz,temporal_slope,temporal
2,video_raw,23,137,2.611192226409912,brow_right_inner,aspect,temporal_slope,temporal
2,video_raw,24,445,2.579782724380493,nose_bridge,cz,std,temporal
2,video_raw,25,610,2.5482547283172607,upper_lip,cz,late_minus_early,temporal
2,video_raw,26,719,2.5289599895477295,lip_corners,cz,temporal_slope,temporal
2,video_raw,27,449,2.47672963142395,nose_bridge,cz,temporal_slope,temporal
2,video_raw,28,303,2.4748895168304443,eye_left_lower,velocity_x,quantile_90,temporal
2,video_raw,29,411,2.468515157699585,eye_right_lower,velocity_x,quantile_90,temporal
2,video_raw,30,664,2.465078830718994,lower_lip,cz,late_minus_early,temporal
2,video_raw,31,143,2.4643020629882812,brow_right_inner,velocity_x,temporal_slope,temporal
2,video_raw,32,907,2.4556314945220947,eye_right_upper,velocity_x,absolute_std,absolute_motion
2,video_trial_delta,1,537,3.8968124389648438,nose_alar_left,velocity_aspect,quantile_90,temporal
2,video_trial_delta,2,621,3.621551990509033,upper_lip,aspect,quantile_90,temporal
2,video_trial_delta,3,326,3.5351085662841797,eye_right_upper,cx,quantile_10,temporal
2,video_trial_delta,4,899,3.5346603393554688,eye_left_lower,velocity_area,absolute_std,absolute_motion
2,video_trial_delta,5,381,3.399991750717163,eye_right_lower,cx,quantile_90,temporal
2,video_trial_delta,6,614,3.395092010498047,upper_lip,area,quantile_10,temporal
2,video_trial_delta,7,617,3.384127140045166,upper_lip,area,temporal_slope,temporal
2,video_trial_delta,8,503,3.345828056335449,nose_alar_left,cz,temporal_slope,temporal
2,video_trial_delta,9,616,3.3271405696868896,upper_lip,area,late_minus_early,temporal
2,video_trial_delta,10,612,3.284339427947998,upper_lip,area,mean,temporal
2,video_trial_delta,11,536,3.2793068885803223,nose_alar_left,velocity_aspect,quantile_10,temporal
2,video_trial_delta,12,968,3.246908187866211,nose_alar_left,velocity_aspect,absolute_quantile_90,absolute_motion
2,video_trial_delta,13,909,3.223240852355957,eye_right_upper,velocity_x,absolute_max,absolute_motion
2,video_trial_delta,14,501,3.0923702716827393,nose_alar_left,cz,quantile_90,temporal
2,video_trial_delta,15,502,3.0331928730010986,nose_alar_left,cz,late_minus_early,temporal
2,video_trial_delta,16,136,2.9878640174865723,brow_right_inner,aspect,late_minus_early,temporal
2,video_trial_delta,17,869,2.983103036880493,brow_right_outer,velocity_area,absolute_max,absolute_motion
2,video_trial_delta,18,499,2.975295305252075,nose_alar_left,cz,std,temporal
2,video_trial_delta,19,773,2.885418176651001,chin_center,cz,temporal_slope,temporal
2,video_trial_delta,20,611,2.7604641914367676,upper_lip,cz,temporal_slope,temporal
2,video_trial_delta,21,704,2.74932599067688,lip_corners,cx,quantile_10,temporal
2,video_trial_delta,22,217,2.729919195175171,eye_left_upper,cx,std,temporal
2,video_trial_delta,23,356,2.718937873840332,eye_right_upper,velocity_x,quantile_10,temporal
2,video_trial_delta,24,771,2.6844165325164795,chin_center,cz,quantile_90,temporal
2,video_trial_delta,25,142,2.658541679382324,brow_right_inner,velocity_x,late_minus_early,temporal
2,video_trial_delta,26,758,2.649731159210205,chin_center,cx,quantile_10,temporal
2,video_trial_delta,27,772,2.642367362976074,chin_center,cz,late_minus_early,temporal
