epoch,n_inner_folds,mean_validation_balanced_accuracy,mean_validation_macro_f1,mean_validation_loss
1,3,0.4924621022821922,0.318839090360074,0.714069017909822
2,3,0.46633880029682134,0.3510613125822963,0.7051580480166844
3,3,0.4846383626368634,0.41842598138482456,0.696734849044255
4,3,0.45799259461178504,0.3917377919847708,0.69638276327224
5,3,0.5000397528508472,0.4470122895410252,0.6953569542794001
6,3,0.47471150788242245,0.4068866530097964,0.6975049575169882
7,3,0.46232186936834613,0.4026398185018875,0.6985575908706302
8,3,0.48621901170626813,0.42692597153804046,0.6984857269695827
9,3,0.4729339875516787,0.42453123365943163,0.7005993967964536
10,3,0.42972642466645466,0.377210363072432,0.704007373537336
11,3,0.45174382505716837,0.4133969346507087,0.7019240884553818
