epoch,n_inner_folds,mean_validation_balanced_accuracy,mean_validation_macro_f1,mean_validation_loss
1,3,0.5102657004830918,0.4425031583192392,0.6974160824503217
2,3,0.5169082125603864,0.444115417996015,0.6902653733889261
3,3,0.5477053140096618,0.48988391376451074,0.6917264489900498
4,3,0.5,0.4054011551438211,0.6954587987491063
5,3,0.5,0.4054011551438211,0.698081802754175
6,3,0.5,0.4054011551438211,0.6972188047000341
7,3,0.5,0.4054011551438211,0.6979517374719891
8,3,0.5,0.4054011551438211,0.697766099089668
9,3,0.5,0.4054011551438211,0.6964604445866177
10,3,0.5,0.4054011551438211,0.697560893921625
11,3,0.5094202898550725,0.4345292971253268,0.6961439637910752
12,3,0.5,0.4054011551438211,0.6971765143530709
