task,model,accuracy,f1_macro,mean_fold_acc,std_fold_acc,chance
substance,logreg,0.5547445255474452,0.5541506615450278,0.5546772068511199,0.1348354666803761,0.5
substance,svm,0.5036496350364964,0.5004290004290004,0.5032938076416338,0.11335771913067048,0.5
substance,rf,0.4927007299270073,0.4926939726939727,0.4927536231884058,0.14161457725102544,0.5
substance,xgboost,0.5182481751824818,0.5178371460566309,0.5181159420289854,0.1446180369944239,0.5
intensity,logreg,0.32116788321167883,0.3215130023640662,0.3211462450592885,0.11149137472510731,0.3333333333333333
intensity,svm,0.3284671532846715,0.32724814063556457,0.327733860342556,0.11358622941746407,0.3333333333333333
intensity,rf,0.3175182481751825,0.3159375840731773,0.3168642951251647,0.07950708573079622,0.3333333333333333
intensity,xgboost,0.2773722627737226,0.2777668897163816,0.27799736495388666,0.09276850027414707,0.3333333333333333
