epoch,n_inner_folds,mean_validation_balanced_accuracy,mean_validation_macro_f1,mean_validation_loss
1,3,0.49747320580653914,0.4411669890393295,0.6933046482858204
2,3,0.45887600054266725,0.4313796080462747,0.6942154560770307
3,3,0.4637600054266721,0.4308012774157562,0.694648289680481
4,3,0.45233550400217065,0.4317660003494505,0.6959626458940052
5,3,0.4504571971238638,0.4233383940620783,0.6967580431983583
6,3,0.4893650793650794,0.4323147409411006,0.6966812128112431
7,3,0.4682539682539682,0.4019469998685176,0.6983356748308455
8,3,0.49460317460317454,0.44111544085810683,0.6998997449874879
9,3,0.49404761904761907,0.45213485017182187,0.7003728338650296
10,3,0.5131128747795414,0.47564785444969776,0.698914362703051
11,3,0.4925383258716593,0.4454861111111111,0.6980001597177415
