fold,window,rank_by_training_f_score,summary_feature_index,node,source_feature,statistic,training_f_score
2,0:2,359,334,alar_extent_L,delta,late_minus_early,0.7107894420623779
2,0:2,360,328,alar_extent_L,value,late_minus_early,0.7107890248298645
2,0:2,361,460,corner_horizontal_R,abs_velocity,late_minus_early,0.7073204517364502
2,0:2,362,342,alar_extent_L,acceleration,mean,0.7056110501289368
2,0:2,363,527,corner_vertical_R,acceleration,slope_per_second,0.7021709680557251
2,0:2,364,107,outer_brow_R,baseline_robust_z,slope_per_second,0.6993663311004639
2,0:2,365,504,corner_vertical_R,value,mean,0.6954829096794128
2,0:2,366,519,corner_vertical_R,velocity,quantile_90,0.6770249009132385
2,0:2,367,706,jaw_open,acceleration,late_minus_early,0.674217939376831
2,0:2,368,188,eye_open_L,delta,quantile_10,0.6714522838592529
2,0:2,369,95,outer_brow_R,acceleration,slope_per_second,0.667012631893158
2,0:2,370,202,eye_open_L,acceleration,late_minus_early,0.6624388694763184
2,0:2,371,246,lid_cheek_gap_R,baseline_robust_z,mean,0.661778450012207
2,0:2,372,236,lid_cheek_gap_R,acceleration,quantile_10,0.6580867171287537
2,0:2,373,605,inner_lip_aperture,abs_velocity,slope_per_second,0.6484552025794983
2,0:2,374,660,lowerlip_chin_gap,velocity,mean,0.6456888318061829
2,0:2,375,518,corner_vertical_R,velocity,quantile_10,0.6440610885620117
2,0:2,376,238,lid_cheek_gap_R,acceleration,late_minus_early,0.6423553824424744
2,0:2,377,614,outer_mouth_open,value,quantile_10,0.6402806639671326
2,0:2,378,425,nose_upperlip_L,abs_velocity,slope_per_second,0.63565593957901
2,0:2,379,239,lid_cheek_gap_R,acceleration,slope_per_second,0.6351298093795776
2,0:2,380,345,alar_extent_L,acceleration,quantile_90,0.6351112723350525
2,0:2,381,150,eye_open_R,delta,mean,0.6327587962150574
2,0:2,382,470,corner_horizontal_L,value,quantile_10,0.6319711208343506
2,0:2,383,662,lowerlip_chin_gap,velocity,quantile_10,0.6263216733932495
2,0:2,384,75,outer_brow_R,value,quantile_90,0.6262516975402832
2,0:2,385,432,corner_horizontal_R,value,mean,0.6195802092552185
2,0:2,386,465,corner_horizontal_R,baseline_robust_z,quantile_90,0.6195346117019653
2,0:2,387,573,corner_vertical_L,baseline_robust_z,quantile_90,0.6192438006401062
2,0:2,388,444,corner_horizontal_R,velocity,mean,0.6169407367706299
2,0:2,389,567,corner_vertical_L,abs_velocity,quantile_90,0.6153866648674011
2,0:2,390,701,jaw_open,velocity,slope_per_second,0.6089657545089722
2,0:2,391,34,inner_brow_R,baseline_robust_z,late_minus_early,0.6070324182510376
2,0:2,392,483,corner_horizontal_L,velocity,quantile_90,0.6064096093177795
2,0:2,393,630,outer_mouth_open,acceleration,mean,0.6040439605712891
2,0:2,394,152,eye_open_R,delta,quantile_10,0.5918999314308167
2,0:2,395,390,nose_upperlip_R,baseline_robust_z,mean,0.5760472416877747
2,0:2,396,581,inner_lip_aperture,value,slope_per_second,0.5742748975753784
2,0:2,397,587,inner_lip_aperture,delta,slope_per_second,0.5742748975753784
2,0:2,398,240,lid_cheek_gap_R,abs_velocity,mean,0.574263870716095
2,0:2,399,366,nose_upperlip_R,delta,mean,0.5730859637260437
2,0:2,400,358,alar_extent_L,baseline_robust_z,late_minus_early,0.571145236492157
2,0:2,401,618,outer_mouth_open,delta,mean,0.5686126351356506
2,0:2,402,76,outer_brow_R,value,late_minus_early,0.5647441744804382
2,0:2,403,82,outer_brow_R,delta,late_minus_early,0.5647440552711487
2,0:2,404,657,lowerlip_chin_gap,delta,quantile_90,0.5610742568969727
2,0:2,405,602,inner_lip_aperture,abs_velocity,quantile_10,0.5575471520423889
2,0:2,406,142,outer_brow_L,baseline_robust_z,late_minus_early,0.5557603240013123
2,0:2,407,225,lid_cheek_gap_R,delta,quantile_90,0.5551974177360535
2,0:2,408,50,inner_brow_L,velocity,quantile_10,0.5518785715103149
2,0:2,409,616,outer_mouth_open,value,late_minus_early,0.5511113405227661
2,0:2,410,622,outer_mouth_open,delta,late_minus_early,0.5511113405227661
2,0:2,411,386,nose_upperlip_R,abs_velocity,quantile_10,0.5468547344207764
2,0:2,412,548,corner_vertical_L,delta,quantile_10,0.5416082739830017
2,0:2,413,478,corner_horizontal_L,delta,late_minus_early,0.540588915348053
2,0:2,414,472,corner_horizontal_L,value,late_minus_early,0.5405885577201843
2,0:2,415,242,lid_cheek_gap_R,abs_velocity,quantile_10,0.5398195385932922
2,0:2,416,627,outer_mouth_open,velocity,quantile_90,0.5394089818000793
2,0:2,417,671,lowerlip_chin_gap,acceleration,slope_per_second,0.5365855097770691
2,0:2,418,468,corner_horizontal_L,value,mean,0.535713791847229
2,0:2,419,203,eye_open_L,acceleration,slope_per_second,0.530095100402832
2,0:2,420,512,corner_vertical_R,delta,quantile_10,0.5296592712402344
2,0:2,421,696,jaw_open,velocity,mean,0.5261545777320862
2,0:2,422,337,alar_extent_L,velocity,std,0.524134635925293
2,0:2,423,290,alar_extent_R,value,quantile_10,0.5230254530906677
2,0:2,424,612,outer_mouth_open,value,mean,0.5197238326072693
2,0:2,425,422,nose_upperlip_L,abs_velocity,quantile_10,0.5179626941680908
2,0:2,426,89,outer_brow_R,velocity,slope_per_second,0.5156512260437012
2,0:2,427,615,outer_mouth_open,value,quantile_90,0.515113353729248
2,0:2,428,272,lid_cheek_gap_L,acceleration,quantile_10,0.5149980187416077
2,0:2,429,524,corner_vertical_R,acceleration,quantile_10,0.5148552656173706
2,0:2,430,378,nose_upperlip_R,acceleration,mean,0.5128931403160095
2,0:2,431,536,corner_vertical_R,baseline_robust_z,quantile_10,0.5092995166778564
2,0:2,432,192,eye_open_L,velocity,mean,0.5061845183372498
2,0:2,433,122,outer_brow_L,velocity,quantile_10,0.5009651184082031
2,0:2,434,235,lid_cheek_gap_R,acceleration,std,0.49980512261390686
2,0:2,435,521,corner_vertical_R,velocity,slope_per_second,0.499091774225235
2,0:2,436,428,nose_upperlip_L,baseline_robust_z,quantile_10,0.49653029441833496
2,0:2,437,469,corner_horizontal_L,value,std,0.4943563640117645
2,0:2,438,475,corner_horizontal_L,delta,std,0.4943559467792511
2,0:2,439,166,eye_open_R,acceleration,late_minus_early,0.49420279264450073
2,0:2,440,568,corner_vertical_L,abs_velocity,late_minus_early,0.49414584040641785
2,0:2,441,126,outer_brow_L,acceleration,mean,0.4937664270401001
2,0:2,442,243,lid_cheek_gap_R,abs_velocity,quantile_90,0.492493212223053
2,0:2,443,218,lid_cheek_gap_R,value,quantile_10,0.48891115188598633
2,0:2,444,606,inner_lip_aperture,baseline_robust_z,mean,0.4876062273979187
2,0:2,445,317,alar_extent_R,abs_velocity,slope_per_second,0.4872179329395294
2,0:2,446,707,jaw_open,acceleration,slope_per_second,0.48678579926490784
2,0:2,447,155,eye_open_R,delta,slope_per_second,0.4860287606716156
2,0:2,448,149,eye_open_R,value,slope_per_second,0.4860287010669708
2,0:2,449,617,outer_mouth_open,value,slope_per_second,0.4858713746070862
2,0:2,450,623,outer_mouth_open,delta,slope_per_second,0.4858713746070862
2,0:2,451,57,inner_brow_L,acceleration,quantile_90,0.4783042371273041
2,0:2,452,608,inner_lip_aperture,baseline_robust_z,quantile_10,0.4731854498386383
2,0:2,453,392,nose_upperlip_R,baseline_robust_z,quantile_10,0.4731430411338806
2,0:2,454,39,inner_brow_L,value,quantile_90,0.47241300344467163
2,0:2,455,380,nose_upperlip_R,acceleration,quantile_10,0.47201672196388245
2,0:2,456,640,outer_mouth_open,abs_velocity,late_minus_early,0.46465811133384705
2,0:2,457,669,lowerlip_chin_gap,acceleration,quantile_90,0.46408775448799133
2,0:2,458,563,corner_vertical_L,acceleration,slope_per_second,0.4637872576713562
2,0:2,459,576,inner_lip_aperture,value,mean,0.46234020590782166
2,0:2,460,451,corner_horizontal_R,acceleration,std,0.4612366259098053
2,0:2,461,435,corner_horizontal_R,value,quantile_90,0.45978179574012756
2,0:2,462,396,nose_upperlip_L,value,mean,0.458748459815979
2,0:2,463,338,alar_extent_L,velocity,quantile_10,0.45495885610580444
2,0:2,464,454,corner_horizontal_R,acceleration,late_minus_early,0.45337975025177
2,0:2,465,624,outer_mouth_open,velocity,mean,0.45280587673187256
2,0:2,466,14,inner_brow_R,velocity,quantile_10,0.45101451873779297
