experiment,n,accuracy,balanced_accuracy,macro_f1,per_class_recall,per_class_precision,per_class_f1,support,mae,quadratic_weighted_kappa
video_raw,140,0.36428571428571427,0.3638211382113821,0.36327682918297394,"[0.36363636363636365, 0.38636363636363635, 0.34146341463414637]","[0.5, 0.3148148148148148, 0.30434782608695654]","[0.4210526315789474, 0.34693877551020413, 0.3218390804597701]","[55, 44, 41]",0.8142857142857143,0.10480349344978157
video_trial_delta,140,0.37142857142857144,0.3713968957871397,0.36971339410363807,"[0.36363636363636365, 0.4090909090909091, 0.34146341463414637]","[0.45454545454545453, 0.32727272727272727, 0.34146341463414637]","[0.4040404040404041, 0.3636363636363637, 0.34146341463414637]","[55, 44, 41]",0.8071428571428572,0.09645232815964522
video_water_delta,140,0.42142857142857143,0.4067997043606799,0.4029126854072825,"[0.5818181818181818, 0.2727272727272727, 0.36585365853658536]","[0.47058823529411764, 0.34285714285714286, 0.40540540540540543]","[0.5203252032520326, 0.30379746835443033, 0.3846153846153847]","[55, 44, 41]",0.7642857142857142,0.1837782340862424
