substance,intensity,rel_power_mean,rel_power_sem
Sucralose,5,0.0838862445787453,0.0030415975029083613
Sucralose,7,0.0834166549878055,0.0028826986363465115
Sucralose,12,0.0849343073542013,0.003374395170918904
Sucrose,5,0.08692172204148188,0.00270758861293323
Sucrose,7,0.08523018151658725,0.00323537567571752
Sucrose,12,0.08706244772154563,0.0029833577885655313
Water,0,0.0840556254093001,0.0029629432500278686
