substance,intensity,rel_power_mean,rel_power_sem
Sucralose,5,0.10876992067459451,0.004231476686675473
Sucralose,7,0.1021362237111602,0.004145897255045948
Sucralose,12,0.1013899037678593,0.0039873103567467484
Sucrose,5,0.10061052567653336,0.00467496387140941
Sucrose,7,0.10399923680341154,0.0036580451657329104
Sucrose,12,0.10473065764894349,0.005004436653721864
Water,0,0.10677835227574853,0.004088528557391836
