subject_id,epoch_ix,condition,condition_label,repeat,baseline_rms_V,snr_0_1s,poststimulus_rms_V
P003,8,762,MedHigh/762,4,4.434151554452878e-05,1.2259179480740157,5.435905975084082e-05
P003,9,762,MedHigh/762,5,5.393383905242435e-05,1.0197781192756223,5.500054895419541e-05
P003,10,453,MedLow/453,1,4.748459911332375e-05,1.0886486426515967,5.1694044371575116e-05
P003,11,453,MedLow/453,2,5.415175955445865e-05,1.0933319659387815,5.920584973272045e-05
P003,12,453,MedLow/453,3,3.5662873328720476e-05,1.8272690293311404,6.516566393053047e-05
P003,13,453,MedLow/453,4,4.5252674118624305e-05,1.457242969240082,6.594414119867789e-05
P003,14,453,MedLow/453,5,3.621344923274879e-05,1.7732920763662172,6.421702258232369e-05
P003,15,893,High/893,1,4.299303626060761e-05,1.3524659077663883,5.8146615813835914e-05
P003,16,893,High/893,2,5.697644519717024e-05,1.2443158920110335,7.089669622913465e-05
P003,17,893,High/893,3,6.022441612302649e-05,1.1048322542101559,6.65378774236938e-05
P003,18,893,High/893,4,5.968916802875577e-05,1.021570637701036,6.097670144698032e-05
P003,19,893,High/893,5,3.8947950120126616e-05,1.4061833738141387,5.476795990306445e-05
P003,20,258,Low/258,1,5.936479547132942e-05,1.160654162067185,6.890199694406567e-05
P003,21,258,Low/258,2,5.1042485824738874e-05,1.2842867626694832,6.555318887845688e-05
P003,22,258,Low/258,3,5.2386392188348904e-05,1.3904126243975063,7.283870104531922e-05
P003,23,258,Low/258,4,3.0271963332294833e-05,1.6179128045709366,4.8977397094821694e-05
P003,24,258,Low/258,5,2.6537172506001725e-05,2.350201414094192,6.236770034966675e-05
P003,25,605,Water/605,1,5.7372578809203914e-05,1.0657168245899638,6.114292250708226e-05
P003,26,605,Water/605,2,1.7357102535281484e-05,3.4067647973711317,5.913156590155819e-05
P003,27,605,Water/605,3,6.010455939133552e-05,1.165967222734318,7.007994618718534e-05
P003,28,605,Water/605,4,3.0872389887239564e-05,2.571883607245524,7.940019346748393e-05
P003,29,605,Water/605,5,3.872553611979314e-05,1.7455854280607794,6.759873154455227e-05
P004,0,762,MedHigh/762,1,5.590706506774829e-05,1.032566041370522,5.772773686164904e-05
P004,1,762,MedHigh/762,2,6.465444286234213e-05,1.029954298358974,6.659112133407397e-05
P004,2,762,MedHigh/762,3,4.553767708443402e-05,1.6221431447956267,7.386863071243156e-05
P004,3,762,MedHigh/762,4,3.390992432081964e-05,2.2602212514067648,7.664393158351167e-05
P004,4,762,MedHigh/762,5,3.586498158912357e-05,2.25671113198117,8.093690320047489e-05
P004,5,893,High/893,1,3.824202394673392e-05,2.087737996061434,7.983932643988763e-05
P004,6,893,High/893,2,4.3760517159103425e-05,1.6025947136104177,7.013037346403713e-05
P004,7,893,High/893,3,4.4334499144190254e-05,1.6903127762652819,7.4939170332747e-05
P004,8,893,High/893,4,2.5009114991933927e-05,2.4531196442548273,6.135035127214104e-05
P004,9,893,High/893,5,5.102958782566516e-05,1.4181011145890272,7.236511537259442e-05
P004,10,189,Medium/189,1,3.196800620738631e-05,1.4397743677266233,4.602671592472038e-05
P004,11,189,Medium/189,2,3.609068322449852e-05,2.267006774492058,8.181782336598503e-05
P004,12,189,Medium/189,3,4.831051177234243e-05,1.5207604646523216,7.346871633049893e-05
P004,13,189,Medium/189,4,5.2251355862327106e-05,1.5254224631878406,7.970539196441546e-05
P004,14,189,Medium/189,5,3.978219289015551e-05,1.8709312527690531,7.442974798187877e-05
P004,15,605,Water/605,1,4.371334649371815e-05,1.9019196750122938,8.31392737570322e-05
P004,16,605,Water/605,2,6.121811532329929e-05,1.1430866161912614,6.997760829451659e-05
P004,17,605,Water/605,3,3.9213268812210025e-05,2.0253324455199064,7.941990562026282e-05
P004,18,605,Water/605,4,3.92250230871169e-05,1.7204130079567546,6.748323995647993e-05
P004,19,605,Water/605,5,4.675920073190842e-05,1.379549561295487,6.450663485623186e-05
P004,20,453,MedLow/453,1,5.744700873873219e-05,1.3825763006047393,7.94248728228045e-05
P004,21,453,MedLow/453,2,4.20051081118334e-05,1.8795391109908197,7.895024355758862e-05
P004,22,453,MedLow/453,3,5.371048581781838e-05,1.6210853195301889,8.706928006409979e-05
P004,23,453,MedLow/453,4,3.697088200177813e-05,2.2586488009803456,8.350423830450202e-05
P004,24,453,MedLow/453,5,3.899502012706888e-05,1.9647130346749524,7.661402433106435e-05
P004,25,258,Low/258,1,4.1490660707911034e-05,1.6203727445892075,6.723033576609741e-05
P004,26,258,Low/258,2,5.798237112154533e-05,1.365819807764773,7.919347097897476e-05
P004,27,258,Low/258,3,3.719573417107282e-05,1.9275536804759057,7.16967742994548e-05
P004,28,258,Low/258,4,3.7764334530180703e-05,1.3458774621547702,5.0826166717443356e-05
P004,29,258,Low/258,5,4.525602756286587e-05,1.7244157430596154,7.804020639774578e-05
P005,0,893,High/893,1,1.80960113740898e-05,5.485896685377472,9.92728488156723e-05
P005,1,893,High/893,2,3.766075691614942e-05,2.231881629978253,8.405435153223036e-05
P005,2,893,High/893,3,6.0803088485548865e-05,1.376432961281609,8.369137513923171e-05
P005,3,893,High/893,4,4.040395893966421e-05,2.345998545441004,9.47876289025103e-05
P005,4,893,High/893,5,5.122528443887502e-05,1.6752627713576551,8.581581197265394e-05
P005,5,605,Water/605,1,4.7811300471257033e-05,1.773976659888849,8.481613111494271e-05
P005,6,605,Water/605,2,2.553476683506267e-05,3.045829033493219,7.777453418971364e-05
P005,7,605,Water/605,3,3.63693187558699e-05,1.7544850385033985,6.380942561773478e-05
P005,8,605,Water/605,4,4.5691441454779856e-05,1.626681448233578,7.432542015754105e-05
P005,9,605,Water/605,5,2.2766672606807363e-05,3.925862655459092,8.937882977612849e-05
P005,10,762,MedHigh/762,1,3.696403039179982e-05,2.1299592847065623,7.873187973318958e-05
P005,11,762,MedHigh/762,2,6.978784379828426e-05,0.8393033506138486,5.8573171132015876e-05
P005,12,762,MedHigh/762,3,4.888397833315144e-05,1.689653391826251,8.259697979657027e-05
P005,13,762,MedHigh/762,4,5.960006902777582e-05,1.4947676776035403,8.908825676565912e-05
P005,14,762,MedHigh/762,5,6.091784334170217e-05,1.074391423346709,6.544960841510323e-05
P005,15,258,Low/258,1,5.9145842764230124e-05,1.3195732822352093,7.804727386696275e-05
P005,16,258,Low/258,2,5.211837797740411e-05,1.7395875313802451,9.066448048525495e-05
P005,17,258,Low/258,3,4.235442668527904e-05,2.0046388723698283,8.490533015024833e-05
P005,18,258,Low/258,4,4.275404111397352e-05,2.135973981701906,9.1321519432061e-05
P005,19,258,Low/258,5,3.550308751668e-05,2.8379950612336744,0.00010075758703088476
P005,20,189,Medium/189,1,4.10071079494633e-05,2.263086942013791,9.280265053018031e-05
P005,21,189,Medium/189,2,4.1233142440764184e-05,1.9480133468896332,8.032271180881002e-05
P005,22,189,Medium/189,3,4.871089150757761e-05,1.6121640269629207,7.852994700981024e-05
P005,23,189,Medium/189,4,4.1090585286874286e-05,1.9423765441304468,7.981338904581628e-05
P005,24,189,Medium/189,5,4.5080112646171046e-05,0.8519719067813168,3.84069895290749e-05
P005,25,453,MedLow/453,1,1.700987135997261e-05,4.064500752293801,6.913663493902946e-05
P005,26,453,MedLow/453,2,4.5170161999591174e-05,2.053431857614693,9.27538496635771e-05
P005,27,453,MedLow/453,3,2.839603475809285e-05,2.6557436327840174,7.541258850511873e-05
P005,28,453,MedLow/453,4,4.957939763289505e-05,1.4133880087246904,7.007492609412716e-05
P005,29,453,MedLow/453,5,5.092537195579789e-05,1.408375051845308,7.172202336848842e-05
P006,0,605,Water/605,1,3.667955969176433e-05,1.4081697165442788,5.165104517412073e-05
P006,1,605,Water/605,2,3.264126812910593e-05,1.2266515390873378,4.003946178833025e-05
P006,2,605,Water/605,3,3.055099869763287e-05,2.0666451359849245,6.313807285794474e-05
P006,3,605,Water/605,4,4.0005849685401724e-05,1.2301278577740613,4.921231017193432e-05
P006,4,605,Water/605,5,4.574637240349894e-05,1.1340074752666949,5.187672827190183e-05
P006,5,258,Low/258,1,4.644087145072084e-05,1.2795981955393883,5.942565530761906e-05
P006,6,258,Low/258,2,4.025736546113643e-05,1.1013181794776843,4.4336168440226574e-05
P006,7,258,Low/258,3,2.349927388904007e-05,2.2860998625285402,5.372168680725502e-05
P006,8,258,Low/258,4,3.832240419295335e-05,1.0850942168183786,4.158341916435005e-05
P006,9,258,Low/258,5,4.0451595744823904e-05,1.0025827024568192,4.0556070180536325e-05
P006,10,893,High/893,1,2.7406650193803615e-05,1.745676513475063,4.7843145556349765e-05
P006,11,893,High/893,2,4.5530860439769855e-05,0.8860379428844792,4.0342069921814e-05
P006,12,893,High/893,3,4.332930131231126e-05,1.369623013633991,5.934480824202299e-05
P006,13,893,High/893,4,3.1421797195916874e-05,1.5319960630889515,4.813806959932411e-05
P006,14,893,High/893,5,2.7383502379451457e-05,1.6407025039440046,4.492818092072261e-05
P006,15,453,MedLow/453,1,4.87415385775695e-05,0.9710121946087699,4.7328628342813786e-05
P006,16,453,MedLow/453,2,3.949476876167977e-05,1.0901580355978642,4.30555395296247e-05
P006,17,453,MedLow/453,3,1.9023037293158217e-05,1.5572748892291253,2.962409829350448e-05
P006,18,453,MedLow/453,4,1.468642268027976e-05,2.831266181957951,4.158117186861634e-05
P006,19,453,MedLow/453,5,2.591914907186043e-05,2.1835402846643963,5.659550614262904e-05
P006,20,762,MedHigh/762,1,2.7142309994924812e-05,1.6687442269144834,4.5293573109154055e-05
P006,21,762,MedHigh/762,2,3.229987747073187e-05,1.660856135940308,5.364544968738514e-05
P006,22,762,MedHigh/762,3,3.316875830861658e-05,1.3804417623539051,4.57875391746374e-05
P006,23,762,MedHigh/762,4,2.1169417187282455e-05,2.7278724885206054,5.774747074320305e-05
P006,24,762,MedHigh/762,5,2.2578074368817006e-05,1.7771283490700864,4.012413602823739e-05
P006,25,189,Medium/189,1,2.88852048756963e-05,1.7583008153463617,5.0788879284383526e-05
P006,26,189,Medium/189,2,2.7759181630368206e-05,1.416082417321082,3.9309289025986784e-05
P006,27,189,Medium/189,3,4.639411206109189e-05,1.1391726396597863,5.285090310130599e-05
P006,28,189,Medium/189,4,3.5590745264982515e-05,1.3322729588100481,4.741658750043298e-05
P006,29,189,Medium/189,5,3.027667079844125e-05,1.123312924800687,3.401017562782459e-05
P007,0,258,Low/258,1,6.74576633859708e-05,1.097699747990745,7.404826009882465e-05
P007,1,258,Low/258,2,7.624930431369849e-05,0.9375468888431991,7.148729803576634e-05
P007,2,258,Low/258,3,5.8376198270983505e-05,1.3263417493786702,7.742678893681236e-05
P007,3,258,Low/258,4,5.173146249161285e-05,1.0822930623833946,5.598860296161939e-05
P007,4,258,Low/258,5,7.263222457481203e-05,0.9154728077846809,6.649282656715068e-05
P007,5,453,MedLow/453,1,6.581490075220276e-05,1.195063344675944,7.865297542244272e-05
P007,6,453,MedLow/453,2,5.210626515219213e-05,1.4873454752277957,7.750001770513274e-05
P007,7,453,MedLow/453,3,5.885736048533444e-05,1.3298468250099145,7.8271273969886e-05
P007,8,453,MedLow/453,4,5.5881539859319747e-05,1.1976250702176339,6.692513309788731e-05
P007,9,453,MedLow/453,5,7.218635179858855e-05,1.042692587937566,7.526817397064187e-05
P007,10,605,Water/605,1,5.350779070503011e-05,1.1655757209861857,6.236738172939341e-05
P007,11,605,Water/605,2,6.776405002153937e-05,0.9701797064935889,6.574330616071392e-05
P007,12,605,Water/605,3,5.8006115793994286e-05,1.3822073367241758,8.017647882533097e-05
P007,13,605,Water/605,4,5.7507870763488085e-05,1.2271101339944082,7.056849099831698e-05
P007,14,605,Water/605,5,5.320441546225136e-05,1.768662257030081,9.410064153543163e-05
P007,15,189,Medium/189,1,4.3380564259583876e-05,1.8784176084222353,8.148681576849465e-05
P007,16,189,Medium/189,2,5.555766748538631e-05,1.6808936133425048,9.338652844839238e-05
P007,17,189,Medium/189,3,5.6072797211527046e-05,1.6920752916483488,9.487939469523335e-05
P007,18,189,Medium/189,4,3.2684690888494805e-05,1.3564321106111328,4.433456424655347e-05
P007,19,189,Medium/189,5,5.574002311922522e-05,1.1944437748410903,6.6578323624257e-05
P007,20,893,High/893,1,5.133592478524235e-05,1.2197326526642434,6.261610371527572e-05
P007,21,893,High/893,2,4.4057291085614266e-05,1.4113048500002852,6.217826858700176e-05
P007,22,893,High/893,3,1.9337228686396644e-05,1.798640613386309,3.478072486569179e-05
P007,23,893,High/893,4,5.9586467056110545e-05,1.4182956423619535,8.451122656942567e-05
P007,24,893,High/893,5,3.64182934289918e-05,1.8588941296642618,6.76977518675434e-05
P007,25,762,MedHigh/762,1,5.93327644204064e-05,1.2146295637050213,7.206732976137103e-05
P007,26,762,MedHigh/762,2,5.572875435760887e-05,1.5281623407726335,8.516258370746666e-05
P007,27,762,MedHigh/762,3,6.450181465303917e-05,1.315760295811647,8.486892672827084e-05
P007,28,762,MedHigh/762,4,3.488585412941099e-05,2.378345161515585,8.297060237402311e-05
P007,29,762,MedHigh/762,5,5.724953324219184e-05,1.1921252447559014,6.824861382850906e-05
P008,0,453,MedLow/453,1,1.8801682999573936e-05,5.540847354555306,0.0001041772555093767
P008,1,453,MedLow/453,2,4.4942905277861135e-05,1.740470074784264,7.822178170998103e-05
P008,2,453,MedLow/453,3,6.318626746276663e-05,1.1379732833951195,7.190428425008675e-05
P008,3,453,MedLow/453,4,5.884061634747494e-05,1.4130446986569996,8.314442099550984e-05
P008,4,453,MedLow/453,5,4.2311773812050754e-05,1.2658779516874192,5.3561541565460186e-05
P008,5,189,Medium/189,1,2.5648115988860486e-05,2.4681575975304533,6.33035923402483e-05
P008,6,189,Medium/189,2,5.147185571864837e-05,1.4014702511220682,7.213627455973297e-05
P008,7,189,Medium/189,3,4.440595729626968e-05,1.2596632163283386,5.593655099195792e-05
P008,8,189,Medium/189,4,1.8562904378859046e-05,5.538802432656409,0.00010281625993079276
P008,9,189,Medium/189,5,3.9392513134938123e-05,1.323771762094256,5.214669652595817e-05
P008,10,258,Low/258,1,1.9327596500492338e-05,3.4588034228745204,6.68503569318405e-05
P008,11,258,Low/258,2,3.111145067929049e-05,1.578653826150068,4.911421065194105e-05
P008,12,258,Low/258,3,3.0698904114629344e-05,1.4258306762078172,4.3771439212600905e-05
P008,13,258,Low/258,4,5.4270908755441084e-05,1.0470907157953984,5.6826564695601566e-05
P008,14,258,Low/258,5,3.396992739239369e-05,1.859606185542714,6.31706871013322e-05
P008,15,762,MedHigh/762,1,3.505071419029971e-05,2.4328178116352053,8.527200179269598e-05
P008,16,762,MedHigh/762,2,1.535813377865636e-05,5.5551773398655655,8.53171567498157e-05
P008,17,762,MedHigh/762,3,4.016434660394446e-05,1.352747195937979,5.4332207245166945e-05
P008,18,762,MedHigh/762,4,3.7016277272689325e-05,1.9747423102413004,7.309760889800304e-05
P008,19,762,MedHigh/762,5,4.166191009212408e-05,2.2815946924786648,9.505559294471361e-05
P008,20,605,Water/605,1,5.675396796649511e-05,1.0218061039251864,5.7991550890139205e-05
P008,21,605,Water/605,2,5.113343837769837e-05,1.5597936791544886,7.975761397496947e-05
P008,22,605,Water/605,3,6.130680685273688e-05,1.1187858161171216,6.858918593827396e-05
P008,23,605,Water/605,4,3.184187029259487e-05,2.58120613644035,8.219043099498354e-05
P008,24,605,Water/605,5,4.171701426890164e-05,1.2632545986076327,5.269921011537022e-05
P008,25,893,High/893,1,2.2150111825295527e-05,2.184800745605649,4.839358083115415e-05
P008,26,893,High/893,2,1.862860741915294e-05,3.6474982409039094,6.794781279184985e-05
P008,27,893,High/893,3,4.0730717632209216e-05,1.836771318766168,7.481301393960532e-05
P008,28,893,High/893,4,4.560752013996262e-05,1.9455841778791232,8.873326957661474e-05
P008,29,893,High/893,5,4.802373144520197e-05,1.5328019565459743,7.361086951984401e-05
P009,0,189,Medium/189,1,5.070860522156011e-05,1.2335658975182053,6.255240611203017e-05
P009,1,189,Medium/189,2,4.783936429810695e-05,1.2797207241850845,6.122102592412748e-05
P009,2,189,Medium/189,3,2.5712170931235024e-05,1.5573881388276876,4.004383003181548e-05
P009,3,189,Medium/189,4,3.4656793652430906e-05,1.5721883844249578,5.4487008421764475e-05
P009,4,189,Medium/189,5,1.9606424348032057e-05,2.8386697881270964,5.56561644499581e-05
P009,5,762,MedHigh/762,1,4.1909634933395284e-05,1.3849525874247517,5.804285733903254e-05
P009,6,762,MedHigh/762,2,5.197412821414793e-05,1.1315956469724628,5.881369724231848e-05
P009,7,762,MedHigh/762,3,2.481856835261815e-05,1.06103138569612,2.6333279970172307e-05
P009,8,762,MedHigh/762,4,1.9441445771206314e-05,0.9477833344304663,1.8426278299183008e-05
P009,9,762,MedHigh/762,5,4.1865613661265344e-05,1.3573050333714938,5.682440814762181e-05
P009,10,453,MedLow/453,1,5.264867312383633e-05,1.0948348227658908,5.7641600708394654e-05
P009,11,453,MedLow/453,2,5.014420043424915e-05,1.1921104507081863,5.97774253800744e-05
P009,12,453,MedLow/453,3,3.471348687987217e-05,1.496758732467749,5.19577146218533e-05
P009,13,453,MedLow/453,4,4.981352416792962e-05,1.2585178052836672,6.269120710926768e-05
P009,14,453,MedLow/453,5,1.9582012418686796e-05,2.130203458378331,4.171367057629403e-05
P009,15,893,High/893,1,1.7911755228716748e-05,2.884905517222305,5.167372148246043e-05
P009,16,893,High/893,2,3.288881820130192e-05,1.6463143036442487,5.414533183475866e-05
P009,17,893,High/893,3,5.406897743130753e-05,0.9956967967118621,5.3836307629838864e-05
P009,18,893,High/893,4,4.19268753500346e-05,1.4963363538753938,6.27367077906589e-05
P009,19,258,Low/258,1,5.4907991919688356e-05,1.0046945864143324,5.51657622325928e-05
P009,20,258,Low/258,2,2.5595380284975535e-05,1.7269803815741016,4.42027196110813e-05
P009,21,258,Low/258,3,3.143344171575339e-05,1.754845882392143,5.516084576430326e-05
P009,22,258,Low/258,4,3.237606960711818e-05,1.5690637340089502,5.0800116670278536e-05
P009,23,258,Low/258,5,5.0006866746481515e-05,1.3014607075521472,6.508197217834179e-05
P009,24,605,Water/605,1,4.872110705370118e-05,1.501131230467798,7.313677538127575e-05
P009,25,893,High/893,5,3.0468031991601287e-05,1.9976538049524972,6.086458003743671e-05
P009,26,605,Water/605,2,2.845927339651813e-05,1.280632422798656,3.6445868240872354e-05
P009,27,605,Water/605,3,4.657376630379342e-05,1.3760622567675034,6.408840196616028e-05
P009,28,605,Water/605,4,3.614330835710971e-05,1.432443384571884,5.177324295268349e-05
P009,29,605,Water/605,5,3.81808185523718e-05,1.6837069164812706,6.428530827354483e-05
P010,0,762,MedHigh/762,1,4.889319937626629e-05,1.467723560284574,7.176170066223706e-05
P010,1,762,MedHigh/762,2,5.876377106075097e-05,1.0768264587185523,6.327838349229623e-05
P010,2,762,MedHigh/762,3,5.073223304901335e-05,1.6527457526070466,8.384748269202769e-05
P010,3,762,MedHigh/762,4,3.9569802469936936e-05,0.9638935157297495,3.814107601947925e-05
P010,4,762,MedHigh/762,5,4.962443384524631e-05,1.1004370466235116,5.4608565421026687e-05
P010,5,893,High/893,1,5.247940148314184e-05,1.5749592234554104,8.265291740729382e-05
P010,6,893,High/893,2,4.376207908612088e-05,1.9497849662205635,8.532664389267384e-05
P010,7,893,High/893,3,5.937838311432921e-05,1.760357600312672,0.00010452718800958708
P010,8,893,High/893,4,5.725204336096494e-05,1.275912627673448,7.304860508436294e-05
P010,9,893,High/893,5,5.4257892789149595e-05,1.340873516368685,7.275297149494212e-05
P010,10,189,Medium/189,1,5.6420676035649666e-05,1.251411973930419,7.060550956826102e-05
P010,11,189,Medium/189,2,5.698390978507868e-05,1.2507126134893722,7.127049473413835e-05
P010,12,189,Medium/189,3,6.217371441455032e-05,1.391997708039832,8.654566796537711e-05
P010,13,189,Medium/189,4,3.012858246533672e-05,2.9762256427121017,8.966945971190134e-05
P010,14,189,Medium/189,5,6.77426497106786e-05,1.0816706782495953,7.327523785897447e-05
P010,15,605,Water/605,1,5.5671948255064994e-05,1.551229660360801,8.635997738332856e-05
P010,16,605,Water/605,2,2.8112770175452383e-05,3.339226119354329,9.387489645727597e-05
P010,17,605,Water/605,3,5.410848053127675e-05,1.3126320398276947,7.102452517174689e-05
P010,18,605,Water/605,4,4.337415637315545e-05,1.9189061887071501,8.323093709439965e-05
P010,19,605,Water/605,5,4.920591724475142e-05,1.5481097294477857,7.617615923300228e-05
P010,20,453,MedLow/453,1,6.042418660545436e-05,1.1867531421507629,7.1708593315927e-05
P010,21,453,MedLow/453,2,4.908100329608234e-05,1.5857795791411564,7.783165275068717e-05
P010,22,453,MedLow/453,3,5.766495626358633e-05,1.1985730784289204,6.911566414631571e-05
P010,23,453,MedLow/453,4,5.508806434089833e-05,1.2758102748788316,7.028191850930427e-05
P010,24,453,MedLow/453,5,4.310026686954332e-05,1.617954688559735,6.973427885975341e-05
P010,25,258,Low/258,1,3.917963745800529e-05,1.2760277598643455,4.999430501783569e-05
P010,26,258,Low/258,2,5.729513072985826e-05,0.9766255511161219,5.595588862531808e-05
P010,27,258,Low/258,3,4.2779380140284605e-05,2.0089530526023163,8.594176632125967e-05
P010,28,258,Low/258,4,2.905025339309948e-05,2.3131905092868976,6.71987704412972e-05
P010,29,258,Low/258,5,1.4046322226799343e-05,6.900723790262332,9.69297899561648e-05
