subject_id,condition,condition_label,P1_mean_amp,P1_peak_amp,P1_peak_lat,N1_mean_amp,N1_peak_amp,N1_peak_lat,P2_mean_amp,P2_peak_amp,P2_peak_lat,N400_mean_amp,N400_peak_amp,N400_peak_lat,jar_group
P004,893,High/893,6.280666918964277e-06,2.0190246686979663e-05,0.09,1.1425744676849738e-06,-8.95848598503335e-06,0.18,-1.7997620225593476e-05,-9.437154997726793e-06,0.32,5.186769258437431e-06,-8.564459562876435e-06,0.36,Qua_nhieu
P005,605,Water/605,-3.5531244611927297e-06,6.948911202009356e-06,0.1,-4.7777701891763256e-06,-2.0922023963976244e-05,0.18,-5.842363062942451e-06,7.4959981475331006e-06,0.29,1.9849028538893824e-06,-1.0731470410973998e-05,0.46,Khong_du
P005,258,Low/258,1.3827352203423158e-05,2.6589244271235657e-05,0.1,-2.4780763174641673e-06,-3.134187527393806e-05,0.24,1.927272246243698e-05,3.2423342395304645e-05,0.28,1.7908407181203382e-05,5.7964025396965255e-06,0.43,Khong_du
P005,453,MedLow/453,7.502800894241902e-06,1.917136744395975e-05,0.12,-1.865463141838704e-05,-3.9167500767689495e-05,0.22,-3.774886998870059e-06,8.549738799956685e-06,0.32,6.08416063056461e-06,-3.638723622619483e-06,0.42,Khong_du
P005,189,Medium/189,1.0775070183147563e-06,5.971517357039603e-06,0.11,8.184387381569214e-06,-1.0379771038060425e-05,0.14,-4.680189766977845e-06,1.889324658179703e-05,0.33,5.775269116090008e-06,-4.984450574359774e-06,0.43,Vua_phai
P005,762,MedHigh/762,-1.2817580402010464e-06,8.699804357092945e-06,0.1,1.247034606266921e-05,-3.4676674886213733e-06,0.19,2.2129189284433214e-06,1.2774477363564074e-05,0.26,7.359918709921446e-06,-5.940279671238595e-06,0.51,Vua_phai
P005,893,High/893,2.4281344615977622e-06,2.361626978881759e-05,0.09,-1.495220514429589e-05,-3.7421973320306276e-05,0.22,6.484090694742079e-06,2.1346308653846793e-05,0.3,9.437792057491873e-06,-5.482197311816134e-06,0.55,Vua_phai
P006,605,Water/605,-7.092226903284071e-07,6.016775853368017e-06,0.13,-1.5114756904986074e-06,-9.817874800432947e-06,0.19,-2.395962825583699e-06,1.18263500098692e-05,0.3,-7.553557923850507e-06,-2.1850755926304072e-05,0.48,Khong_du
P006,258,Low/258,-5.328267785717092e-06,-1.8271045831852462e-06,0.12,7.847469419336955e-07,-1.4862174783303317e-05,0.2,-3.882154209373827e-06,1.9848919237119844e-06,0.32,-1.5370555163466786e-06,-1.3313102508997568e-05,0.37,Vua_phai
P006,453,MedLow/453,-3.674901776459397e-06,2.3883317737727338e-06,0.09,-3.921394277674812e-06,-1.8277753699180725e-05,0.18,-2.8946379991076847e-06,8.119127602412846e-06,0.24,-6.853480759867505e-06,-1.7335393166225304e-05,0.36,Vua_phai
P006,189,Medium/189,-2.2260936794233563e-07,8.276757949943202e-06,0.11,-6.310491925857902e-07,-1.9949676743635792e-05,0.17,9.190093000855678e-07,1.580147018103162e-05,0.35,5.460369725615545e-06,-6.732197194499653e-06,0.41,Vua_phai
P006,762,MedHigh/762,-6.858652627870855e-06,4.960503858342236e-06,0.12,-1.0002571961820195e-06,-1.2400278336599513e-05,0.17,2.66513655384087e-06,1.632476308088826e-05,0.24,1.1732992194497386e-06,-1.4569952863752178e-05,0.38,Qua_nhieu
P006,893,High/893,-1.5946109797260716e-06,6.828560733159369e-06,0.15,2.6592085176551374e-06,-8.628696593386092e-06,0.16,4.0556319793092943e-07,2.173855277002682e-05,0.34,1.2467977406436933e-06,-7.72961088083927e-06,0.5,Qua_nhieu
P007,605,Water/605,-8.837134187850935e-07,1.0664881580169095e-05,0.15,-2.3724642359597554e-06,-2.172902113670716e-05,0.15,-5.950339038590226e-07,2.1593719111479004e-05,0.33,-6.351100019230671e-06,-2.4311248542593002e-05,0.41,Khong_du
P007,258,Low/258,8.293743975481707e-06,2.9060467841190985e-05,0.14,1.6087405148629777e-06,-1.1722047169371308e-05,0.19,9.47993166278138e-06,2.5218913572189193e-05,0.24,1.7973003965589815e-06,-2.1501758290772465e-05,0.36,Khong_du
P007,453,MedLow/453,1.7324175473731889e-06,1.3672428917743674e-05,0.09,-2.7401468487524155e-06,-2.2190665958987665e-05,0.16,-3.004621170204629e-06,1.0456648578838213e-05,0.28,-1.6912984604949043e-06,-1.7932279759709976e-05,0.4,Qua_nhieu
P007,189,Medium/189,-8.898547016704989e-06,9.332305057796479e-06,0.14,4.375041779977355e-06,-8.088181039056508e-06,0.21,2.032069588503524e-05,3.1314822086869755e-05,0.3,5.3818479304092015e-06,-5.436950126143829e-06,0.54,Qua_nhieu
P007,762,MedHigh/762,3.599360455552868e-06,2.231405840120715e-05,0.1,7.682573200508038e-06,-7.423057434152725e-06,0.23,-1.6349848826048026e-05,1.606321179679071e-05,0.24,-1.030279179524819e-05,-2.267838081782732e-05,0.54,Qua_nhieu
P007,893,High/893,-5.372544297951468e-06,4.664447743607525e-06,0.12,8.733692074436306e-06,-5.083290716356714e-06,0.17,1.8701873071718795e-05,3.215073966345017e-05,0.35,6.906120776291611e-06,-1.4306129969554604e-06,0.46,Qua_nhieu
P008,605,Water/605,2.209103792389604e-06,1.2395843543799857e-05,0.13,5.581142855523327e-06,-3.915725073966315e-06,0.17,9.766041634953544e-06,2.4975361100132428e-05,0.28,6.9455106155472e-06,9.909085510647244e-07,0.55,Khong_du
P008,258,Low/258,4.783604670218925e-07,1.425593812882653e-05,0.1,8.634815159392805e-06,-9.48829662092976e-06,0.2,-1.5912172069275905e-06,1.3488266520766955e-05,0.35,1.2931150085960393e-06,-1.1439934652675749e-05,0.51,Khong_du
P008,453,MedLow/453,1.7788910949282207e-05,2.927917578290362e-05,0.15,2.953369934873122e-06,-1.5286430493688385e-05,0.15,-6.6595540330966365e-06,1.654603270253574e-05,0.35,-4.07023931336606e-07,-1.7557494095399308e-05,0.37,Khong_du
P008,189,Medium/189,1.4404653544326199e-05,2.0851316196512926e-05,0.11,5.417632776140055e-06,-1.181470514666216e-05,0.24,9.440344664185956e-06,2.6086328625751774e-05,0.24,8.152995058390429e-06,-4.1325717461404565e-06,0.35,Vua_phai
P008,762,MedHigh/762,-4.0487891672975313e-07,1.1884758100677572e-05,0.13,-2.7472976181673983e-06,-1.0036896730980515e-05,0.22,-1.4748910250439451e-05,-4.260883429196836e-06,0.23,-4.622856801344847e-06,-1.5031284556243918e-05,0.55,Qua_nhieu
P008,893,High/893,8.996519304156034e-06,2.1554956754243902e-05,0.1,-6.123712152989404e-06,-1.678085018284037e-05,0.22,-1.6661799625475968e-06,1.4629883889938356e-05,0.23,3.6223623412174735e-06,-5.839570796221476e-06,0.53,Qua_nhieu
P009,605,Water/605,-3.1985335214455646e-06,4.676745857068454e-06,0.14,1.9081419263342822e-06,-8.563740607314685e-06,0.2,-8.750979532998407e-06,1.1385844231881492e-06,0.29,-4.004992228661624e-06,-1.9995303503606013e-05,0.55,Khong_du
P009,258,Low/258,-4.366606140138173e-06,8.346208744569594e-06,0.1,2.707586891985292e-07,-1.1951523742936842e-05,0.14,2.904920304466976e-06,2.147277932635916e-05,0.34,-3.38127111800777e-06,-1.6358397463515454e-05,0.55,Khong_du
