subject_id,epoch_ix,condition,condition_label,repeat,jar,jar_group,jar_numeric
P007,4,258,Low/258,5,1.0,Khong_du,0
P007,5,453,MedLow/453,1,4.0,Qua_nhieu,2
P007,6,453,MedLow/453,2,4.0,Qua_nhieu,2
P007,7,453,MedLow/453,3,4.0,Qua_nhieu,2
P007,8,453,MedLow/453,4,4.0,Qua_nhieu,2
P007,9,453,MedLow/453,5,4.0,Qua_nhieu,2
P007,10,605,Water/605,1,1.0,Khong_du,0
P007,11,605,Water/605,2,1.0,Khong_du,0
P007,12,605,Water/605,3,1.0,Khong_du,0
P007,13,605,Water/605,4,1.0,Khong_du,0
P007,14,605,Water/605,5,1.0,Khong_du,0
P007,15,189,Medium/189,1,5.0,Qua_nhieu,2
P007,16,189,Medium/189,2,5.0,Qua_nhieu,2
P007,17,189,Medium/189,3,5.0,Qua_nhieu,2
P007,18,189,Medium/189,4,5.0,Qua_nhieu,2
P007,19,189,Medium/189,5,5.0,Qua_nhieu,2
P007,20,893,High/893,1,5.0,Qua_nhieu,2
P007,21,893,High/893,2,5.0,Qua_nhieu,2
P007,22,893,High/893,3,5.0,Qua_nhieu,2
P007,23,893,High/893,4,5.0,Qua_nhieu,2
P007,24,893,High/893,5,5.0,Qua_nhieu,2
P007,25,762,MedHigh/762,1,4.0,Qua_nhieu,2
P007,26,762,MedHigh/762,2,4.0,Qua_nhieu,2
P007,27,762,MedHigh/762,3,4.0,Qua_nhieu,2
P007,28,762,MedHigh/762,4,4.0,Qua_nhieu,2
P007,29,762,MedHigh/762,5,4.0,Qua_nhieu,2
P008,0,453,MedLow/453,1,2.0,Khong_du,0
P008,1,453,MedLow/453,2,2.0,Khong_du,0
P008,2,453,MedLow/453,3,2.0,Khong_du,0
P008,3,453,MedLow/453,4,2.0,Khong_du,0
P008,4,453,MedLow/453,5,2.0,Khong_du,0
P008,5,189,Medium/189,1,3.0,Vua_phai,1
P008,6,189,Medium/189,2,3.0,Vua_phai,1
P008,7,189,Medium/189,3,3.0,Vua_phai,1
P008,8,189,Medium/189,4,3.0,Vua_phai,1
P008,9,189,Medium/189,5,3.0,Vua_phai,1
P008,10,258,Low/258,1,1.0,Khong_du,0
P008,11,258,Low/258,2,1.0,Khong_du,0
P008,12,258,Low/258,3,1.0,Khong_du,0
P008,13,258,Low/258,4,1.0,Khong_du,0
P008,14,258,Low/258,5,1.0,Khong_du,0
P008,15,762,MedHigh/762,1,4.0,Qua_nhieu,2
P008,16,762,MedHigh/762,2,4.0,Qua_nhieu,2
P008,17,762,MedHigh/762,3,4.0,Qua_nhieu,2
P008,18,762,MedHigh/762,4,4.0,Qua_nhieu,2
P008,19,762,MedHigh/762,5,4.0,Qua_nhieu,2
P008,20,605,Water/605,1,1.0,Khong_du,0
P008,21,605,Water/605,2,1.0,Khong_du,0
P008,22,605,Water/605,3,1.0,Khong_du,0
P008,23,605,Water/605,4,1.0,Khong_du,0
P008,24,605,Water/605,5,1.0,Khong_du,0
P008,25,893,High/893,1,4.0,Qua_nhieu,2
P008,26,893,High/893,2,4.0,Qua_nhieu,2
P008,27,893,High/893,3,4.0,Qua_nhieu,2
P008,28,893,High/893,4,4.0,Qua_nhieu,2
P008,29,893,High/893,5,4.0,Qua_nhieu,2
P009,0,189,Medium/189,1,3.0,Vua_phai,1
P009,1,189,Medium/189,2,3.0,Vua_phai,1
P009,2,189,Medium/189,3,3.0,Vua_phai,1
P009,3,189,Medium/189,4,3.0,Vua_phai,1
P009,4,189,Medium/189,5,3.0,Vua_phai,1
P009,5,762,MedHigh/762,1,4.0,Qua_nhieu,2
P009,6,762,MedHigh/762,2,4.0,Qua_nhieu,2
P009,7,762,MedHigh/762,3,4.0,Qua_nhieu,2
P009,8,762,MedHigh/762,4,4.0,Qua_nhieu,2
P009,9,762,MedHigh/762,5,4.0,Qua_nhieu,2
P009,10,453,MedLow/453,1,2.0,Khong_du,0
P009,11,453,MedLow/453,2,2.0,Khong_du,0
P009,12,453,MedLow/453,3,2.0,Khong_du,0
P009,13,453,MedLow/453,4,2.0,Khong_du,0
P009,14,453,MedLow/453,5,2.0,Khong_du,0
P009,15,893,High/893,1,5.0,Qua_nhieu,2
P009,16,893,High/893,2,5.0,Qua_nhieu,2
P009,17,893,High/893,3,5.0,Qua_nhieu,2
P009,18,893,High/893,4,5.0,Qua_nhieu,2
P009,19,258,Low/258,1,1.0,Khong_du,0
P009,20,258,Low/258,2,1.0,Khong_du,0
P009,21,258,Low/258,3,1.0,Khong_du,0
P009,22,258,Low/258,4,1.0,Khong_du,0
P009,23,258,Low/258,5,1.0,Khong_du,0
P009,24,605,Water/605,1,1.0,Khong_du,0
P009,25,893,High/893,5,5.0,Qua_nhieu,2
P009,26,605,Water/605,2,1.0,Khong_du,0
P009,27,605,Water/605,3,1.0,Khong_du,0
P009,28,605,Water/605,4,1.0,Khong_du,0
P009,29,605,Water/605,5,1.0,Khong_du,0
P010,0,762,MedHigh/762,1,3.0,Vua_phai,1
P010,1,762,MedHigh/762,2,3.0,Vua_phai,1
P010,2,762,MedHigh/762,3,3.0,Vua_phai,1
P010,3,762,MedHigh/762,4,3.0,Vua_phai,1
P010,4,762,MedHigh/762,5,3.0,Vua_phai,1
P010,5,893,High/893,1,4.0,Qua_nhieu,2
P010,6,893,High/893,2,4.0,Qua_nhieu,2
P010,7,893,High/893,3,4.0,Qua_nhieu,2
P010,8,893,High/893,4,4.0,Qua_nhieu,2
P010,9,893,High/893,5,4.0,Qua_nhieu,2
P010,10,189,Medium/189,1,2.0,Khong_du,0
P010,11,189,Medium/189,2,2.0,Khong_du,0
P010,12,189,Medium/189,3,2.0,Khong_du,0
P010,13,189,Medium/189,4,2.0,Khong_du,0
P010,14,189,Medium/189,5,2.0,Khong_du,0
P010,15,605,Water/605,1,1.0,Khong_du,0
P010,16,605,Water/605,2,1.0,Khong_du,0
P010,17,605,Water/605,3,1.0,Khong_du,0
P010,18,605,Water/605,4,1.0,Khong_du,0
P010,19,605,Water/605,5,1.0,Khong_du,0
P010,20,453,MedLow/453,1,2.0,Khong_du,0
P010,21,453,MedLow/453,2,2.0,Khong_du,0
P010,22,453,MedLow/453,3,2.0,Khong_du,0
P010,23,453,MedLow/453,4,2.0,Khong_du,0
P010,24,453,MedLow/453,5,2.0,Khong_du,0
P010,25,258,Low/258,1,1.0,Khong_du,0
P010,26,258,Low/258,2,1.0,Khong_du,0
P010,27,258,Low/258,3,1.0,Khong_du,0
P010,28,258,Low/258,4,1.0,Khong_du,0
P010,29,258,Low/258,5,1.0,Khong_du,0
P011,0,893,High/893,1,2.0,Khong_du,0
P011,1,893,High/893,2,2.0,Khong_du,0
P011,2,893,High/893,3,2.0,Khong_du,0
P011,3,893,High/893,4,2.0,Khong_du,0
P011,4,893,High/893,5,2.0,Khong_du,0
P011,5,605,Water/605,1,1.0,Khong_du,0
P011,6,605,Water/605,2,1.0,Khong_du,0
P011,7,605,Water/605,3,1.0,Khong_du,0
P011,8,605,Water/605,4,1.0,Khong_du,0
P011,9,605,Water/605,5,1.0,Khong_du,0
P011,10,762,MedHigh/762,1,2.0,Khong_du,0
P011,11,762,MedHigh/762,2,2.0,Khong_du,0
P011,12,762,MedHigh/762,3,2.0,Khong_du,0
P011,13,762,MedHigh/762,4,2.0,Khong_du,0
P011,14,762,MedHigh/762,5,2.0,Khong_du,0
P011,15,258,Low/258,1,1.0,Khong_du,0
P011,16,258,Low/258,2,1.0,Khong_du,0
P011,17,258,Low/258,3,1.0,Khong_du,0
P011,18,258,Low/258,4,1.0,Khong_du,0
P011,19,258,Low/258,5,1.0,Khong_du,0
P011,20,189,Medium/189,1,2.0,Khong_du,0
P011,21,189,Medium/189,2,2.0,Khong_du,0
P011,22,189,Medium/189,3,2.0,Khong_du,0
P011,23,189,Medium/189,4,2.0,Khong_du,0
P011,24,189,Medium/189,5,2.0,Khong_du,0
P011,25,453,MedLow/453,1,1.0,Khong_du,0
P011,26,453,MedLow/453,2,1.0,Khong_du,0
P011,27,453,MedLow/453,3,1.0,Khong_du,0
P011,28,453,MedLow/453,4,1.0,Khong_du,0
P011,29,453,MedLow/453,5,1.0,Khong_du,0
P013,0,258,Low/258,1,1.0,Khong_du,0
P013,1,258,Low/258,2,1.0,Khong_du,0
P013,2,258,Low/258,3,1.0,Khong_du,0
P013,3,258,Low/258,4,1.0,Khong_du,0
P013,4,258,Low/258,5,1.0,Khong_du,0
P013,5,453,MedLow/453,1,3.0,Vua_phai,1
P013,6,453,MedLow/453,2,3.0,Vua_phai,1
P013,7,453,MedLow/453,3,3.0,Vua_phai,1
P013,8,453,MedLow/453,4,3.0,Vua_phai,1
P013,9,453,MedLow/453,5,3.0,Vua_phai,1
P013,10,605,Water/605,1,1.0,Khong_du,0
P013,11,605,Water/605,2,1.0,Khong_du,0
P013,12,605,Water/605,3,1.0,Khong_du,0
P013,13,605,Water/605,4,1.0,Khong_du,0
P013,14,605,Water/605,5,1.0,Khong_du,0
P013,15,189,Medium/189,1,4.0,Qua_nhieu,2
P013,16,189,Medium/189,2,4.0,Qua_nhieu,2
P013,17,189,Medium/189,3,4.0,Qua_nhieu,2
P013,18,189,Medium/189,4,4.0,Qua_nhieu,2
P013,19,189,Medium/189,5,4.0,Qua_nhieu,2
P013,20,893,High/893,1,5.0,Qua_nhieu,2
P013,21,893,High/893,2,5.0,Qua_nhieu,2
P013,22,893,High/893,3,5.0,Qua_nhieu,2
P013,23,893,High/893,4,5.0,Qua_nhieu,2
P013,24,893,High/893,5,5.0,Qua_nhieu,2
P013,25,762,MedHigh/762,1,5.0,Qua_nhieu,2
P013,26,762,MedHigh/762,2,5.0,Qua_nhieu,2
P013,27,762,MedHigh/762,3,5.0,Qua_nhieu,2
P013,28,762,MedHigh/762,4,5.0,Qua_nhieu,2
P013,29,762,MedHigh/762,5,5.0,Qua_nhieu,2
P014,0,453,MedLow/453,1,2.0,Khong_du,0
P014,1,453,MedLow/453,2,2.0,Khong_du,0
P014,2,453,MedLow/453,3,2.0,Khong_du,0
P014,3,453,MedLow/453,4,2.0,Khong_du,0
P014,4,453,MedLow/453,5,2.0,Khong_du,0
P014,5,189,Medium/189,1,3.0,Vua_phai,1
P014,6,189,Medium/189,2,3.0,Vua_phai,1
P014,7,189,Medium/189,3,3.0,Vua_phai,1
P014,8,189,Medium/189,4,3.0,Vua_phai,1
P014,9,189,Medium/189,5,3.0,Vua_phai,1
P014,10,258,Low/258,1,1.0,Khong_du,0
P014,11,258,Low/258,2,1.0,Khong_du,0
P014,12,258,Low/258,3,1.0,Khong_du,0
P014,13,258,Low/258,4,1.0,Khong_du,0
P014,14,258,Low/258,5,1.0,Khong_du,0
P014,15,762,MedHigh/762,1,3.0,Vua_phai,1
P014,16,762,MedHigh/762,2,3.0,Vua_phai,1
P014,17,762,MedHigh/762,3,3.0,Vua_phai,1
P014,18,762,MedHigh/762,4,3.0,Vua_phai,1
P014,19,762,MedHigh/762,5,3.0,Vua_phai,1
P014,20,605,Water/605,1,1.0,Khong_du,0
P014,21,605,Water/605,2,1.0,Khong_du,0
P014,22,605,Water/605,3,1.0,Khong_du,0
P014,23,605,Water/605,4,1.0,Khong_du,0
P014,24,605,Water/605,5,1.0,Khong_du,0
P014,25,893,High/893,1,4.0,Qua_nhieu,2
P014,26,893,High/893,2,4.0,Qua_nhieu,2
P014,27,893,High/893,3,4.0,Qua_nhieu,2
P014,28,893,High/893,4,4.0,Qua_nhieu,2
P014,29,893,High/893,5,4.0,Qua_nhieu,2
P015,0,189,Medium/189,1,3.0,Vua_phai,1
P015,1,189,Medium/189,2,3.0,Vua_phai,1
P015,2,189,Medium/189,3,3.0,Vua_phai,1
P015,3,189,Medium/189,4,3.0,Vua_phai,1
P015,4,189,Medium/189,5,3.0,Vua_phai,1
P015,5,762,MedHigh/762,1,4.0,Qua_nhieu,2
P015,6,762,MedHigh/762,2,4.0,Qua_nhieu,2
P015,7,762,MedHigh/762,3,4.0,Qua_nhieu,2
P015,8,762,MedHigh/762,4,4.0,Qua_nhieu,2
P015,9,762,MedHigh/762,5,4.0,Qua_nhieu,2
P015,10,453,MedLow/453,1,1.0,Khong_du,0
P015,11,453,MedLow/453,2,1.0,Khong_du,0
P015,12,453,MedLow/453,3,1.0,Khong_du,0
P015,13,453,MedLow/453,4,1.0,Khong_du,0
P015,14,453,MedLow/453,5,1.0,Khong_du,0
P015,15,893,High/893,1,5.0,Qua_nhieu,2
P015,16,893,High/893,2,5.0,Qua_nhieu,2
P015,17,893,High/893,3,5.0,Qua_nhieu,2
P015,18,893,High/893,4,5.0,Qua_nhieu,2
P015,19,893,High/893,5,5.0,Qua_nhieu,2
P015,20,258,Low/258,1,1.0,Khong_du,0
P015,21,258,Low/258,2,1.0,Khong_du,0
P015,22,258,Low/258,3,1.0,Khong_du,0
P015,23,258,Low/258,4,1.0,Khong_du,0
P015,24,258,Low/258,5,1.0,Khong_du,0
P015,25,605,Water/605,1,1.0,Khong_du,0
P015,26,605,Water/605,2,1.0,Khong_du,0
P015,27,605,Water/605,3,1.0,Khong_du,0
P015,28,605,Water/605,4,1.0,Khong_du,0
P015,29,605,Water/605,5,1.0,Khong_du,0
P016,0,762,MedHigh/762,1,3.0,Vua_phai,1
