subject_id,trial_ix,condition,repeat,trigger_sample,offset_rms,offset_woody,offset_final,new_onset,offset_sec
P005,5,605,1,52400,0,200,99,52499,0.99
P005,6,605,2,65800,0,50,0,65800,0.0
P005,7,605,3,75100,65,0,65,75165,0.65
P005,8,605,4,84200,116,0,207,84407,2.07
P005,9,605,5,95400,0,0,0,95400,0.0
P005,10,762,1,112600,135,39,135,112735,1.35
P005,11,762,2,125800,21,0,21,125821,0.21
P005,12,762,3,137500,37,137,37,137537,0.37
P005,13,762,4,145700,0,0,0,145700,0.0
P005,14,762,5,154900,0,199,41,154941,0.41
P005,15,258,1,166000,0,48,0,166000,0.0
P005,16,258,2,182300,24,145,24,182324,0.24
P005,17,258,3,189900,26,0,26,189926,0.26
P005,18,258,4,198500,28,14,42,198542,0.42
P005,19,258,5,209100,119,189,119,209219,1.19
P005,20,189,1,219400,43,0,91,219491,0.91
P005,21,189,2,231300,67,0,107,231407,1.07
P005,22,189,3,238800,74,11,74,238874,0.74
P005,23,189,4,249100,31,120,31,249131,0.31
P005,24,189,5,262800,84,30,84,262884,0.84
P005,25,453,1,279000,0,143,97,279097,0.97
P005,26,453,2,291400,0,0,0,291400,0.0
P005,27,453,3,302300,0,56,78,302378,0.78
P005,28,453,4,315700,28,0,28,315728,0.28
P005,29,453,5,326700,22,8,22,326722,0.22
P006,0,605,1,1100,0,0,98,1198,0.98
P006,1,605,2,16700,125,0,187,16887,1.87
P006,2,605,3,25100,0,35,0,25100,0.0
P006,3,605,4,32700,55,106,55,32755,0.55
P006,4,605,5,42100,88,0,88,42188,0.88
P006,5,258,1,55000,0,33,0,55000,0.0
P006,6,258,2,65300,0,14,7,65307,0.07
P006,7,258,3,72500,172,22,269,72769,2.69
P006,8,258,4,80700,0,73,56,80756,0.56
P006,9,258,5,90900,0,63,56,90956,0.56
P006,10,893,1,103800,149,194,249,104049,2.49
P006,11,893,2,120200,0,23,0,120200,0.0
P006,12,893,3,129400,49,0,49,129449,0.49
P006,13,893,4,137700,104,0,203,137903,2.03
P006,14,893,5,145100,174,62,181,145281,1.81
P006,15,453,1,161400,83,114,132,161532,1.32
P006,16,453,2,175200,106,200,172,175372,1.72
P006,17,453,3,186700,88,44,88,186788,0.88
P006,18,453,4,194500,0,0,4,194504,0.04
P006,19,453,5,203300,0,0,14,203314,0.14
P006,20,762,1,214200,32,160,62,214262,0.62
P006,21,762,2,226700,157,52,157,226857,1.57
P006,22,762,3,236400,156,63,255,236655,2.55
P006,23,762,4,246400,45,39,45,246445,0.45
P006,24,762,5,254500,0,0,99,254599,0.99
P006,25,189,1,267100,73,0,173,267273,1.73
P006,26,189,2,280200,0,68,0,280200,0.0
P006,27,189,3,287900,0,192,94,287994,0.94
P006,28,189,4,294800,71,173,101,294901,1.01
P006,29,189,5,303000,0,172,20,303020,0.2
P007,0,258,1,1400,0,173,0,1400,0.0
P007,1,258,2,14600,113,68,113,14713,1.13
P007,2,258,3,23600,3,0,3,23603,0.03
P007,3,258,4,31300,24,125,24,31324,0.24
P007,4,258,5,39500,102,67,102,39602,1.02
P007,5,453,1,49500,30,0,115,49615,1.15
P007,6,453,2,59500,0,82,0,59500,0.0
P007,7,453,3,66700,0,77,5,66705,0.05
P007,8,453,4,75100,23,0,87,75187,0.87
P007,9,453,5,83600,119,14,119,83719,1.19
P007,10,605,1,95300,39,0,39,95339,0.39
P007,11,605,2,105000,0,198,0,105000,0.0
P007,12,605,3,112700,0,15,84,112784,0.84
P007,13,605,4,120600,141,44,141,120741,1.41
P007,14,605,5,127900,44,40,85,127985,0.85
P007,15,189,1,139800,0,65,63,139863,0.63
P007,16,189,2,148900,0,110,98,148998,0.98
P007,17,189,3,156000,0,199,0,156000,0.0
P007,18,189,4,165900,0,142,98,165998,0.98
P007,19,189,5,176200,22,0,22,176222,0.22
P007,20,893,1,189300,0,189,1,189301,0.01
P007,21,893,2,198600,0,200,0,198600,0.0
P007,22,893,3,205900,164,54,254,206154,2.54
P007,23,893,4,215000,0,127,97,215097,0.97
P007,24,893,5,222000,56,0,56,222056,0.56
P007,25,762,1,230400,99,185,157,230557,1.57
P007,26,762,2,242500,0,30,0,242500,0.0
P007,27,762,3,252200,0,64,0,252200,0.0
P007,28,762,4,259900,102,171,109,260009,1.09
P007,29,762,5,270000,0,199,99,270099,0.99
P008,0,453,1,11400,110,0,125,11525,1.25
P008,1,453,2,18400,0,0,94,18494,0.94
P008,2,453,3,24800,33,0,120,24920,1.2
P008,3,453,4,33100,40,138,56,33156,0.56
P008,4,453,5,40500,194,10,194,40694,1.94
P008,5,189,1,49000,0,109,64,49064,0.64
P008,6,189,2,60000,0,140,0,60000,0.0
P008,7,189,3,66400,0,24,84,66484,0.84
P008,8,189,4,74400,118,0,118,74518,1.18
P008,9,189,5,82300,120,54,196,82496,1.96
P008,10,258,1,90100,51,149,99,90199,0.99
P008,11,258,2,100800,40,0,64,100864,0.64
P008,12,258,3,109500,0,0,0,109500,0.0
P008,13,258,4,116300,0,185,95,116395,0.95
P008,14,258,5,126300,88,94,88,126388,0.88
P008,15,762,1,138700,0,57,0,138700,0.0
P008,16,762,2,150400,77,32,176,150576,1.76
P008,17,762,3,160000,0,169,98,160098,0.98
P008,18,762,4,170800,144,0,144,170944,1.44
P008,19,762,5,179000,0,198,13,179013,0.13
P008,20,605,1,191500,0,177,0,191500,0.0
P008,21,605,2,211100,0,136,100,211200,1.0
P008,22,605,3,219400,0,83,83,219483,0.83
P008,23,605,4,228800,0,173,0,228800,0.0
P008,24,605,5,238100,87,0,90,238190,0.9
P008,25,893,1,248700,126,125,174,248874,1.74
P008,26,893,2,260900,57,24,85,260985,0.85
P008,27,893,3,269600,0,135,0,269600,0.0
P008,28,893,4,277500,0,2,99,277599,0.99
P008,29,893,5,287100,2,0,91,287191,0.91
P009,0,189,1,1200,103,0,103,1303,1.03
P009,1,189,2,13700,0,0,0,13700,0.0
P009,2,189,3,23600,0,179,23,23623,0.23
P009,3,189,4,32700,32,162,112,32812,1.12
P009,4,189,5,40800,169,10,243,41043,2.43
P009,5,762,1,50800,0,0,0,50800,0.0
P009,6,762,2,61800,96,196,196,61996,1.96
P009,7,762,3,69500,0,32,66,69566,0.66
P009,8,762,4,79700,0,122,96,79796,0.96
P009,9,762,5,87900,36,0,36,87936,0.36
P009,10,453,1,98600,0,0,0,98600,0.0
P009,11,453,2,109600,134,0,134,109734,1.34
P009,12,453,3,116700,118,0,119,116819,1.19
P009,13,453,4,124500,0,200,0,124500,0.0
P009,14,453,5,133200,0,91,23,133223,0.23
P009,15,893,1,145500,0,160,60,145560,0.6
P009,16,893,2,165700,0,116,100,165800,1.0
P009,17,893,3,174000,0,175,75,174075,0.75
P009,18,893,4,180100,0,152,0,180100,0.0
P009,19,258,1,192100,0,115,99,192199,0.99
P009,20,258,2,203400,0,0,0,203400,0.0
P009,21,258,3,212000,43,87,111,212111,1.11
P009,22,258,4,222300,0,129,97,222397,0.97
P009,23,258,5,233100,0,0,0,233100,0.0
P009,24,605,1,245200,51,0,51,245251,0.51
P009,25,893,5,247000,0,0,0,247000,0.0
P009,26,605,2,256700,0,9,74,256774,0.74
P009,27,605,3,264000,0,144,59,264059,0.59
P009,28,605,4,273000,0,110,99,273099,0.99
P009,29,605,5,284400,52,0,65,284465,0.65
P010,0,762,1,2400,43,73,43,2443,0.43
P010,1,762,2,13300,39,100,58,13358,0.58
P010,2,762,3,22500,29,80,68,22568,0.68
P010,3,762,4,31600,0,44,28,31628,0.28
P010,4,762,5,39900,0,192,100,40000,1.0
P010,5,893,1,50700,23,0,24,50724,0.24
P010,6,893,2,65100,0,1,1,65101,0.01
P010,7,893,3,76300,0,0,0,76300,0.0
P010,8,893,4,85300,0,0,60,85360,0.6
P010,9,893,5,92600,0,0,0,92600,0.0
P010,10,189,1,102000,0,0,0,102000,0.0
P010,11,189,2,112700,36,40,36,112736,0.36
P010,12,189,3,124100,64,155,157,124257,1.57
P010,13,189,4,133200,87,52,87,133287,0.87
P010,14,189,5,142400,49,104,102,142502,1.02
P010,15,605,1,150500,0,43,99,150599,0.99
P010,16,605,2,161700,25,126,25,161725,0.25
P010,17,605,3,169400,0,87,0,169400,0.0
P010,18,605,4,178500,98,10,98,178598,0.98
P010,19,605,5,186100,50,187,52,186152,0.52
P010,20,453,1,198400,0,145,0,198400,0.0
P010,21,453,2,209400,196,0,196,209596,1.96
P010,22,453,3,218800,0,173,13,218813,0.13
P010,23,453,4,227000,46,3,129,227129,1.29
P010,24,453,5,236800,25,0,124,236924,1.24
P010,25,258,1,247900,0,37,5,247905,0.05
P010,26,258,2,258800,0,197,0,258800,0.0
P010,27,258,3,267400,170,53,252,267652,2.52
P010,28,258,4,275400,0,0,99,275499,0.99
P010,29,258,5,284800,77,0,177,284977,1.77
P011,0,893,1,8600,0,118,0,8600,0.0
P011,1,893,2,22800,49,83,49,22849,0.49
P011,2,893,3,35400,0,0,0,35400,0.0
P011,3,893,4,42900,116,152,116,43016,1.16
P011,4,893,5,52300,119,157,141,52441,1.41
P011,5,605,1,70500,0,154,0,70500,0.0
P011,6,605,2,80700,0,200,0,80700,0.0
P011,7,605,3,89700,133,114,133,89833,1.33
P011,8,605,4,101100,0,0,41,101141,0.41
P011,9,605,5,112300,67,65,142,112442,1.42
P011,10,762,1,129500,31,82,32,129532,0.32
P011,11,762,2,148500,49,0,145,148645,1.45
P011,12,762,3,156100,167,121,196,156296,1.96
P011,13,762,4,166600,0,129,4,166604,0.04
P011,14,762,5,176600,180,68,183,176783,1.83
P011,15,258,1,192900,73,0,149,193049,1.49
P011,16,258,2,206400,0,199,94,206494,0.94
P011,17,258,3,218500,0,0,16,218516,0.16
P011,18,258,4,228500,0,0,40,228540,0.4
P011,19,258,5,237300,179,0,215,237515,2.15
P011,20,189,1,244200,0,27,0,244200,0.0
P011,21,189,2,254000,135,0,135,254135,1.35
P011,22,189,3,261600,66,183,153,261753,1.53
P011,23,189,4,270300,83,176,84,270384,0.84
P011,24,189,5,280100,74,84,153,280253,1.53
P011,25,453,1,288300,0,77,0,288300,0.0
P011,26,453,2,299500,0,148,0,299500,0.0
P011,27,453,3,308900,0,0,0,308900,0.0
P011,28,453,4,317400,0,0,0,317400,0.0
P011,29,453,5,326800,0,154,0,326800,0.0
P013,0,258,1,7700,77,49,91,7791,0.91
P013,1,258,2,17100,132,0,132,17232,1.32
P013,2,258,3,26800,0,0,0,26800,0.0
P013,3,258,4,35300,39,3,39,35339,0.39
P013,4,258,5,44100,0,175,11,44111,0.11
P013,5,453,1,54700,0,0,0,54700,0.0
P013,6,453,2,70400,0,0,0,70400,0.0
P013,7,453,3,77600,49,0,50,77650,0.5
P013,8,453,4,85100,0,193,42,85142,0.42
P013,9,453,5,94900,48,0,48,94948,0.48
P013,10,605,1,102000,0,0,0,102000,0.0
P013,11,605,2,112300,0,99,26,112326,0.26
P013,12,605,3,119500,0,1,0,119500,0.0
P013,13,605,4,127200,37,0,37,127237,0.37
P013,14,605,5,136300,30,0,30,136330,0.3
P013,15,189,1,151000,0,0,98,151098,0.98
P013,16,189,2,160100,38,59,38,160138,0.38
P013,17,189,3,168700,35,0,96,168796,0.96
P013,18,189,4,177900,0,67,0,177900,0.0
P013,19,189,5,185700,0,0,97,185797,0.97
P013,20,893,1,194600,43,144,107,194707,1.07
