frame_idx,t_lsl,t_epoch,ma_mau,lan_lap
0,7723481.456052,1774264203.586339,0,0
1,7723481.467049,1774264203.597288,0,0
2,7723481.487514,1774264203.617307,0,0
3,7723481.520726,1774264203.650125,0,0
4,7723481.529126,1774264203.658174,0,0
5,7723481.553022,1774264203.681747,0,0
6,7723481.561602,1774264203.690748,0,0
7,7723481.585115,1774264203.714876,0,0
8,7723481.59452,1774264203.72341,0,0
9,7723481.616682,1774264203.74615,0,0
10,7723481.62585,1774264203.754423,0,0
11,7723481.650766,1774264203.781145,0,0
12,7723481.660667,1774264203.791155,0,0
13,7723481.680109,1774264203.810107,0,0
14,7723481.689593,1774264203.818102,0,0
15,7723481.714138,1774264203.84305,0,0
16,7723481.722824,1774264203.851337,0,0
17,7723481.744669,1774264203.874144,0,0
18,7723481.753956,1774264203.882441,0,0
19,7723481.776425,1774264203.905952,0,0
20,7723481.785772,1774264203.913295,0,0
21,7723481.794955,1774264203.923797,0,0
22,7723481.824014,1774264203.952866,0,0
23,7723481.833447,1774264203.961411,0,0
24,7723481.857317,1774264203.986808,0,0
25,7723481.866915,1774264203.995139,0,0
26,7723481.88963,1774264204.018106,0,0
27,7723481.92106,1774264204.050172,0,0
28,7723481.928401,1774264204.057506,0,0
29,7723481.953441,1774264204.081794,0,0
30,7723481.962164,1774264204.090794,0,0
31,7723481.986277,1774264204.114626,0,0
32,7723481.995244,1774264204.123569,0,0
33,7723482.019111,1774264204.14758,0,0
34,7723482.028255,1774264204.156581,0,0
35,7723482.050226,1774264204.17859,0,0
36,7723482.059206,1774264204.188649,0,0
37,7723482.081524,1774264204.210553,0,0
38,7723482.091065,1774264204.218542,0,0
39,7723482.114072,1774264204.243029,0,0
40,7723482.122796,1774264204.25032,0,0
41,7723482.144112,1774264204.273937,0,0
42,7723482.152318,1774264204.280238,0,0
43,7723482.176507,1774264204.306291,0,0
44,7723482.1858,1774264204.313289,0,0
45,7723482.193866,1774264204.322291,0,0
46,7723482.223918,1774264204.352779,0,0
47,7723482.232719,1774264204.361085,0,0
48,7723482.258106,1774264204.387163,0,0
49,7723482.267492,1774264204.396163,0,0
50,7723482.288949,1774264204.417449,0,0
51,7723482.320565,1774264204.448675,0,0
52,7723482.329178,1774264204.457671,0,0
53,7723482.352394,1774264204.480587,0,0
54,7723482.361192,1774264204.48965,0,0
55,7723482.384948,1774264204.51409,0,0
56,7723482.393559,1774264204.522087,0,0
57,7723482.418261,1774264204.546626,0,0
58,7723482.427398,1774264204.555626,0,0
59,7723482.448841,1774264204.576937,0,0
60,7723482.457496,1774264204.587001,0,0
61,7723482.482123,1774264204.610559,0,0
62,7723482.491264,1774264204.619563,0,0
63,7723482.513596,1774264204.642132,0,0
64,7723482.522116,1774264204.650176,0,0
65,7723482.544972,1774264204.673041,0,0
66,7723482.553558,1774264204.682057,0,0
67,7723482.578956,1774264204.708139,0,0
68,7723482.587114,1774264204.71516,0,0
69,7723482.595885,1774264204.72416,0,0
70,7723482.623816,1774264204.752009,0,0
71,7723482.631294,1774264204.759316,0,0
72,7723482.657062,1774264204.786532,0,0
73,7723482.667118,1774264204.795524,0,0
74,7723482.689415,1774264204.817961,0,0
75,7723482.720569,1774264204.848716,0,0
76,7723482.729192,1774264204.857716,0,0
77,7723482.75341,1774264204.881928,0,0
78,7723482.761535,1774264204.889928,0,0
79,7723482.784919,1774264204.913128,0,0
80,7723482.793746,1774264204.922123,0,0
81,7723482.816495,1774264204.944655,0,0
82,7723482.825311,1774264204.953655,0,0
83,7723482.848191,1774264204.976382,0,0
84,7723482.857002,1774264204.986376,0,0
85,7723482.88147,1774264205.0105,0,0
86,7723482.890308,1774264205.018794,0,0
87,7723482.913578,1774264205.042577,0,0
88,7723482.922518,1774264205.050579,0,0
89,7723482.944644,1774264205.073109,0,0
90,7723482.95358,1774264205.081108,0,0
91,7723482.976442,1774264205.105217,0,0
92,7723482.985004,1774264205.113503,0,0
93,7723482.992391,1774264205.120504,0,0
94,7723483.025362,1774264205.154899,0,0
95,7723483.035453,1774264205.163877,0,0
96,7723483.058205,1774264205.187707,0,0
97,7723483.068216,1774264205.196707,0,0
98,7723483.088801,1774264205.217392,0,0
99,7723483.119283,1774264205.248358,0,0
100,7723483.127841,1774264205.255358,0,0
101,7723483.152346,1774264205.281078,0,0
102,7723483.161654,1774264205.290078,0,0
103,7723483.184851,1774264205.313439,0,0
104,7723483.193001,1774264205.321011,0,0
105,7723483.216768,1774264205.345556,0,0
106,7723483.225426,1774264205.353826,0,0
107,7723483.248289,1774264205.376295,0,0
108,7723483.25691,1774264205.386629,0,0
109,7723483.280987,1774264205.409469,0,0
110,7723483.290024,1774264205.417964,0,0
111,7723483.313822,1774264205.442157,0,0
112,7723483.322278,1774264205.450147,0,0
113,7723483.345637,1774264205.473669,0,0
114,7723483.354317,1774264205.482669,0,0
115,7723483.377493,1774264205.506486,0,0
116,7723483.386499,1774264205.514583,0,0
117,7723483.395145,1774264205.523219,0,0
118,7723483.424629,1774264205.552726,0,0
119,7723483.433267,1774264205.560727,0,0
120,7723483.458916,1774264205.58837,0,0
121,7723483.469021,1774264205.597373,0,0
122,7723483.488916,1774264205.617445,0,0
123,7723483.522134,1774264205.650939,0,0
124,7723483.530712,1774264205.658933,0,0
125,7723483.553864,1774264205.682201,0,0
126,7723483.562247,1774264205.690246,0,0
127,7723483.586929,1774264205.715286,0,0
128,7723483.59527,1774264205.723289,0,0
129,7723483.616419,1774264205.745133,0,0
130,7723483.624628,1774264205.753133,0,0
131,7723483.648299,1774264205.777414,0,0
132,7723483.657337,1774264205.786718,0,0
133,7723483.68158,1774264205.810574,0,0
134,7723483.691163,1774264205.819192,0,0
135,7723483.713255,1774264205.841649,0,0
136,7723483.720578,1774264205.848753,0,0
137,7723483.74658,1774264205.875194,0,0
138,7723483.755204,1774264205.883194,0,0
139,7723483.777917,1774264205.906309,0,0
140,7723483.785806,1774264205.913589,0,0
141,7723483.793204,1774264205.920894,0,0
142,7723483.80896,1774264205.937374,0,0
143,7723483.817239,1774264205.945403,0,0
144,7723483.855329,1774264205.985416,0,0
145,7723483.864328,1774264205.992437,0,0
146,7723483.890879,1774264206.019271,0,0
147,7723483.921361,1774264206.049802,0,0
148,7723483.930538,1774264206.058798,0,0
149,7723483.953415,1774264206.081932,0,0
150,7723483.96172,1774264206.08922,0,0
151,7723483.984807,1774264206.113321,0,0
152,7723483.993841,1774264206.121327,0,0
153,7723484.018017,1774264206.14657,0,0
154,7723484.027108,1774264206.154511,0,0
155,7723484.048341,1774264206.17677,0,0
156,7723484.05721,1774264206.186765,0,0
157,7723484.079569,1774264206.208566,0,0
158,7723484.088475,1774264206.216581,0,0
159,7723484.111744,1774264206.239718,0,0
160,7723484.120238,1774264206.248284,0,0
161,7723484.146871,1774264206.275226,0,0
162,7723484.155237,1774264206.283226,0,0
163,7723484.177654,1774264206.305677,0,0
164,7723484.186331,1774264206.314676,0,0
165,7723484.194545,1774264206.322005,0,0
166,7723484.22437,1774264206.352307,0,0
167,7723484.232195,1774264206.360324,0,0
168,7723484.256819,1774264206.386558,0,0
169,7723484.266027,1774264206.394618,0,0
170,7723484.288975,1774264206.417594,0,0
171,7723484.320457,1774264206.44841,0,0
172,7723484.329033,1774264206.45741,0,0
173,7723484.352656,1774264206.480792,0,0
174,7723484.361482,1774264206.489791,0,0
175,7723484.385004,1774264206.513103,0,0
176,7723484.393719,1774264206.52211,0,0
177,7723484.417029,1774264206.545078,0,0
178,7723484.425777,1774264206.55414,0,0
179,7723484.448304,1774264206.577354,0,0
180,7723484.45723,1774264206.587383,0,0
181,7723484.482266,1774264206.610796,0,0
182,7723484.491445,1774264206.619797,0,0
183,7723484.513328,1774264206.641884,0,0
184,7723484.521526,1774264206.649884,0,0
185,7723484.545077,1774264206.673597,0,0
186,7723484.553109,1774264206.681091,0,0
187,7723484.576532,1774264206.704452,0,0
188,7723484.584339,1774264206.712453,0,0
189,7723484.591942,1774264206.719745,0,0
190,7723484.608794,1774264206.736888,0,0
191,7723484.617001,1774264206.744932,0,0
192,7723484.656547,1774264206.785713,0,0
193,7723484.666412,1774264206.794714,0,0
194,7723484.68899,1774264206.817552,0,0
195,7723484.721621,1774264206.850024,0,0
196,7723484.729062,1774264206.857053,0,0
197,7723484.751875,1774264206.880024,0,0
198,7723484.759887,1774264206.888024,0,0
199,7723484.783928,1774264206.913029,0,0
200,7723484.792881,1774264206.921029,0,0
201,7723484.815531,1774264206.944599,0,0
202,7723484.824476,1774264206.953599,0,0
203,7723484.847564,1774264206.976599,0,0
