frame_idx,t_lsl,t_epoch,ma_mau,lan_lap
0,6834402.57032,1773375131.908188,0,0
1,6834402.593427,1773375131.926231,0,0
2,6834402.609753,1773375131.935745,0,0
3,6834402.634867,1773375131.960744,0,0
4,6834402.645787,1773375131.971746,0,0
5,6834402.666867,1773375131.991744,0,0
6,6834402.676755,1773375132.000743,0,0
7,6834402.698935,1773375132.02475,0,0
8,6834402.709729,1773375132.033257,0,0
9,6834402.730802,1773375132.054708,0,0
10,6834402.740056,1773375132.062708,0,0
11,6834402.762377,1773375132.086435,0,0
12,6834402.769608,1773375132.095142,0,0
13,6834402.794946,1773375132.118901,0,0
14,6834402.80392,1773375132.1269,0,0
15,6834402.826542,1773375132.151497,0,0
16,6834402.834629,1773375132.158538,0,0
17,6834402.859604,1773375132.184496,0,0
18,6834402.869599,1773375132.193497,0,0
19,6834402.906977,1773375132.231441,0,0
20,6834402.918408,1773375132.241446,0,0
21,6834402.926459,1773375132.252444,0,0
22,6834402.938539,1773375132.263471,0,0
23,6834402.948507,1773375132.273486,0,0
24,6834402.972534,1773375132.298447,0,0
25,6834402.98361,1773375132.307445,0,0
26,6834403.002513,1773375132.326449,0,0
27,6834403.035098,1773375132.358964,0,0
28,6834403.044015,1773375132.369978,0,0
29,6834403.066432,1773375132.392959,0,0
30,6834403.078077,1773375132.402962,0,0
31,6834403.099075,1773375132.424968,0,0
32,6834403.109967,1773375132.434047,0,0
33,6834403.130077,1773375132.455048,0,0
34,6834403.139094,1773375132.46305,0,0
35,6834403.162172,1773375132.487046,0,0
36,6834403.172041,1773375132.49805,0,0
37,6834403.194185,1773375132.520055,0,0
38,6834403.203106,1773375132.527055,0,0
39,6834403.227937,1773375132.551326,0,0
40,6834403.236918,1773375132.559326,0,0
41,6834403.259833,1773375132.583341,0,0
42,6834403.268829,1773375132.591328,0,0
43,6834403.291626,1773375132.615004,0,0
44,6834403.300876,1773375132.624085,0,0
45,6834403.309193,1773375132.631576,0,0
46,6834403.340858,1773375132.66415,0,0
47,6834403.349575,1773375132.672194,0,0
48,6834403.372014,1773375132.696549,0,0
49,6834403.38215,1773375132.704888,0,0
50,6834403.404799,1773375132.727646,0,0
51,6834403.434728,1773375132.75763,0,0
52,6834403.443679,1773375132.765983,0,0
53,6834403.467271,1773375132.790242,0,0
54,6834403.475992,1773375132.798286,0,0
55,6834403.500481,1773375132.823772,0,0
56,6834403.509458,1773375132.832343,0,0
57,6834403.5305,1773375132.854105,0,0
58,6834403.537936,1773375132.861105,0,0
59,6834403.562974,1773375132.887105,0,0
60,6834403.570866,1773375132.896147,0,0
61,6834403.594147,1773375132.918108,0,0
62,6834403.603215,1773375132.926108,0,0
63,6834403.626996,1773375132.950978,0,0
64,6834403.63598,1773375132.959018,0,0
65,6834403.659032,1773375132.983979,0,0
66,6834403.667989,1773375132.990978,0,0
67,6834403.707278,1773375133.030721,0,0
68,6834403.715693,1773375133.039727,0,0
69,6834403.724686,1773375133.048727,0,0
70,6834403.738705,1773375133.06276,0,0
