frame_idx,t_lsl,t_epoch,ma_mau,lan_lap
0,8045147.879972,1774585865.612316,0,0
1,8045147.904089,1774585865.628315,0,0
2,8045147.920084,1774585865.64035,0,0
3,8045147.946136,1774585865.664363,0,0
4,8045147.956112,1774585865.674515,0,0
5,8045147.976312,1774585865.695513,0,0
6,8045147.985276,1774585865.702477,0,0
7,8045148.008423,1774585865.729511,0,0
8,8045148.02118,1774585865.738502,0,0
9,8045148.039554,1774585865.758557,0,0
10,8045148.050405,1774585865.767559,0,0
11,8045148.071903,1774585865.790075,0,0
12,8045148.081815,1774585865.801111,0,0
13,8045148.103864,1774585865.823113,0,0
14,8045148.112907,1774585865.830115,0,0
15,8045148.135854,1774585865.854076,0,0
16,8045148.145918,1774585865.863081,0,0
17,8045148.167414,1774585865.885646,0,0
18,8045148.177402,1774585865.894647,0,0
19,8045148.216424,1774585865.936645,0,0
20,8045148.226653,1774585865.946647,0,0
21,8045148.23842,1774585865.957665,0,0
22,8045148.247505,1774585865.967651,0,0
23,8045148.259604,1774585865.978746,0,0
24,8045148.280526,1774585866.001743,0,0
25,8045148.293596,1774585866.011743,0,0
26,8045148.310539,1774585866.030743,0,0
27,8045148.343582,1774585866.063754,0,0
28,8045148.355591,1774585866.07727,0,0
29,8045148.376117,1774585866.095267,0,0
30,8045148.387009,1774585866.104269,0,0
31,8045148.408002,1774585866.129267,0,0
32,8045148.4201,1774585866.138269,0,0
33,8045148.440036,1774585866.159274,0,0
34,8045148.449009,1774585866.166275,0,0
35,8045148.471646,1774585866.190792,0,0
36,8045148.482605,1774585866.20179,0,0
37,8045148.505473,1774585866.224155,0,0
38,8045148.515235,1774585866.231155,0,0
39,8045148.536353,1774585866.253243,0,0
40,8045148.54407,1774585866.260305,0,0
41,8045148.570131,1774585866.287635,0,0
42,8045148.578964,1774585866.294636,0,0
43,8045148.617646,1774585866.334856,0,0
44,8045148.627332,1774585866.343857,0,0
45,8045148.635199,1774585866.351858,0,0
46,8045148.648362,1774585866.364964,0,0
47,8045148.657352,1774585866.374019,0,0
48,8045148.681085,1774585866.399645,0,0
49,8045148.691488,1774585866.407618,0,0
50,8045148.713877,1774585866.43054,0,0
51,8045148.745321,1774585866.462338,0,0
52,8045148.753965,1774585866.471288,0,0
53,8045148.777525,1774585866.494823,0,0
54,8045148.786636,1774585866.503803,0,0
55,8045148.808651,1774585866.525816,0,0
56,8045148.818213,1774585866.534761,0,0
57,8045148.840629,1774585866.557813,0,0
58,8045148.849121,1774585866.565104,0,0
59,8045148.872634,1774585866.589803,0,0
60,8045148.882219,1774585866.599803,0,0
61,8045148.904235,1774585866.622399,0,0
62,8045148.913824,1774585866.630392,0,0
63,8045148.936261,1774585866.654171,0,0
64,8045148.945851,1774585866.661491,0,0
65,8045148.968444,1774585866.685751,0,0
66,8045148.97682,1774585866.692752,0,0
67,8045149.016776,1774585866.733794,0,0
68,8045149.025647,1774585866.741837,0,0
69,8045149.034352,1774585866.751792,0,0
70,8045149.047643,1774585866.767818,0,0
71,8045149.059569,1774585866.776894,0,0
72,8045149.079637,1774585866.800891,0,0
73,8045149.091718,1774585866.80889,0,0
74,8045149.110655,1774585866.828891,0,0
75,8045149.143733,1774585866.862898,0,0
76,8045149.154728,1774585866.873175,0,0
77,8045149.175901,1774585866.895174,0,0
78,8045149.186876,1774585866.90518,0,0
79,8045149.207983,1774585866.926174,0,0
80,8045149.218683,1774585866.935173,0,0
81,8045149.241283,1774585866.958566,0,0
82,8045149.249931,1774585866.966567,0,0
83,8045149.273548,1774585866.990069,0,0
84,8045149.282527,1774585867.001069,0,0
85,8045149.305353,1774585867.021944,0,0
86,8045149.31293,1774585867.029156,0,0
87,8045149.336677,1774585867.053938,0,0
88,8045149.34399,1774585867.059889,0,0
89,8045149.369686,1774585867.086925,0,0
90,8045149.378553,1774585867.094929,0,0
91,8045149.38669,1774585867.102926,0,0
92,8045149.4175,1774585867.134706,0,0
93,8045149.426549,1774585867.142754,0,0
94,8045149.447832,1774585867.164138,0,0
95,8045149.456483,1774585867.173642,0,0
96,8045149.479506,1774585867.19771,0,0
97,8045149.489394,1774585867.20571,0,0
98,8045149.513674,1774585867.230343,0,0
99,8045149.544026,1774585867.261153,0,0
100,8045149.552667,1774585867.269154,0,0
101,8045149.577361,1774585867.294077,0,0
102,8045149.586715,1774585867.302688,0,0
103,8045149.609179,1774585867.325845,0,0
104,8045149.618403,1774585867.334458,0,0
105,8045149.639483,1774585867.35637,0,0
106,8045149.647132,1774585867.364404,0,0
107,8045149.673706,1774585867.390316,0,0
108,8045149.682735,1774585867.401318,0,0
109,8045149.705644,1774585867.422807,0,0
110,8045149.7152,1774585867.430808,0,0
111,8045149.737555,1774585867.454176,0,0
112,8045149.745118,1774585867.461227,0,0
113,8045149.768075,1774585867.485312,0,0
114,8045149.776647,1774585867.492312,0,0
115,8045149.817058,1774585867.53426,0,0
116,8045149.825242,1774585867.541261,0,0
117,8045149.833658,1774585867.550261,0,0
118,8045149.849205,1774585867.566122,0,0
119,8045149.858696,1774585867.575174,0,0
120,8045149.879814,1774585867.598045,0,0
121,8045149.889368,1774585867.606045,0,0
122,8045149.9143,1774585867.630868,0,0
123,8045149.945215,1774585867.662229,0,0
124,8045149.954849,1774585867.671226,0,0
125,8045149.976227,1774585867.693181,0,0
126,8045149.985865,1774585867.701479,0,0
127,8045150.010098,1774585867.727307,0,0
128,8045150.018677,1774585867.734304,0,0
129,8045150.040321,1774585867.758551,0,0
130,8045150.050216,1774585867.767559,0,0
131,8045150.071852,1774585867.79007,0,0
132,8045150.081767,1774585867.802071,0,0
133,8045150.103914,1774585867.823071,0,0
134,8045150.114824,1774585867.833073,0,0
135,8045150.135786,1774585867.85307,0,0
136,8045150.145778,1774585867.863079,0,0
137,8045150.167933,1774585867.888157,0,0
138,8045150.178873,1774585867.898158,0,0
139,8045150.216358,1774585867.933509,0,0
140,8045150.225211,1774585867.941511,0,0
141,8045150.232215,1774585867.948469,0,0
142,8045150.247465,1774585867.964559,0,0
143,8045150.255323,1774585867.972559,0,0
144,8045150.28052,1774585867.999184,0,0
145,8045150.290779,1774585868.007185,0,0
146,8045150.312934,1774585868.030184,0,0
147,8045150.344848,1774585868.061956,0,0
148,8045150.353774,1774585868.070956,0,0
149,8045150.37789,1774585868.094509,0,0
150,8045150.387143,1774585868.10351,0,0
151,8045150.410238,1774585868.12745,0,0
152,8045150.418971,1774585868.135504,0,0
153,8045150.439238,1774585868.156471,0,0
154,8045150.448908,1774585868.165531,0,0
155,8045150.471526,1774585868.188829,0,0
156,8045150.480292,1774585868.198837,0,0
157,8045150.50632,1774585868.222869,0,0
158,8045150.515132,1774585868.230862,0,0
159,8045150.538535,1774585868.255054,0,0
160,8045150.54703,1774585868.264045,0,0
161,8045150.569219,1774585868.285791,0,0
162,8045150.577811,1774585868.293792,0,0
163,8045150.601224,1774585868.317563,0,0
164,8045150.609256,1774585868.325566,0,0
165,8045150.617201,1774585868.332836,0,0
166,8045150.648752,1774585868.364972,0,0
167,8045150.65772,1774585868.373972,0,0
168,8045150.679784,1774585868.398082,0,0
169,8045150.689822,1774585868.406081,0,0
170,8045150.712691,1774585868.429381,0,0
171,8045150.744456,1774585868.461735,0,0
172,8045150.753347,1774585868.469041,0,0
173,8045150.776707,1774585868.493406,0,0
174,8045150.785946,1774585868.501693,0,0
175,8045150.809649,1774585868.526132,0,0
176,8045150.818599,1774585868.534122,0,0
177,8045150.839852,1774585868.557135,0,0
178,8045150.848467,1774585868.564662,0,0
179,8045150.873051,1774585868.58966,0,0
180,8045150.88134,1774585868.599949,0,0
181,8045150.905102,1774585868.62241,0,0
182,8045150.913772,1774585868.630414,0,0
183,8045150.938082,1774585868.655321,0,0
184,8045150.946626,1774585868.66284,0,0
185,8045150.968714,1774585868.685746,0,0
186,8045150.97736,1774585868.693037,0,0
187,8045151.016876,1774585868.733837,0,0
188,8045151.02628,1774585868.741838,0,0
189,8045151.034275,1774585868.749838,0,0
190,8045151.048845,1774585868.765967,0,0
191,8045151.057623,1774585868.773938,0,0
192,8045151.079684,1774585868.79854,0,0
193,8045151.09056,1774585868.807545,0,0
194,8045151.111298,1774585868.828597,0,0
195,8045151.143477,1774585868.860582,0,0
196,8045151.152294,1774585868.869548,0,0
197,8045151.17581,1774585868.893093,0,0
198,8045151.184848,1774585868.902095,0,0
199,8045151.20781,1774585868.926054,0,0
200,8045151.216769,1774585868.934054,0,0
201,8045151.239792,1774585868.960053,0,0
202,8045151.250817,1774585868.969062,0,0
203,8045151.271809,1774585868.991081,0,0
204,8045151.282906,1774585869.004083,0,0
205,8045151.303819,1774585869.023082,0,0
206,8045151.314881,1774585869.033084,0,0
207,8045151.336033,1774585869.058086,0,0
208,8045151.348943,1774585869.070092,0,0
209,8045151.36798,1774585869.088197,0,0
210,8045151.380021,1774585869.098197,0,0
211,8045151.415997,1774585869.134197,0,0
212,8045151.426012,1774585869.143198,0,0
213,8045151.434949,1774585869.152197,0,0
214,8045151.448008,1774585869.166263,0,0
215,8045151.458114,1774585869.176262,0,0
216,8045151.479749,1774585869.199933,0,0
217,8045151.491752,1774585869.208934,0,0
218,8045151.511595,1774585869.228936,0,0
219,8045151.543747,1774585869.261881,0,0
220,8045151.551612,1774585869.267928,0,0
221,8045151.576501,1774585869.295543,0,0
222,8045151.585384,1774585869.302502,0,0
223,8045151.608275,1774585869.326506,0,0
224,8045151.616261,1774585869.333503,0,0
225,8045151.640232,1774585869.361504,0,0
226,8045151.653321,1774585869.372514,0,0
227,8045151.671352,1774585869.389685,0,0
228,8045151.681373,1774585869.401685,0,0
229,8045151.703478,1774585869.422687,0,0
230,8045151.714458,1774585869.432685,0,0
231,8045151.735413,1774585869.454688,0,0
232,8045151.746395,1774585869.463699,0,0
233,8045151.767091,1774585869.489154,0,0
234,8045151.778996,1774585869.499154,0,0
235,8045151.799964,1774585869.518204,0,0
236,8045151.809927,1774585869.527151,0,0
237,8045151.818978,1774585869.536152,0,0
238,8045151.847955,1774585869.566155,0,0
239,8045151.857842,1774585869.575156,0,0
240,8045151.879546,1774585869.598706,0,0
241,8045151.890722,1774585869.607741,0,0
242,8045151.911507,1774585869.629758,0,0
243,8045151.943477,1774585869.660763,0,0
244,8045151.952412,1774585869.669715,0,0
245,8045151.975995,1774585869.694281,0,0
246,8045151.985988,1774585869.702267,0,0
247,8045152.008009,1774585869.727281,0,0
248,8045152.018957,1774585869.735264,0,0
249,8045152.039962,1774585869.75728,0,0
250,8045152.04896,1774585869.768272,0,0
251,8045152.071575,1774585869.789832,0,0
252,8045152.081563,1774585869.799888,0,0
253,8045152.103615,1774585869.823886,0,0
254,8045152.1156,1774585869.832835,0,0
255,8045152.135574,1774585869.853832,0,0
256,8045152.145558,1774585869.861832,0,0
257,8045152.167263,1774585869.8844,0,0
258,8045152.175118,1774585869.891357,0,0
259,8045152.216168,1774585869.934358,0,0
260,8045152.226195,1774585869.943413,0,0
261,8045152.235114,1774585869.951402,0,0
262,8045152.247187,1774585869.964364,0,0
263,8045152.256091,1774585869.973361,0,0
264,8045152.279638,1774585869.998873,0,0
265,8045152.290761,1774585870.00791,0,0
266,8045152.311631,1774585870.028872,0,0
267,8045152.343655,1774585870.060926,0,0
268,8045152.352691,1774585870.069942,0,0
269,8045152.37532,1774585870.092602,0,0
270,8045152.384305,1774585870.101615,0,0
271,8045152.40771,1774585870.125602,0,0
272,8045152.417345,1774585870.134559,0,0
273,8045152.440389,1774585870.158564,0,0
274,8045152.450567,1774585870.167569,0,0
275,8045152.471919,1774585870.189139,0,0
276,8045152.47983,1774585870.20115,0,0
277,8045152.503932,1774585870.222136,0,0
278,8045152.513903,1774585870.231135,0,0
279,8045152.535871,1774585870.253083,0,0
280,8045152.544778,1774585870.263079,0,0
281,8045152.569408,1774585870.287605,0,0
282,8045152.579366,1774585870.296603,0,0
283,8045152.599439,1774585870.318658,0,0
284,8045152.610452,1774585870.327645,0,0
285,8045152.619436,1774585870.336646,0,0
286,8045152.647732,1774585870.365608,0,0
287,8045152.657325,1774585870.37365,0,0
288,8045152.680434,1774585870.3981,0,0
289,8045152.69081,1774585870.407101,0,0
290,8045152.713698,1774585870.430344,0,0
291,8045152.745575,1774585870.461757,0,0
292,8045152.754765,1774585870.471123,0,0
293,8045152.775612,1774585870.492806,0,0
294,8045152.783942,1774585870.499793,0,0
295,8045152.809099,1774585870.526242,0,0
296,8045152.817585,1774585870.533769,0,0
297,8045152.841397,1774585870.5581,0,0
298,8045152.850707,1774585870.567114,0,0
299,8045152.87265,1774585870.589569,0,0
300,8045152.881017,1774585870.599569,0,0
301,8045152.906369,1774585870.623039,0,0
302,8045152.915496,1774585870.63204,0,0
303,8045152.936651,1774585870.652989,0,0
304,8045152.945294,1774585870.661989,0,0
305,8045152.969854,1774585870.686343,0,0
306,8045152.977798,1774585870.693665,0,0
307,8045153.001137,1774585870.718039,0,0
308,8045153.009767,1774585870.725384,0,0
309,8045153.017687,1774585870.733385,0,0
310,8045153.048209,1774585870.765008,0,0
311,8045153.057431,1774585870.774009,0,0
312,8045153.079995,1774585870.798281,0,0
313,8045153.089597,1774585870.805232,0,0
314,8045153.114938,1774585870.831288,0,0
315,8045153.145704,1774585870.86192,0,0
316,8045153.154774,1774585870.871205,0,0
317,8045153.176657,1774585870.892948,0,0
318,8045153.185608,1774585870.901223,0,0
319,8045153.208482,1774585870.92528,0,0
320,8045153.216891,1774585870.932567,0,0
321,8045153.240249,1774585870.957318,0,0
322,8045153.248905,1774585870.964609,0,0
323,8045153.273333,1774585870.990385,0,0
324,8045153.282748,1774585871.000385,0,0
325,8045153.307598,1774585871.024222,0,0
326,8045153.316565,1774585871.033221,0,0
327,8045153.337902,1774585871.054591,0,0
328,8045153.347065,1774585871.063655,0,0
329,8045153.367794,1774585871.084643,0,0
330,8045153.375844,1774585871.091954,0,0
331,8045153.418275,1774585871.134893,0,0
332,8045153.427336,1774585871.142893,0,0
333,8045153.434657,1774585871.150893,0,0
334,8045153.448317,1774585871.165417,0,0
335,8045153.456924,1774585871.17342,0,0
