frame_idx,t_lsl,t_epoch,ma_mau,lan_lap
0,7715253.736039,1774255975.866216,0,0
1,7715253.769591,1774255975.899107,0,0
2,7715253.780226,1774255975.909107,0,0
3,7715253.801861,1774255975.931212,0,0
4,7715253.811522,1774255975.939262,0,0
5,7715253.834104,1774255975.963906,0,0
6,7715253.843487,1774255975.971963,0,0
7,7715253.866377,1774255975.996698,0,0
8,7715253.8764,1774255976.004763,0,0
9,7715253.896937,1774255976.026354,0,0
10,7715253.906368,1774255976.035304,0,0
11,7715253.92821,1774255976.057054,0,0
12,7715253.937152,1774255976.067017,0,0
13,7715253.961074,1774255976.090812,0,0
14,7715253.969058,1774255976.097132,0,0
15,7715253.991043,1774255976.120114,0,0
16,7715254.001241,1774255976.129463,0,0
17,7715254.025055,1774255976.155409,0,0
18,7715254.03595,1774255976.164026,0,0
19,7715254.071891,1774255976.201306,0,0
20,7715254.08078,1774255976.209294,0,0
21,7715254.088884,1774255976.217295,0,0
22,7715254.104816,1774255976.233947,0,0
23,7715254.113845,1774255976.242005,0,0
24,7715254.135972,1774255976.265551,0,0
25,7715254.16799,1774255976.297412,0,0
26,7715254.176643,1774255976.305402,0,0
27,7715254.200558,1774255976.32881,0,0
28,7715254.209543,1774255976.33781,0,0
29,7715254.233134,1774255976.361913,0,0
30,7715254.24265,1774255976.370964,0,0
31,7715254.265024,1774255976.393932,0,0
32,7715254.274517,1774255976.402933,0,0
33,7715254.296055,1774255976.42505,0,0
34,7715254.303258,1774255976.431043,0,0
35,7715254.329681,1774255976.458165,0,0
36,7715254.338224,1774255976.468182,0,0
37,7715254.359845,1774255976.488867,0,0
38,7715254.369611,1774255976.497923,0,0
39,7715254.393035,1774255976.52399,0,0
40,7715254.402828,1774255976.53095,0,0
41,7715254.42368,1774255976.552673,0,0
42,7715254.432677,1774255976.56102,0,0
43,7715254.456398,1774255976.585459,0,0
44,7715254.46499,1774255976.593502,0,0
45,7715254.472954,1774255976.60146,0,0
46,7715254.5028,1774255976.631031,0,0
47,7715254.511428,1774255976.639971,0,0
48,7715254.536984,1774255976.666806,0,0
49,7715254.567933,1774255976.697093,0,0
50,7715254.576714,1774255976.705095,0,0
51,7715254.600929,1774255976.729294,0,0
52,7715254.609569,1774255976.737283,0,0
53,7715254.631126,1774255976.760185,0,0
54,7715254.639523,1774255976.767525,0,0
55,7715254.664597,1774255976.79296,0,0
56,7715254.673651,1774255976.801608,0,0
57,7715254.697918,1774255976.826226,0,0
58,7715254.706381,1774255976.834226,0,0
59,7715254.726857,1774255976.855908,0,0
60,7715254.734913,1774255976.864521,0,0
61,7715254.760161,1774255976.889235,0,0
62,7715254.768108,1774255976.896221,0,0
63,7715254.792158,1774255976.920498,0,0
64,7715254.801154,1774255976.929555,0,0
65,7715254.824641,1774255976.953544,0,0
66,7715254.833041,1774255976.960544,0,0
67,7715254.871899,1774255977.000446,0,0
68,7715254.881732,1774255977.00984,0,0
69,7715254.890446,1774255977.018785,0,0
70,7715254.904396,1774255977.033211,0,0
71,7715254.913888,1774255977.042274,0,0
72,7715254.937548,1774255977.067432,0,0
73,7715254.968104,1774255977.096941,0,0
74,7715254.977881,1774255977.106,0,0
75,7715254.99944,1774255977.128564,0,0
76,7715255.008383,1774255977.135901,0,0
77,7715255.03302,1774255977.161368,0,0
78,7715255.042253,1774255977.170593,0,0
79,7715255.064648,1774255977.192916,0,0
80,7715255.073577,1774255977.201916,0,0
81,7715255.096589,1774255977.224999,0,0
82,7715255.105043,1774255977.233061,0,0
83,7715255.128205,1774255977.257017,0,0
84,7715255.136489,1774255977.265686,0,0
85,7715255.162271,1774255977.291223,0,0
86,7715255.171717,1774255977.300223,0,0
87,7715255.193024,1774255977.321413,0,0
88,7715255.201952,1774255977.330412,0,0
89,7715255.225024,1774255977.353048,0,0
90,7715255.23364,1774255977.362109,0,0
91,7715255.256707,1774255977.385355,0,0
92,7715255.265939,1774255977.394355,0,0
93,7715255.275027,1774255977.402356,0,0
94,7715255.303547,1774255977.432607,0,0
95,7715255.312113,1774255977.44061,0,0
96,7715255.337496,1774255977.467464,0,0
97,7715255.368132,1774255977.496604,0,0
98,7715255.377351,1774255977.505648,0,0
99,7715255.400689,1774255977.52922,0,0
100,7715255.409987,1774255977.538218,0,0
101,7715255.431189,1774255977.560363,0,0
102,7715255.439969,1774255977.567886,0,0
103,7715255.46369,1774255977.592833,0,0
104,7715255.472449,1774255977.60089,0,0
105,7715255.495733,1774255977.624882,0,0
106,7715255.50506,1774255977.632882,0,0
107,7715255.528711,1774255977.657755,0,0
108,7715255.538289,1774255977.668319,0,0
109,7715255.559462,1774255977.688523,0,0
110,7715255.569124,1774255977.697523,0,0
111,7715255.591711,1774255977.721228,0,0
112,7715255.601791,1774255977.730173,0,0
113,7715255.624512,1774255977.754049,0,0
