frame_idx,t_lsl,t_epoch,ma_mau,lan_lap
0,7603926.12448,1774144649.717336,0,0
1,7603926.163855,1774144649.733769,0,0
2,7603926.179798,1774144649.744716,0,0
3,7603926.190059,1774144649.753059,0,0
4,7603926.19975,1774144649.762115,0,0
5,7603926.219527,1774144649.783216,0,0
6,7603926.228891,1774144649.79075,0,0
7,7603926.2515,1774144649.815025,0,0
8,7603926.259904,1774144649.822016,0,0
9,7603926.282088,1774144649.845206,0,0
10,7603926.290523,1774144649.85251,0,0
11,7603926.314504,1774144649.878197,0,0
12,7603926.323753,1774144649.887732,0,0
13,7603926.346123,1774144649.908965,0,0
14,7603926.355475,1774144649.917914,0,0
15,7603926.378205,1774144649.942479,0,0
16,7603926.388567,1774144649.95082,0,0
17,7603926.410935,1774144649.973691,0,0
18,7603926.419719,1774144649.982198,0,0
19,7603926.46057,1774144650.023044,0,0
20,7603926.469475,1774144650.031044,0,0
21,7603926.478851,1774144650.041044,0,0
22,7603926.491509,1774144650.054554,0,0
23,7603926.501181,1774144650.063554,0,0
24,7603926.524135,1774144650.087607,0,0
25,7603926.533645,1774144650.095606,0,0
26,7603926.556458,1774144650.11897,0,0
27,7603926.587474,1774144650.149933,0,0
28,7603926.596402,1774144650.158873,0,0
29,7603926.619623,1774144650.182589,0,0
30,7603926.629216,1774144650.191589,0,0
31,7603926.651727,1774144650.214167,0,0
32,7603926.660776,1774144650.223167,0,0
33,7603926.683685,1774144650.246151,0,0
34,7603926.692839,1774144650.255148,0,0
35,7603926.715402,1774144650.277804,0,0
36,7603926.724383,1774144650.287675,0,0
37,7603926.747031,1774144650.309213,0,0
38,7603926.755735,1774144650.318212,0,0
39,7603926.779183,1774144650.341627,0,0
40,7603926.787265,1774144650.349253,0,0
41,7603926.810989,1774144650.3737,0,0
42,7603926.819511,1774144650.381555,0,0
43,7603926.843186,1774144650.406153,0,0
44,7603926.851875,1774144650.413436,0,0
45,7603926.859846,1774144650.421436,0,0
46,7603926.892222,1774144650.454787,0,0
47,7603926.901499,1774144650.463788,0,0
48,7603926.924647,1774144650.488733,0,0
49,7603926.934247,1774144650.496281,0,0
50,7603926.955453,1774144650.517966,0,0
51,7603926.987922,1774144650.549932,0,0
52,7603926.996907,1774144650.558984,0,0
53,7603927.019074,1774144650.581063,0,0
54,7603927.027678,1774144650.589722,0,0
55,7603927.050229,1774144650.612336,0,0
56,7603927.058998,1774144650.620933,0,0
57,7603927.081834,1774144650.644649,0,0
58,7603927.088947,1774144650.650934,0,0
59,7603927.114373,1774144650.677592,0,0
60,7603927.124102,1774144650.687167,0,0
61,7603927.147472,1774144650.710474,0,0
62,7603927.15603,1774144650.718474,0,0
63,7603927.179837,1774144650.742213,0,0
64,7603927.188719,1774144650.750759,0,0
65,7603927.211579,1774144650.774082,0,0
66,7603927.220562,1774144650.782585,0,0
67,7603927.258533,1774144650.821295,0,0
