frame_idx,t_lsl,t_epoch,ma_mau,lan_lap
0,7621008.406097,1774161731.993959,0,0
1,7621008.439088,1774161732.01127,0,0
2,7621008.459833,1774161732.027228,0,0
3,7621008.471556,1774161732.036273,0,0
4,7621008.482643,1774161732.04523,0,0
5,7621008.502061,1774161732.067056,0,0
6,7621008.51266,1774161732.075126,0,0
7,7621008.534267,1774161732.099051,0,0
8,7621008.543328,1774161732.106427,0,0
9,7621008.565452,1774161732.130645,0,0
10,7621008.57606,1774161732.138626,0,0
11,7621008.597691,1774161732.16074,0,0
12,7621008.607979,1774161732.171353,0,0
13,7621008.6309,1774161732.19435,0,0
14,7621008.640706,1774161732.203357,0,0
15,7621008.662689,1774161732.226162,0,0
16,7621008.672341,1774161732.235224,0,0
17,7621008.692955,1774161732.25599,0,0
18,7621008.701905,1774161732.264517,0,0
19,7621008.742907,1774161732.306487,0,0
20,7621008.752347,1774161732.315726,0,0
21,7621008.762252,1774161732.324248,0,0
22,7621008.775705,1774161732.339309,0,0
23,7621008.784648,1774161732.348254,0,0
24,7621008.807537,1774161732.371948,0,0
25,7621008.817435,1774161732.37995,0,0
26,7621008.837187,1774161732.402147,0,0
27,7621008.870564,1774161732.433817,0,0
28,7621008.880459,1774161732.442764,0,0
29,7621008.902762,1774161732.466225,0,0
30,7621008.912323,1774161732.474456,0,0
31,7621008.933059,1774161732.497226,0,0
32,7621008.942509,1774161732.505501,0,0
33,7621008.965878,1774161732.529626,0,0
34,7621008.973798,1774161732.536959,0,0
35,7621008.998777,1774161732.561488,0,0
36,7621009.006223,1774161732.570324,0,0
37,7621009.032319,1774161732.595868,0,0
38,7621009.042392,1774161732.604866,0,0
39,7621009.061208,1774161732.624409,0,0
40,7621009.070392,1774161732.634409,0,0
41,7621009.093919,1774161732.657954,0,0
42,7621009.103942,1774161732.667421,0,0
43,7621009.127118,1774161732.690646,0,0
44,7621009.137332,1774161732.699827,0,0
45,7621009.146282,1774161732.708827,0,0
46,7621009.173557,1774161732.737598,0,0
47,7621009.182964,1774161732.745691,0,0
48,7621009.206139,1774161732.770303,0,0
49,7621009.216246,1774161732.778307,0,0
50,7621009.238128,1774161732.801675,0,0
51,7621009.270135,1774161732.833549,0,0
52,7621009.280223,1774161732.842549,0,0
53,7621009.302778,1774161732.865751,0,0
54,7621009.312039,1774161732.874752,0,0
55,7621009.334514,1774161732.898968,0,0
56,7621009.344592,1774161732.90696,0,0
57,7621009.367084,1774161732.930516,0,0
58,7621009.376131,1774161732.940069,0,0
59,7621009.398026,1774161732.961148,0,0
60,7621009.407528,1774161732.97266,0,0
61,7621009.428982,1774161732.9931,0,0
62,7621009.438798,1774161733.001408,0,0
63,7621009.461764,1774161733.024897,0,0
