frame_idx,t_lsl,t_epoch,ma_mau,lan_lap
0,7200282.420746,1773741008.918908,0,0
1,7200282.452976,1773741008.941912,0,0
2,7200282.467088,1773741008.952932,0,0
3,7200282.485452,1773741008.973401,0,0
4,7200282.498437,1773741008.98436,0,0
5,7200282.516514,1773741009.001356,0,0
6,7200282.526663,1773741009.010408,0,0
7,7200282.549259,1773741009.034374,0,0
8,7200282.559139,1773741009.042382,0,0
9,7200282.582177,1773741009.066861,0,0
10,7200282.590223,1773741009.074196,0,0
11,7200282.615089,1773741009.099214,0,0
12,7200282.624998,1773741009.110215,0,0
13,7200282.647234,1773741009.131961,0,0
14,7200282.656696,1773741009.140516,0,0
15,7200282.678125,1773741009.162461,0,0
16,7200282.68581,1773741009.168794,0,0
17,7200282.710179,1773741009.193921,0,0
18,7200282.719524,1773741009.202468,0,0
19,7200282.759138,1773741009.243441,0,0
20,7200282.769109,1773741009.252444,0,0
21,7200282.777618,1773741009.261073,0,0
22,7200282.789051,1773741009.273954,0,0
23,7200282.797148,1773741009.280024,0,0
24,7200282.821384,1773741009.306749,0,0
25,7200282.853696,1773741009.337895,0,0
26,7200282.863734,1773741009.346949,0,0
27,7200282.885926,1773741009.370101,0,0
28,7200282.895585,1773741009.379103,0,0
29,7200282.918122,1773741009.402015,0,0
30,7200282.927412,1773741009.410961,0,0
31,7200282.949024,1773741009.433599,0,0
32,7200282.958367,1773741009.441588,0,0
33,7200282.983141,1773741009.467435,0,0
34,7200282.992674,1773741009.476426,0,0
35,7200283.016587,1773741009.500722,0,0
36,7200283.025063,1773741009.510726,0,0
37,7200283.044719,1773741009.529649,0,0
38,7200283.05444,1773741009.53765,0,0
39,7200283.077723,1773741009.562043,0,0
40,7200283.086715,1773741009.570055,0,0
41,7200283.109395,1773741009.594189,0,0
42,7200283.118842,1773741009.601715,0,0
43,7200283.141703,1773741009.62609,0,0
44,7200283.151175,1773741009.634436,0,0
45,7200283.158638,1773741009.642432,0,0
46,7200283.19031,1773741009.674666,0,0
47,7200283.199569,1773741009.682667,0,0
48,7200283.222676,1773741009.707594,0,0
49,7200283.25389,1773741009.738212,0,0
50,7200283.264097,1773741009.747213,0,0
51,7200283.285891,1773741009.770259,0,0
52,7200283.295029,1773741009.778259,0,0
53,7200283.318818,1773741009.803152,0,0
54,7200283.328378,1773741009.811177,0,0
55,7200283.349803,1773741009.834176,0,0
56,7200283.359178,1773741009.842239,0,0
57,7200283.382301,1773741009.865616,0,0
58,7200283.391487,1773741009.874611,0,0
59,7200283.412852,1773741009.89681,0,0
60,7200283.42175,1773741009.906098,0,0
61,7200283.445039,1773741009.928791,0,0
62,7200283.454488,1773741009.93779,0,0
63,7200283.477923,1773741009.96239,0,0
64,7200283.487524,1773741009.971412,0,0
65,7200283.508575,1773741009.993391,0,0
