model,accuracy,balanced_accuracy,f1_weighted
LogisticRegression,0.46842105263157896,0.33525378276090323,0.3382631821843821
SVM (RBF),0.312280701754386,0.30638365870500334,0.3152323832837909
RandomForest,0.38070175438596493,0.30042457443242404,0.3371265958955897
