model,accuracy,balanced_accuracy,f1_weighted
LogisticRegression,0.463768115942029,0.45707070707070707,0.451224680057632
SVM (RBF),0.5072463768115942,0.5109427609427609,0.5039444195428059
RandomForest,0.4927536231884058,0.49074074074074076,0.4919211554516274
