model,accuracy,balanced_accuracy,f1_weighted
LogisticRegression,0.463768115942029,0.4558080808080808,0.44567836563645885
SVM (RBF),0.5024154589371981,0.5117845117845118,0.47877208090420104
RandomForest,0.42995169082125606,0.4284511784511784,0.4296581815813681
