model,accuracy,balanced_accuracy,f1_weighted
LogisticRegression,0.4807017543859649,0.3333333333333333,0.3121144092458635
SVM (RBF),0.3526315789473684,0.35942087011869966,0.3526188675832582
RandomForest,0.40350877192982454,0.333257899061803,0.3787075623310857
