intensity,n,t,p,mean_sucrose,mean_sucralose,mean_diff,p_fdr
5,23,0.11540469915744608,0.9091712415561852,-4.142625029421962e-11,-4.616231220397514e-11,4.73606190975552e-12,0.9091712415561852
7,23,-0.3505043766192951,0.7292940200496126,-6.872240053585295e-11,-5.077154662050822e-11,-1.795085391534473e-11,0.9091712415561852
12,23,-1.2689168007266707,0.21773241073522948,-8.339367817631988e-11,-4.027309532021116e-11,-4.3120582856108736e-11,0.6531972322056885
