subject_id,epoch_ix,condition,condition_label,repeat,jar,jar_group,jar_numeric
P030,0,605,Water/605,1,1.0,Khong_du,0
P030,1,605,Water/605,2,1.0,Khong_du,0
P030,2,605,Water/605,3,1.0,Khong_du,0
P030,3,605,Water/605,4,1.0,Khong_du,0
P030,4,605,Water/605,5,1.0,Khong_du,0
P030,5,258,Low/258,1,3.0,Vua_phai,1
P030,6,258,Low/258,2,3.0,Vua_phai,1
P030,7,258,Low/258,3,3.0,Vua_phai,1
P030,8,258,Low/258,4,3.0,Vua_phai,1
P030,9,258,Low/258,5,3.0,Vua_phai,1
P030,10,893,High/893,1,4.0,Qua_nhieu,2
P030,11,893,High/893,2,4.0,Qua_nhieu,2
P030,12,893,High/893,3,4.0,Qua_nhieu,2
P030,13,893,High/893,4,4.0,Qua_nhieu,2
P030,14,893,High/893,5,4.0,Qua_nhieu,2
P030,15,453,MedLow/453,1,1.0,Khong_du,0
P030,16,453,MedLow/453,2,1.0,Khong_du,0
P030,17,453,MedLow/453,3,1.0,Khong_du,0
P030,18,453,MedLow/453,4,1.0,Khong_du,0
P030,19,453,MedLow/453,5,1.0,Khong_du,0
P030,20,762,MedHigh/762,1,4.0,Qua_nhieu,2
P030,21,762,MedHigh/762,2,4.0,Qua_nhieu,2
P030,22,762,MedHigh/762,3,4.0,Qua_nhieu,2
P030,23,762,MedHigh/762,4,4.0,Qua_nhieu,2
P030,24,762,MedHigh/762,5,4.0,Qua_nhieu,2
P030,25,189,Medium/189,1,2.0,Khong_du,0
P030,26,189,Medium/189,2,2.0,Khong_du,0
P030,27,189,Medium/189,3,2.0,Khong_du,0
P030,28,189,Medium/189,4,2.0,Khong_du,0
P030,29,189,Medium/189,5,2.0,Khong_du,0
