eeg_metric,behavior,n,r,p
frontal_theta_slope,liking,23,0.41305708719794854,0.05011595598012558
frontal_theta_slope,sweetness_jar,23,-0.12175144482698658,0.5799874135412756
frontal_theta_slope,aftertaste,23,-0.08815777468840913,0.6891619117594973
frontal_theta_pref,liking,23,0.10769365105926766,0.6247674257019004
frontal_theta_pref,sweetness_jar,23,-0.2468357075180361,0.25618834976260013
frontal_theta_pref,aftertaste,23,-0.10113087393299616,0.6461338024225741
