iso_contam,sampling,model,K,n_samples,majority,accuracy,balanced_acc,f1_macro,recall_vua_phai,recall_others,oracle_acc,oracle_bacc,oracle_thr
0.05,smote,LGBM_gpu,20,840,0.7381,0.5798,0.4939,0.4921,0.3136,0.6742,0.7381,0.5001,0.86
0.05,smote,LGBM_gpu,25,840,0.7381,0.5881,0.4952,0.4941,0.3,0.6903,0.7381,0.5015,0.85
0.05,smote,LGBM_gpu,30,840,0.7381,0.569,0.4749,0.4747,0.2773,0.6726,0.7381,0.5048,0.82
0.05,smote,LGBM_gpu,40,840,0.7381,0.5786,0.4902,0.4888,0.3045,0.6758,0.7381,0.5028,0.84
0.05,smote,LGBM_gpu,50,840,0.7381,0.581,0.4801,0.4801,0.2682,0.6919,0.7381,0.5082,0.82
0.05,smote,RF_100,5,840,0.7381,0.644,0.5125,0.512,0.2364,0.7887,0.7405,0.5191,0.82
0.05,smote,RF_100,10,840,0.7381,0.6298,0.4779,0.4722,0.1591,0.7968,0.7393,0.512,0.85
0.05,smote,RF_100,15,840,0.7381,0.6476,0.4842,0.4746,0.1409,0.8274,0.7381,0.5095,0.86
0.05,smote,RF_100,20,840,0.7381,0.6583,0.4944,0.4853,0.15,0.8387,0.7381,0.506,0.84
0.05,smote,RF_100,25,840,0.7381,0.6583,0.487,0.4743,0.1273,0.8468,0.7369,0.5011,0.81
0.05,smote,RF_100,30,840,0.7381,0.6619,0.4909,0.4787,0.1318,0.85,0.7381,0.5046,0.77
0.05,smote,RF_100,40,840,0.7381,0.669,0.4957,0.4829,0.1318,0.8597,0.7381,0.5022,0.78
0.05,smote,RF_100,50,840,0.7381,0.6714,0.4871,0.4673,0.1,0.8742,0.7393,0.5037,0.76
0.05,smote,SVM_RBF,5,840,0.7381,0.5095,0.4698,0.4584,0.3864,0.5532,0.7381,0.5013,0.86
0.05,smote,SVM_RBF,10,840,0.7381,0.5286,0.4622,0.4586,0.3227,0.6016,0.7381,0.5044,0.84
0.05,smote,SVM_RBF,15,840,0.7381,0.5679,0.4844,0.4826,0.3091,0.6597,0.7381,0.5084,0.89
0.05,smote,SVM_RBF,20,840,0.7381,0.5798,0.488,0.4871,0.2955,0.6806,0.7357,0.5037,0.9
0.05,smote,SVM_RBF,25,840,0.7381,0.6048,0.4962,0.4962,0.2682,0.7242,0.7393,0.5067,0.9
0.05,smote,SVM_RBF,30,840,0.7381,0.5881,0.4776,0.4778,0.2455,0.7097,0.7345,0.502,0.9
0.05,smote,SVM_RBF,40,840,0.7381,0.6024,0.4872,0.4873,0.2455,0.729,0.7369,0.5088,0.9
0.05,smote,SVM_RBF,50,840,0.7381,0.6226,0.4907,0.4895,0.2136,0.7677,0.7393,0.5103,0.88
0.05,smote,LogReg_C1,5,840,0.7381,0.4679,0.4665,0.4395,0.4636,0.4694,0.7381,0.5036,0.79
0.05,smote,LogReg_C1,10,840,0.7381,0.4798,0.4658,0.4447,0.4364,0.4952,0.7381,0.5065,0.78
0.05,smote,LogReg_C1,15,840,0.7381,0.4917,0.4694,0.4516,0.4227,0.5161,0.7357,0.5174,0.89
0.05,smote,LogReg_C1,20,840,0.7381,0.4952,0.4792,0.4581,0.4455,0.5129,0.7357,0.5078,0.89
0.05,smote,LogReg_C1,25,840,0.7381,0.4917,0.4694,0.4516,0.4227,0.5161,0.7274,0.5066,0.89
0.05,smote,LogReg_C1,30,840,0.7381,0.4929,0.4629,0.4486,0.4,0.5258,0.7286,0.5097,0.9
0.05,smote,LogReg_C1,40,840,0.7381,0.5083,0.4617,0.4531,0.3636,0.5597,0.7262,0.5065,0.9
0.05,smote,LogReg_C1,50,840,0.7381,0.5321,0.4793,0.4713,0.3682,0.5903,0.7333,0.5165,0.89
0.1,none,XGB_gpu,5,840,0.7381,0.5381,0.4833,0.4756,0.3682,0.5984,0.7393,0.5078,0.8
