erp_P1_mean,erp_P1_max,erp_P1_min,erp_P1_rms,erp_P1_ptp,erp_P1_ch0,erp_P1_ch1,erp_P1_ch2,erp_P1_ch3,erp_P1_ch4,erp_P1_ch5,erp_N1_mean,erp_N1_max,erp_N1_min,erp_N1_rms,erp_N1_ptp,erp_N1_ch0,erp_N1_ch1,erp_N1_ch2,erp_N1_ch3,erp_N1_ch4,erp_N1_ch5,erp_P2_mean,erp_P2_max,erp_P2_min,erp_P2_rms,erp_P2_ptp,erp_P2_ch0,erp_P2_ch1,erp_P2_ch2,erp_P2_ch3,erp_P2_ch4,erp_P2_ch5,erp_N400_mean,erp_N400_max,erp_N400_min,erp_N400_rms,erp_N400_ptp,erp_N400_ch0,erp_N400_ch1,erp_N400_ch2,erp_N400_ch3,erp_N400_ch4,erp_N400_ch5,erp_late_mean,erp_late_max,erp_late_min,erp_late_rms,erp_late_ptp,erp_late_ch0,erp_late_ch1,erp_late_ch2,erp_late_ch3,erp_late_ch4,erp_late_ch5,bp_delta_mean,bp_delta_max,bp_delta_std,bp_delta_frontal,bp_delta_central,bp_theta_mean,bp_theta_max,bp_theta_std,bp_theta_frontal,bp_theta_central,bp_alpha_mean,bp_alpha_max,bp_alpha_std,bp_alpha_frontal,bp_alpha_central,bp_beta_mean,bp_beta_max,bp_beta_std,bp_beta_frontal,bp_beta_central,bp_gamma_mean,bp_gamma_max,bp_gamma_std,bp_gamma_frontal,bp_gamma_central,td_mean_ch0,td_std_ch0,td_rms_ch0,td_mean_ch1,td_std_ch1,td_rms_ch1,td_mean_ch2,td_std_ch2,td_rms_ch2,td_mean_ch3,td_std_ch3,td_rms_ch3,td_mean_ch4,td_std_ch4,td_rms_ch4,td_mean_ch5,td_std_ch5,td_rms_ch5,td_mean_ch6,td_std_ch6,td_rms_ch6,td_mean_ch7,td_std_ch7,td_rms_ch7,td_mean_ch8,td_std_ch8,td_rms_ch8,td_mean_ch9,td_std_ch9,td_rms_ch9,td_mean_ch10,td_std_ch10,td_rms_ch10,td_mean_ch11,td_std_ch11,td_rms_ch11,td_mean_ch12,td_std_ch12,td_rms_ch12,td_mean_ch13,td_std_ch13,td_rms_ch13,td_mean_ch14,td_std_ch14,td_rms_ch14,td_mean_ch15,td_std_ch15,td_rms_ch15,subject_id,epoch_ix,condition,repeat,jar_group
1.249373597200093e-14,103.67411130939237,-36.25675917439279,37.94684090169859,32.94995582717877,-25.211438980019743,-14.063606520334877,-26.220170738247703,-17.347834577730897,-16.811286534251177,-9.205448843316574,1.7787691892340307e-14,140.00448517616948,-42.88084195021833,46.86859932988026,42.62703049137792,-27.289373365409222,-10.748608693226696,-30.406335377999575,-8.142833085647931,-42.88084195021833,-8.561114960469379,1.0587911840678754e-14,135.51357762715276,-38.26017621319688,66.93824012617402,131.1820283824413,-34.64960327756824,-18.175874288430546,-38.26017621319688,-14.299908003147724,-26.58197980861019,-17.331055257402063,8.046812998915853e-15,134.78921093285587,-37.9686270977219,68.4328553027546,124.87850539321694,-35.414176017120546,-19.073194761314003,-37.9686270977219,-13.403979932077899,-19.641568268417576,-11.629106140228354,1.249373597200093e-14,168.99938959896215,-57.88035872289828,73.25411289953027,156.23315035857084,-34.25665223142343,-16.789537410653377,-36.679464392054996,-16.08314342669911,-39.65714675410215,-10.687235553724328,9.186023912867086e-11,5.485959125946621e-10,1.450558515295409e-10,1.897132434711064e-10,3.3145677462593864e-11,5.970753644488687e-11,2.3590305811083277e-10,7.831032730275747e-11,6.138223017370663e-11,8.012530332827413e-11,5.3149919694535956e-11,1.5442576157083383e-10,6.428596974282362e-11,4.47092102933094e-11,4.34415193159301e-11,3.355605556319912e-11,1.204574847149948e-10,4.2115034474341205e-11,3.206754060752948e-11,2.8194516472604804e-11,4.678094006150034e-11,1.4754900676684718e-10,5.782849086277064e-11,4.683715274807793e-11,3.3706273174001745e-11,-25.985216157371784,16.867799821333723,30.979898798380884,-11.910366889526824,10.11705185391656,15.62727032011584,-28.468033859521526,18.866056148239995,34.151969583252566,-10.375883904563693,14.160926334615967,17.555363894132295,-29.383414501979146,74.74984648822604,80.31764810929461,-9.787055723205272,12.056554709337822,15.528907598037318,-39.11283228875222,70.96249587203512,81.02770803889653,-15.637221842774167,12.059209064896336,19.747081562372994,25.063577455584557,89.8813694245721,93.3104682471827,-15.545689103607446,15.5557384265355,21.99203145916294,62.296472069805624,77.79172517603521,99.66144158202742,-13.47144229585016,14.169407506831305,19.55126253276417,13.601539457200275,82.27397769889896,83.39070261129054,-4.586198265146568,13.816776461624787,14.558039920186447,115.70972688720512,96.71020534615992,150.80319862127598,-12.407961037496584,10.955447954974998,16.552321196804968,P001,0,258,1,Khong_du
-1.7364175418713157e-14,58.95084944875816,-47.676623438449646,44.41684058449434,83.02419034498412,12.629375094286392,5.699363441714391,12.327672361897408,-5.625855155103182,58.95084944875816,3.5492567657710556,-1.4399560103323106e-14,65.54805504961887,-74.50850992903322,57.91383447073294,100.67364292676557,24.639160397625744,11.701414527985243,26.015597972388015,3.6460513312013574,65.54805504961887,7.20028096457918,-1.7575933655526732e-14,65.2805382249293,-94.52895745822535,64.7615383003173,131.85598144032505,23.22673831482935,10.681688043763167,21.833271383918998,15.902450648500018,42.91119499776345,9.051069352632915,-2.3928680759933985e-14,86.48520291571306,-99.31898014378247,64.43113643741327,138.50484566986444,20.402372678394865,8.48088874539553,22.203576429524585,9.248375827498354,5.278547188700907,11.634960919514723,-1.9269999550035333e-14,53.84706766600287,-92.22576749282608,70.71370162145912,196.5250329145543,28.089314688164304,15.848198258549088,29.950721906147677,18.72383404846917,21.860369187872475,19.030251373505028,1.0221784202994128e-10,5.054317650592725e-10,1.4126528653600053e-10,1.7815489177753498e-10,7.543865490585289e-11,7.318985315152374e-11,2.7834284680390907e-10,9.467096387014785e-11,7.477923782275656e-11,9.450092180032943e-11,5.410149642988401e-11,1.7834296436003122e-10,6.856014946652631e-11,4.2971667324174144e-11,5.674604058257188e-11,3.6385316628930824e-11,1.5358832974980952e-10,4.696558848594965e-11,2.1402558940299528e-11,2.3953616708201476e-11,4.7764457402418075e-11,1.6329675375007854e-10,5.917073462989602e-11,3.248960479179527e-11,3.340041374806808e-11,14.408903087253105,19.626339189291976,24.347683219374076,8.665151617467632,11.549828441189838,14.438953894746657,15.089358550937453,21.52392552106551,26.28627229781972,8.55452702188635,14.60553701885525,16.926359448426435,11.711597457487867,78.23354570782318,79.10530443038758,10.313011405460157,13.017657745593993,16.607757748431144,38.19246302751272,70.18650422074613,79.905003640803,12.98874247553051,12.146433777691074,17.78323043239009,-51.69878899185136,93.0748745544912,106.46923056244111,4.8132696295882305,17.32630616675625,17.982448384780422,-25.324818803986137,84.17527739057033,87.90235361601071,7.809334558645094,15.686696037627039,17.523074468418844,-28.689203687691126,86.30897811588085,90.95224082803804,6.608357875500969,15.438498677829076,16.793380697049233,-40.54521771103829,94.57328162715599,102.89810628463894,7.103312487296644,12.556735195358932,14.426664446730234,P001,1,258,2,Khong_du
-5.717472393966527e-15,64.83078249087843,-65.48699188798895,54.641858996820204,100.1037695559063,1.6234993906980268,0.4934595371820202,0.8083948796240032,7.617730003682526,48.60005636051482,-4.008999968917097,-2.117582368135751e-15,48.998915761483254,-98.88251173169246,58.380367000650295,111.75456710880992,4.9872463478803,1.038483535387439,8.216632416104435,10.01438267755079,0.4078383575646045,1.5917443044358162,8.470329472543003e-15,23.613792306929252,-126.23783816356014,59.6324899289248,121.98509779908103,13.518256951577971,10.461492754468678,18.33874503857749,13.834681282093594,16.299614132938622,7.180319799884661,-1.2705494208814505e-15,17.029456070150395,-84.11611197700387,61.41879901454267,144.92667655162631,11.470684528586299,13.328029557546392,14.117178522163147,15.993239383208701,7.404383771738952,12.665713990932018,5.505714157152952e-15,38.70049206501974,-30.262860197840876,43.963581163642964,162.48641246349808,-2.791484404416754,2.6944397469419825,-2.633249799713636,4.452722366683302,-20.464798536141863,2.0636611778025316,9.959935247621727e-11,4.4686340586978963e-10,1.440531012757678e-10,1.5655638681919798e-10,3.211482468859195e-11,7.839957734527477e-11,2.862830563406343e-10,1.006852935326797e-10,7.728540918916247e-11,9.735036948775663e-11,6.147761274809404e-11,2.3879892841973294e-10,7.923694466093522e-11,4.0241939667920424e-11,6.594027202880444e-11,3.893026604135378e-11,1.2862796885169831e-10,4.7812151400972786e-11,3.1038486230072185e-11,4.440439058997603e-11,4.8677246052895906e-11,1.451244200514456e-10,5.844323344048195e-11,4.3515230347421894e-11,4.102199882563659e-11,0.33355614026430497,18.95260400235985,18.95553898386892,1.3032662749100974,12.444125141326115,12.512184202460524,1.3373365517219453,21.009502050569964,21.05202236046397,3.2786177895842097,16.164422181591036,16.49357084063031,-8.098923480471724,83.72392838252566,84.11473560170549,2.641150295324095,13.083312613880889,13.34723731095785,8.850405689595672,71.43494979195535,71.98112066819749,2.862350789774117,13.71788790800504,14.013332961872825,1.481104029114212,97.9902681420745,98.00146080391208,-3.5322565011084306,17.542445567823666,17.894530798254507,30.876789142698183,85.94994080859708,91.32780755478579,-4.543789679762021,17.133885905919186,17.7261408910955,15.627386862493966,84.44289045757176,85.87675453217544,-5.974538053478717,16.493788677537378,17.54252461567962,-42.159593364072,97.2261758148375,105.97339560569716,-4.28286248658788,11.64980034858249,12.412121464151662,P001,2,258,3,Khong_du
8.470329472543003e-15,123.73570008924746,-43.81553937276479,57.67018913545381,72.412055764914,-33.08307952510072,-14.871970871149317,-37.63317383144848,-24.7868816119314,-43.81553937276479,-13.289625237032297,1.2281977735187355e-14,107.22530280369031,-45.475502021387534,61.228293078545754,112.14780785248216,-29.515986475035547,-15.032925966834743,-29.821906149441308,-21.7716893841387,-45.47550202138754,-9.521015437472181,5.082197683525802e-15,119.80029271658653,-46.51011353665603,60.7449506859075,97.84219195294436,-32.600839739005735,-19.013004933190356,-33.44472014298994,-17.415869657572724,-16.582948352133243,-16.327855970949877,6.3527471044072525e-15,137.86417090827123,-89.09277568792369,76.5203794539204,112.62431024423647,-43.26569491782308,-21.306437006934154,-43.669696511180234,-19.803909323689386,-47.99057200709636,-15.705025343103449,-4.2351647362715017e-16,159.40916665288108,-55.81529422645616,72.7674226707054,175.224324716056,-34.08152487512258,-17.692029404966945,-38.24878707068783,-21.67131936197448,-55.81529422645616,-13.582587237958677,1.0528791973208178e-10,4.166418229323528e-10,1.3231133659713998e-10,1.1252824055565431e-10,7.585038313656983e-11,6.221998266294263e-11,2.5586914368146747e-10,8.046436640663187e-11,6.010707285306816e-11,5.393864267881294e-11,5.193728693020791e-11,2.450312227898903e-10,7.294670034848598e-11,2.1151126875755518e-11,3.120223112290976e-11,2.2524954929425164e-11,6.849686965050766e-11,2.7108000767287446e-11,2.0747175744176964e-11,2.3722132983002573e-11,4.252261216166563e-11,1.235997183831745e-10,5.128603815309252e-11,3.5402395970976373e-11,4.271623144004929e-11,-22.72535478985713,19.77322785405048,30.123450833081524,-11.444480347429563,11.521516330784138,16.239503347800607,-24.789229537747506,21.5285652114334,32.832682210536404,-13.880200098688476,14.593146289340016,20.14000678752889,-38.350069775844105,76.6958147709501,85.74949478097231,-9.968967307675,12.654086074788172,16.109196242197836,-23.828303684727683,70.15859354563999,74.09464423825737,-13.560100929238692,12.544626224823563,18.472790377516635,45.72937338911945,94.25214971548311,104.7599318277334,-13.387503365917414,17.639179901518787,22.144207232831672,55.653365010769484,85.23130450609965,101.79229983075058,-13.873774769256757,16.58755887633274,21.624725104006995,9.893271527018829,80.67712381855428,81.2814562439777,-4.86180626365524,15.025988633149803,15.792957118566,91.60524713877506,91.1301716093879,129.21389043331428,-12.211466195645173,12.236811532546696,17.28755225965934,P001,3,258,4,Khong_du
1.545835128739098e-14,63.70257646031315,-73.27479185982695,34.29832547731964,22.76315862826688,-17.80333375434168,-9.7616069054595,-18.106035977852734,-17.983346293710095,-73.27479185982695,1.0701334847074198,1.0587911840678754e-14,65.3422500857429,-80.84438858416534,36.05002218449466,29.215652185093116,-18.407870320711336,-9.596025889837644,-18.14012159596301,-12.057001692547042,-80.84438858416534,-1.270712485522206,1.6093625997831706e-14,108.1625250909614,-99.19808089663464,58.53051881304007,86.29238489283279,-31.3188635605828,-12.013429846587043,-34.21519416311752,-14.539548232496783,-99.19808089663465,-9.951847653735099,1.8634724839594607e-14,127.8398203396086,-86.20905468171134,69.80561331624122,116.00137537131823,-36.15183097057403,-19.205750402096793,-35.897939044452635,-19.918372040550047,-86.20905468171134,-9.286658497062792,1.0164395367051604e-14,124.1552910868449,-95.32668826698809,76.24313344368448,146.00528147843582,-37.7778663292041,-16.68990025016511,-38.249171620683875,-16.821757218426168,-95.32668826698807,-10.703862596722745,1.1967814776421983e-10,6.271559138873371e-10,1.733054861390448e-10,2.1681480299756528e-10,7.948562817451515e-11,9.964808496631992e-11,3.433184196135372e-10,1.256539237349801e-10,8.733733937077832e-11,1.1724190148503783e-10,5.294622277492005e-11,1.927586751778133e-10,6.584414801839259e-11,4.485104114076851e-11,5.28539052509546e-11,2.609628810531482e-11,9.322553433344671e-11,3.267617723466004e-11,2.1320918586048233e-11,2.4995327654903646e-11,4.417120717414752e-11,1.4197766631161447e-10,5.2912028546358374e-11,3.484790177999733e-11,3.590120605174552e-11,-21.70588241668523,19.02991205948121,28.8666396464596,-9.820042109217864,11.439200634385614,15.076091608256439,-22.39631847961378,20.785757183490446,30.555568774469148,-12.052633550488649,14.564003481737293,18.90439559780795,-74.46750574117786,79.03357731452546,108.58966688614268,-6.6945969617357415,12.828969730250579,14.4706631782986,3.230987393762959,68.43302984460537,68.50926107652383,-14.062147018015377,12.42205581229112,18.76303411924506,59.05450726328438,87.53923740755005,105.59617850095104,-17.469974206224013,16.91012847192791,24.313626708149474,67.58725724413276,85.89363518856597,109.29663264570887,-9.95077489911664,16.08702307556758,18.915872502391572,8.907252061060937,76.27179374837284,76.79014038842227,-8.402666488714496,14.908277014293283,17.113197470241236,69.62508723008507,87.82857451572234,112.07814806312935,-11.382549321336324,12.458530703789652,16.8753493697145,P001,4,258,5,Khong_du
-9.740878893424454e-15,79.99841398978907,-114.02214525553222,59.17242370475055,88.93193013849096,-0.5879807330492288,1.4897242875681018,-5.747480175633211,7.119875839186096,-114.02214525553222,13.997419758132333,-9.317362419797304e-15,89.97873927286128,-86.32506227612802,59.93189068516421,86.54278284584876,-1.4389983700749884,5.400996878597505,-4.484127565626407,8.966647878450186,-35.98314038555047,5.185205032077125,5.717472393966527e-15,23.017961231892425,-61.08844963639106,36.10359558526244,82.58690235042637,4.595798403314125,2.382241408509227,5.579650900420837,11.95688745768797,0.2106595883795922,6.458827393830283,-1.9058241313221758e-15,18.82438805061676,-87.70587717040448,57.462429835866736,152.85930806682458,16.50091928511887,6.623738557020116,18.82438805061676,15.055421730494784,-31.663763616025417,11.653058759192787,-5.929230630780102e-15,18.771402900628473,-94.34473531981556,64.66840193578685,167.48792882349653,17.08137589887801,10.21294553339823,17.19168547464684,14.988597056216344,-16.31055430238293,13.172214527207295,1.4000078053625498e-10,5.999139089959054e-10,1.9266838517606628e-10,2.090145624476459e-10,6.746352978876975e-11,8.66729912246913e-11,3.195005093668718e-10,1.0899255590201107e-10,6.666553352216952e-11,7.55598270184248e-11,4.940567219991571e-11,2.0189947615932228e-10,6.438103313832083e-11,2.087189518397894e-11,3.941667820934383e-11,2.6062813698629992e-11,7.868308423459157e-11,3.143476499929006e-11,2.8316378558745254e-11,1.9127523125063e-11,4.497913644679026e-11,1.4117237207967715e-10,5.492396414279616e-11,3.1383382997355465e-11,4.1681652110142726e-11,7.08967491051122,17.414499355708887,18.802347676466297,4.943463480215841,10.853322827713255,11.92612458356818,7.697854804622889,19.192214705400552,20.67844466808974,11.932277916223102,14.47346279094538,18.757941822888405,-16.212337089682183,75.15397768344339,76.88276943212304,8.854049144725913,12.84522613396885,15.601090368625457,-9.229348903085484,72.36738123810994,72.95353828593123,4.4431917891128485,11.920398666750522,12.721550913670372,-5.2062842182920255,86.77858327514122,86.93461859697928,6.45888406199151,16.1515620831228,17.39511831092902,-50.97070358788668,85.5077188915802,99.54688651226468,8.539464753708396,15.356271887957138,17.570928961688132,5.228555759358881,79.40988176787663,79.58182655428857,0.8768140997042557,15.59842425889029,15.623048432549172,8.675939861590075,87.65157887224572,88.07991377879203,6.878503217181378,11.433873081685972,13.343435095839364,P001,5,453,1,Khong_du
1.4823076576950256e-14,118.97010988799457,-47.765151456356534,48.21984292714354,52.09071112367262,-21.40090802035468,-19.50650510956611,-20.854553039983006,-9.641077617061185,32.16848884095183,-14.658326011545656,1.1434944787933055e-14,103.65934205450422,-43.38433564834938,54.115622514218984,94.37714866298616,-21.148409684425648,-18.138031689677817,-18.53177098936781,-9.258570799369465,-7.8998316813588545,-9.581045825435837,6.352747104407253e-16,74.97267268672181,-72.29052686631921,54.65849370814279,111.6952854120127,-17.56619970140456,-8.60858182049296,-19.047387696948814,-0.32466790773464926,-72.29052686631921,0.8476123449666934,-1.2705494208814505e-15,82.10346653274777,-91.37237857667573,59.42078401261072,112.4622535071068,-17.81640486673444,-5.7906266564441315,-17.960515598001308,2.730819004922023,-91.37237857667573,5.108216162006672,-1.4823076576950256e-15,64.59041460955913,-15.246066398629965,49.0679482618116,145.76184242625263,-9.310822668426026,-4.036736479970289,-12.209404185204056,-5.502817678575737,-10.388297034664646,-1.8101644712824803,1.3277187210594877e-10,5.411657604060843e-10,1.7993604918264377e-10,1.8641368462381817e-10,8.927345383812854e-11,8.246279723831729e-11,2.4108909323556714e-10,9.781288930611794e-11,6.369067249475932e-11,8.402176892230794e-11,5.7219731750659055e-11,2.249236018774654e-10,7.305160937550617e-11,5.092303379291194e-11,4.6724286063027744e-11,2.9218872879812485e-11,8.933869789314837e-11,3.575347766282279e-11,2.153054655914325e-11,3.10435878224728e-11,4.387751090886412e-11,1.5375359219077356e-10,5.5009581934102634e-11,3.320833420404071e-11,3.304909759884524e-11,-0.9484743704416245,17.633871576333608,17.65936098509827,-0.1234858388795192,12.24571286246301,12.24633546259026,-2.0623730120515216,18.80684798599828,18.919590735776662,-0.010679219718092452,13.868547477809452,13.868551589477132,-19.729355295771022,70.67445989666334,73.37660895729539,1.2093920999868393,12.224554543266285,12.28423229317986,9.673446360268123,63.33708609587484,64.071538451962,-5.131089256170825,12.018572519321696,13.068058859562361,-0.7698945160020008,84.23490846780236,84.23842675492469,2.4058839251522284,16.01835202533719,16.198020838019996,1.361728494208588,77.23333103393809,77.24533466229404,0.052375292627802425,15.583785512231303,15.583873525619618,2.5264081850369178,78.65776847425052,78.69833085692619,-0.6234175163641272,14.583869830869219,14.597188381446855,11.304414691812067,85.33804607642871,86.08351700335626,0.8651199763061039,11.66703181822251,11.699062527434423,P001,6,453,2,Khong_du
-1.3552527156068805e-14,56.85670377035145,-185.17539704805415,75.90078628029912,107.98452559556274,22.20785898674524,15.57023975743452,16.023091853692446,17.400611114694144,-1.5567800423179934,12.606847709686846,-1.6940658945086007e-14,63.206706238773684,-130.62731618246434,71.24559283771914,131.3430973043384,11.803021759538174,2.5545458245936405,10.067367793151135,6.323706818037255,63.206706238773684,-1.4571460302312695,-8.893845946170154e-15,79.77609335908622,-124.6466667322173,69.4292238339801,125.60730154172109,26.181493718319935,5.567123253051412,29.8237665426177,6.718530573915814,10.856667517207034,5.54766672349395,-1.1011428314305904e-14,67.1817103019921,-136.0762640354349,70.41504536348452,124.15316145851504,26.622454192307433,7.448056325326938,29.953832923301192,9.579274783712705,59.333925385410595,3.543449219671934,-1.1011428314305904e-14,49.29921103841898,-161.7758118696108,68.543263031595,149.74220416232217,21.652067073444186,5.284948358485577,26.326781950885195,10.157229248081501,49.29921103841899,2.765668997406137,1.4313248293229596e-10,5.982995237973342e-10,1.8863111891848182e-10,2.068709364387609e-10,1.3799737396683992e-10,7.001869390445755e-11,2.2013302136652244e-10,8.685911522997359e-11,5.588783418112589e-11,7.590845973424007e-11,3.75518821813899e-11,1.2481218047651613e-10,4.554196340013961e-11,2.8681327507527943e-11,2.8424063919393783e-11,3.017399013725014e-11,1.0590189995684565e-10,3.717095145491343e-11,2.644164168309571e-11,2.2277144475046467e-11,4.2029833193399115e-11,1.390855707838503e-10,5.1674089446396654e-11,3.228241063763073e-11,3.296032504848535e-11,11.821141419106587,17.409974526852594,21.043920677387412,2.2471572154383663,11.757902225234771,11.970713441106069,14.382867159304057,19.179281973573897,23.973145908370967,5.441585790578375,13.915101980751583,14.941248912020075,12.638392910898647,76.21915470557042,77.25987651686953,2.634665931505774,12.617638726493093,12.889773915896875,31.693205042772327,69.37056279349626,76.2675175167621,5.75850081086359,12.051212403549938,13.356348751967825,-50.36826980071299,91.66748661897579,104.59393245192342,5.163229893467903,15.869857204218171,16.68865814303463,6.934669533585302,78.29634629255676,78.60284654072015,5.848950956202298,15.39894079809517,16.4723284629496,25.90690813819401,77.46648529842196,81.683684011995,-1.1385203734426619,14.664281279590048,14.708411677937189,-82.49058732447604,89.97162328205152,122.06387669226471,3.526102696714362,11.60443856929301,12.128330253430251,P001,7,453,3,Khong_du
2.541098841762901e-14,105.93264506294382,-107.20104022636657,60.65368095237604,85.67983985715411,-1.28716215711438,1.563767345054842,-0.025090817478357362,0.0777063715731792,-65.66469129518303,0.2330816781249607,2.837560373301906e-14,132.46264133937927,-115.19813883641045,65.51118800190915,86.73348603525854,-8.412057500375637,-2.4474872748377927,-7.794015736180772,-1.9266689879718932,-115.19813883641045,-2.609995877876553,2.159934015498466e-14,88.73005867423154,-83.41206598900881,56.55350284802708,118.25411949832268,10.819497409950634,-0.8782984566892316,19.799851315504995,0.9345150342273163,-16.7923842978102,-1.1426908743423443,6.776263578034403e-15,87.2061224622261,-158.59477060668138,79.53334845102101,166.54294231002575,18.914686301844142,11.555090640579449,18.455144011956907,17.049688363527245,-72.1866297622113,8.983124511511889,5.929230630780102e-15,85.29301376753091,-149.29012914245646,77.50217017396706,171.04565585321282,18.908268590709177,9.919260488628996,21.665050774558402,13.27022323241043,-82.19338556454035,10.224790550330987,1.4950311138824613e-10,8.697175537249063e-10,2.2530408087036106e-10,3.030295117665755e-10,1.2607054502765966e-10,6.411475707492449e-11,2.0904912966804492e-10,7.809109849485856e-11,4.1583519376321247e-11,7.278814024101555e-11,5.437475162719148e-11,1.63210606845305e-10,6.451962195899661e-11,5.075183902869458e-11,4.178169203857409e-11,3.4525221607261215e-11,1.175228296048212e-10,4.2120455072904723e-11,3.1057227046187105e-11,2.9698981957343445e-11,4.6539121552298955e-11,1.4772320908130218e-10,5.721741393431378e-11,3.3954080332118295e-11,3.162973095427181e-11,12.946172454818269,18.5586298071273,22.627994200721574,8.657588123394904,11.101280853505678,14.078077592582034,15.086775835963781,20.700198790201032,25.61462541358864,11.897168277287033,14.613522608994874,18.84403502601524,-57.91523191059527,74.97135658900831,94.73583480422957,8.428927151059211,12.621495274572693,15.177251262462647,-17.786488238956824,70.99049859629893,73.18476654895927,18.122765361241967,13.257636071637425,22.454387957515422,-21.555458823466783,86.41253581353773,89.06045222665395,9.891072825995828,15.76963470045961,18.61490532436555,-115.13139359406837,88.22064506221794,145.0452343446903,15.840056853769859,15.765019599964774,22.348226867425858,56.41706949762038,80.07073954699699,97.95003349821968,3.6764311132345253,13.373121447680672,13.869265408981676,44.816547822780485,93.94569621135084,104.08802426497964,6.607997249921141,12.064041524701588,13.755243566171032,P001,8,453,4,Khong_du
-9.317362419797304e-15,111.12265376023329,-102.18429442314181,69.95712981303703,105.8613997108989,11.193589242826194,10.761054709081185,10.276102673948689,12.472938788459553,-58.623101980642154,13.754764887419913,-7.623296525288703e-15,80.56704587885,-53.29338039834891,60.04864545496576,112.59919373482474,3.487508764783795,4.742219285585048,1.7421851203243677,1.9959254449600934,-24.163499585598615,10.81124190472808,-1.1011428314305904e-14,57.83087681452335,-70.28415259570554,59.300052759283375,119.28381662797871,18.650445748777596,10.436603137142402,20.085498088735115,10.427990842083837,-6.0364548544324705,14.148477466570046,-1.1858461261560205e-14,59.90643709762356,-83.1937485322591,57.05414559770416,125.96929151197338,14.42331027239011,8.439617559531337,13.86104575905029,13.242382136393632,-15.747176568595993,7.953494282623984,-6.776263578034403e-15,28.721366477673172,-96.46098988457948,54.630103384043196,151.41303370594696,16.101895573794216,11.155268048058188,14.99806808759761,9.497422152839242,28.72136647767316,12.597583394038915,1.351172167999144e-10,7.97658184386326e-10,2.081634485751074e-10,2.767234445856664e-10,1.0971662440479688e-10,6.311097099542078e-11,2.327393564548696e-10,8.017102867803154e-11,6.660893673370342e-11,2.3390225929310554e-11,3.4297669318091043e-11,1.3216743534111116e-10,4.4292801284292985e-11,3.7124017626122476e-11,3.1921239929804965e-11,3.499167216173425e-11,1.282267683956513e-10,4.325274262351928e-11,2.9654093527868694e-11,2.7274370892499756e-11,4.337656405594408e-11,1.3163753521169292e-10,5.2027073048122e-11,3.993499862083812e-11,3.4788184431260935e-11,3.1462594346259314,18.507350392663973,18.772878494967472,7.763393653124619,10.823574217775645,13.319911405901818,0.8342921887439387,20.401739990540413,20.41879129864976,7.555976441291076,13.786970982273136,15.721747639731,-21.451946504624654,72.68601438406164,75.78550452347265,10.09399676035509,13.36801359055663,16.75089722836857,7.028471193223149,64.14035772924969,64.52429695045183,11.246702660673831,12.08090457955422,16.5056528558522,-42.248542721973365,84.01425179654096,94.03900183999718,-3.0493130536889446,16.113408072985212,16.399397239714112,-27.888928085386944,78.02165420349047,82.85632645972743,6.465339224580634,14.29723068312684,15.69112540563756,-24.592123156385234,83.42303344851547,86.97226587304111,2.0455991470798764,15.23945286636516,15.376130837655458,58.19235477165393,93.89670849946677,110.46692727193904,4.858468046706947,12.170479146014033,13.1043990478173,P001,9,453,5,Khong_du
