window,start_seconds,end_seconds,duration_seconds,n_subjects,n_conditions,n_repeat_records,min_repeats,median_repeats,max_repeats,n_summary_features,conditions_excluded_too_few_repeats,observed_ratio_min,observed_ratio_median,observed_ratio_mean,imputed_ratio_median,raw_icc1_n_features,raw_icc1_median,raw_icc1_q25,raw_icc1_q75,raw_icc1_fraction_gt_0,raw_icc1_fraction_ge_0_25,raw_icc1_fraction_ge_0_5,raw_icck_n_features,raw_icck_median,raw_icck_q25,raw_icck_q75,raw_icck_fraction_gt_0,raw_icck_fraction_ge_0_25,raw_icck_fraction_ge_0_5,subject_centered_icc1_n_features,subject_centered_icc1_median,subject_centered_icc1_q25,subject_centered_icc1_q75,subject_centered_icc1_fraction_gt_0,subject_centered_icc1_fraction_ge_0_25,subject_centered_icc1_fraction_ge_0_5,subject_centered_icck_n_features,subject_centered_icck_median,subject_centered_icck_q25,subject_centered_icck_q75,subject_centered_icck_fraction_gt_0,subject_centered_icck_fraction_ge_0_25,subject_centered_icck_fraction_ge_0_5,n_usable_distance_features,n_within_pairs,n_between_pairs,within_condition_distance_median,different_condition_same_subject_distance_median,within_to_between_ratio,distance_separation,pair_auc,median_subject_pair_auc
0:2,0.0,2.0,2.0,28,140,700,5,5.0,5,720,0,0.10743801652892562,1.0,0.9299011216056671,0.008333333333333333,720,0.12148855614526309,0.06510671435131685,0.18635054697178977,0.9763888888888889,0.10694444444444444,0.02638888888888889,720,0.4087886791921806,0.25827201872734673,0.533832664780125,0.9763888888888889,0.7597222222222222,0.32083333333333336,720,-0.01281846160371346,-0.03547600674772815,0.011902436886224,0.3736111111111111,0.0,0.0,720,-0.06755655858298788,-0.20671402203546527,0.056807286353939376,0.3736111111111111,0.05277777777777778,0.0,720,1400,7000,1.2638382547773634,1.287734121048973,0.9814434782141641,0.018556521785835934,0.5192098979591836,0.516
2:4,2.0,4.0,2.0,28,140,700,5,5.0,5,720,0,0.275,1.0,0.9969166666666667,0.0,720,0.17061328040066276,0.05759067546514454,0.342044938463729,0.9305555555555556,0.3958333333333333,0.09027777777777778,720,0.5070372487893271,0.23403926801997793,0.7221684148037557,0.9305555555555556,0.7305555555555555,0.5125,720,0.009543575866146705,-0.02634836706863249,0.05594150745573946,0.5694444444444444,0.0,0.0,720,0.04596180612061367,-0.14726234685270512,0.22856286609212612,0.5694444444444444,0.21666666666666667,0.0125,720,1400,7000,1.1387464785649026,1.1760706890750412,0.9682636334219898,0.031736366578010204,0.5292913265306122,0.5402
4:6,4.0,6.0,2.0,28,140,700,5,5.0,5,720,0,0.7166666666666667,1.0,0.9984166666666666,0.0,720,0.184701813777932,0.01571233887713319,0.3210177576070407,0.8152777777777778,0.375,0.08055555555555556,720,0.531116398286785,0.07391457699381025,0.7027309063488016,0.8152777777777778,0.6166666666666667,0.5444444444444444,720,-0.007379297497207669,-0.039880993234008816,0.03275112387120859,0.4513888888888889,0.0,0.0,720,-0.03801869275392566,-0.23725241476945702,0.14478776943696825,0.4513888888888889,0.11944444444444445,0.002777777777777778,720,1400,7000,1.217900846276859,1.2458114425793112,0.9775964521206625,0.022403547879337554,0.5259262244897959,0.5311600000000001
6:8,6.0,8.0,2.0,28,140,700,5,5.0,5,720,0,0.6333333333333333,1.0,0.9990833333333333,0.0,720,0.17888828866990703,0.008677153025065054,0.2779805507669525,0.7875,0.30972222222222223,0.08194444444444444,720,0.5213719751317728,0.04192887481192539,0.6581212137226284,0.7875,0.6055555555555555,0.525,720,-0.018068587284236853,-0.04426518759731568,0.014746222663003584,0.3486111111111111,0.0,0.0,720,-0.09738348024091825,-0.26894580476078594,0.06962163000725263,0.3486111111111111,0.08055555555555556,0.0,720,1400,7000,1.174686809256709,1.2109182447776452,0.9700793710250942,0.029920628974905817,0.5229029591836735,0.52028
8:10,8.0,10.0,2.0,28,140,700,5,5.0,5,720,0,0.09166666666666666,1.0,0.9959739895958384,0.0,720,0.14446095664529665,0.017909111874959895,0.2418599493940808,0.8625,0.22361111111111112,0.07361111111111111,720,0.45777964273659855,0.08355964336945798,0.6146565178009801,0.8625,0.6305555555555555,0.4305555555555556,720,-0.021984076132981773,-0.04448187407347616,0.010063537874191685,0.3194444444444444,0.0,0.0,720,-0.12051831600258746,-0.27054731057963394,0.048370559603393065,0.3194444444444444,0.041666666666666664,0.0,720,1400,7000,1.0674593266645531,1.1076389056281284,0.9637250201672991,0.036274979832700914,0.5223888775510204,0.5181199999999999
0:10,0.0,10.0,10.0,28,140,700,5,5.0,5,720,0,0.815,1.0,0.9840190476190476,0.0016666666666666668,720,0.22016772525896583,0.1503095751173564,0.4413105477636922,1.0,0.4444444444444444,0.1763888888888889,720,0.5853429052832365,0.4693541710554963,0.7979596772385533,1.0,0.9611111111111111,0.7013888888888888,720,0.01833576291773288,-0.01020647931817215,0.05840192929949425,0.6652777777777777,0.0,0.0,720,0.08541427115156655,-0.053204523055019035,0.23671142406753337,0.6652777777777777,0.2361111111111111,0.011111111111111112,720,1400,7000,1.2712898723824282,1.3188182603448526,0.9639613816463259,0.036038618353674,0.5434706122448979,0.54836
