subject_id,condition,condition_label,P1_mean_amp,P1_peak_amp,P1_peak_lat,N1_mean_amp,N1_peak_amp,N1_peak_lat,P2_mean_amp,P2_peak_amp,P2_peak_lat,N400_mean_amp,N400_peak_amp,N400_peak_lat,jar_group
P023,189,Medium/189,-3.12473015355863e-06,6.678858267150644e-06,0.11,1.4396143204916964e-05,-1.7437290023281093e-05,0.14,1.3639967734709797e-05,2.508308211872645e-05,0.33,7.1222995620656005e-06,-5.272417522898346e-06,0.53,Vua_phai
P023,762,MedHigh/762,8.509066881247557e-06,2.0963428469400465e-05,0.11,-1.5041587643984463e-05,-1.949751394931809e-05,0.24,1.0723175252608665e-05,1.7027196349772566e-05,0.29,7.029288044728828e-06,-2.491518714956935e-06,0.44,Vua_phai
P023,893,High/893,2.934856187104223e-05,4.1072049134527334e-05,0.09,-2.0338460394048688e-05,-3.4215159575978764e-05,0.17,-6.063957898469687e-06,1.3602700028059189e-05,0.34,4.833884255756656e-06,-4.968433207371466e-06,0.38,Qua_nhieu
P024,605,Water/605,7.91395775974836e-06,1.5910921160866564e-05,0.1,-1.0579270664059302e-05,-2.7277471201614392e-05,0.19,1.604292685787921e-06,2.586783810727411e-05,0.29,8.526205199291301e-06,-9.839243441926255e-06,0.5,Khong_du
P024,762,MedHigh/762,6.2606176133580706e-06,1.8481409658477335e-05,0.1,3.151826492533225e-06,-1.0854268408877489e-05,0.2,1.2721475252419621e-05,2.337810846739785e-05,0.24,9.083834031884857e-06,-1.3745196497438886e-06,0.47,Vua_phai
P024,893,High/893,-3.0965245328624345e-06,6.844537433181584e-06,0.09,-5.268653239909326e-06,-2.1898642998507967e-05,0.24,1.0238772933217456e-06,1.9023891655933764e-05,0.24,-5.755783504134295e-07,-1.3987103998639819e-05,0.45,Qua_nhieu
P025,605,Water/605,-6.7018920641917905e-06,-3.3014527446084684e-06,0.1,3.508494904752074e-06,-8.770362302357172e-06,0.18,5.912672597109856e-06,1.5440829298540847e-05,0.26,5.135550340557279e-06,2.962350246586179e-08,0.37,Khong_du
P025,258,Low/258,-7.990795284789393e-06,6.2849427507671866e-06,0.1,4.708801876450829e-06,-9.280639898179287e-06,0.24,1.6438155512332762e-07,9.10987807856145e-06,0.35,-2.8230060497800243e-06,-2.1214264486009896e-05,0.55,Khong_du
P025,453,MedLow/453,-2.6193280118848506e-06,4.737614212046992e-06,0.15,-1.1910603299192246e-05,-2.472447837931213e-05,0.23,2.4787032881608166e-06,1.0677749344267795e-05,0.29,-2.4677596786355186e-06,-1.2775103423715942e-05,0.47,Khong_du
P025,893,High/893,1.0056006927275768e-05,2.0424570925570153e-05,0.13,-9.614890786447846e-06,-2.102282203395589e-05,0.17,6.991815422753034e-06,1.6470050599082246e-05,0.32,1.0123282339420606e-05,-1.4292106641278227e-06,0.39,Qua_nhieu
P026,605,Water/605,1.3309523021324112e-05,2.3757520011713492e-05,0.11,-4.036360432799959e-06,-1.360591085699525e-05,0.2,1.154602499953993e-05,2.2619485548602825e-05,0.29,1.5479176727454264e-05,5.506271130191938e-06,0.54,Khong_du
P026,258,Low/258,-1.001313110220606e-05,4.9285269653864814e-06,0.15,-5.691822607093141e-06,-1.4044692818515614e-05,0.24,5.07004286895643e-06,1.8146281337294568e-05,0.29,-1.869179562761154e-06,-1.5480647728812377e-05,0.43,Khong_du
P026,453,MedLow/453,1.630229027763822e-05,2.1169255387576416e-05,0.14,-4.569081187872309e-06,-1.372223315456722e-05,0.19,6.105634236829561e-06,2.7824579868251933e-05,0.28,-3.2717617522164363e-06,-1.4410488984140103e-05,0.4,Khong_du
P026,189,Medium/189,-5.676209851809436e-06,2.7587857630351212e-06,0.15,6.866386361278646e-06,-3.6398793554326405e-06,0.2,7.109810331721398e-06,2.4498276229678598e-05,0.32,5.192674465213206e-06,-6.266877231079586e-06,0.44,Vua_phai
