subject_id,condition,condition_label,P1_mean_amp,P1_peak_amp,P1_peak_lat,N1_mean_amp,N1_peak_amp,N1_peak_lat,P2_mean_amp,P2_peak_amp,P2_peak_lat,N400_mean_amp,N400_peak_amp,N400_peak_lat,jar_group
P018,893,High/893,2.3394948276538635e-05,3.548423159998038e-05,0.12,-1.0646320915115707e-05,-2.0163173837772773e-05,0.18,4.39250221711156e-06,2.766012871120438e-05,0.27,-2.4562612721757384e-06,-1.2134857558976363e-05,0.53,Qua_nhieu
P019,605,Water/605,-7.832339315478571e-06,5.90419367654249e-06,0.14,7.96985275945355e-06,1.8397040335571551e-07,0.21,-4.822897825127972e-06,4.16968860479372e-06,0.28,3.456635957304019e-07,-6.399077860900586e-06,0.43,Khong_du
P019,258,Low/258,-4.0719335547834135e-06,3.5995309417558015e-06,0.11,6.427664472206309e-06,-1.5212163378919285e-05,0.17,4.417035786333874e-06,1.4760340169139855e-05,0.33,3.3015354058330714e-06,-5.770420531329516e-06,0.54,Khong_du
P019,453,MedLow/453,1.26075845098431e-05,1.653369000464977e-05,0.14,1.4447395486818302e-06,-1.1570657193260558e-05,0.14,4.1372039874558775e-06,1.9675920775341638e-05,0.25,-4.170952836982144e-06,-1.3689424934663444e-05,0.47,Vua_phai
P019,189,Medium/189,-8.839704963747862e-06,-6.656619436284929e-06,0.1,-1.0635747213686128e-06,-1.3025263567101319e-05,0.17,-4.296923184254044e-06,2.696520778044942e-06,0.34,-3.852597757811637e-06,-1.0620392365960165e-05,0.42,Qua_nhieu
P019,762,MedHigh/762,5.623543305498048e-06,1.4273218013727274e-05,0.15,-2.0281188951082836e-05,-3.3770016869993924e-05,0.22,5.048932732274981e-06,1.8723453408142632e-05,0.24,-1.9489610595038776e-06,-1.0227510737574145e-05,0.38,Vua_phai
P019,893,High/893,8.349333407003151e-06,1.586856269142345e-05,0.09,-4.85339111316369e-06,-1.697402942113513e-05,0.21,1.3109717757996665e-05,3.4862010977576574e-05,0.3,9.613443703329836e-06,-6.200961394142723e-06,0.55,Qua_nhieu
P020,605,Water/605,1.1632967908578199e-05,2.2369778495345827e-05,0.12,6.852689296939345e-06,1.2179610848761513e-06,0.14,1.5490774751278573e-05,3.662422965255985e-05,0.26,1.1917938486619724e-05,-1.5060996778023158e-05,0.54,Khong_du
P020,453,MedLow/453,1.4077084388678224e-05,2.5287925564043685e-05,0.09,-1.2626686520436891e-05,-3.609306382941213e-05,0.2,-9.914114611520885e-06,1.0936697825059129e-05,0.25,8.746906379275389e-07,-1.594410392632047e-05,0.47,Vua_phai
P020,762,MedHigh/762,-2.7428218415488055e-06,1.0917214012806653e-06,0.09,1.1559801979449896e-05,-6.014820962718661e-06,0.21,1.1853297982174112e-05,3.4870506874540295e-05,0.26,3.913670900102502e-06,-6.346006178622095e-06,0.36,Qua_nhieu
P020,893,High/893,5.621552890845903e-06,8.693720451447006e-06,0.11,-1.0920804743751543e-06,-8.870462813348467e-06,0.21,-4.1527312165411635e-07,1.7014143158178285e-05,0.24,4.5545235523314695e-06,-5.931069313191985e-06,0.36,Qua_nhieu
P021,605,Water/605,5.000191666835819e-06,1.1279418686171994e-05,0.11,-2.1325139024984778e-06,-2.0916155756367515e-05,0.16,-1.3979403388147536e-05,-2.2608370500165586e-07,0.34,-3.4802239071548712e-06,-1.893320746451839e-05,0.4,Khong_du
P021,453,MedLow/453,2.0660743984990406e-06,1.9213158630293492e-05,0.15,-9.18999299621894e-06,-2.480063320149384e-05,0.15,-1.7877382108311987e-05,9.531113653338252e-06,0.28,-4.819088723428602e-06,-2.116382730908602e-05,0.35,Khong_du
P021,189,Medium/189,5.5392313494654196e-06,1.2921224612227889e-05,0.09,-1.554189352090547e-05,-2.9289844439972514e-05,0.15,-7.396061475289502e-06,1.8232978003140943e-05,0.32,7.042971200083983e-06,-2.011685272880945e-06,0.55,Qua_nhieu
P021,762,MedHigh/762,-6.9118610827574e-06,-3.6752345238255674e-07,0.09,7.769819712099103e-06,1.4459645967690446e-06,0.18,-2.3602228266711862e-06,1.1312538919128202e-05,0.32,-3.5683598694487034e-07,-1.0067899612901478e-05,0.5,Qua_nhieu
P021,893,High/893,4.2913146407792147e-07,8.36397111356746e-06,0.1,-7.427035670430516e-07,-2.6103237246388747e-05,0.2,2.518006143275874e-05,3.738225597089695e-05,0.32,5.4827432266948685e-06,-6.830189136053377e-06,0.44,Qua_nhieu
P023,605,Water/605,9.177605309115425e-06,1.66458446813067e-05,0.12,-1.0321733758318757e-05,-2.637430451386535e-05,0.2,-8.149908253849084e-06,1.5164027445280236e-06,0.26,-2.8149837472963355e-06,-1.529101500636898e-05,0.5,Khong_du
P023,258,Low/258,1.664295823837441e-05,2.7347513844233616e-05,0.09,-1.2827972886436163e-05,-2.521221617826086e-05,0.15,-1.5432432515074026e-06,1.7612094279684246e-05,0.27,3.717369345686393e-06,-7.646217627647426e-06,0.51,Khong_du
P023,453,MedLow/453,1.1945382322307654e-05,1.9571563871068066e-05,0.1,-4.893296577857983e-06,-2.0042298319822298e-05,0.15,3.8175407633153e-06,2.3948747764279683e-05,0.34,4.48265938155078e-06,-1.4235740733662777e-05,0.39,Khong_du
