subject_id,epoch_ix,condition,condition_label,repeat,jar,jar_group,jar_numeric
P007,4,258,Low/258,5,1.0,Khong_du,0
P007,5,453,MedLow/453,1,4.0,Qua_nhieu,2
P007,6,453,MedLow/453,2,4.0,Qua_nhieu,2
P007,7,453,MedLow/453,3,4.0,Qua_nhieu,2
P007,8,453,MedLow/453,4,4.0,Qua_nhieu,2
P007,9,453,MedLow/453,5,4.0,Qua_nhieu,2
P007,10,605,Water/605,1,1.0,Khong_du,0
P007,11,605,Water/605,2,1.0,Khong_du,0
P007,12,605,Water/605,3,1.0,Khong_du,0
P007,13,605,Water/605,4,1.0,Khong_du,0
P007,14,605,Water/605,5,1.0,Khong_du,0
P007,15,189,Medium/189,1,5.0,Qua_nhieu,2
P007,16,189,Medium/189,2,5.0,Qua_nhieu,2
P007,17,189,Medium/189,3,5.0,Qua_nhieu,2
P007,18,189,Medium/189,4,5.0,Qua_nhieu,2
P007,19,189,Medium/189,5,5.0,Qua_nhieu,2
P007,25,762,MedHigh/762,1,4.0,Qua_nhieu,2
P007,26,762,MedHigh/762,2,4.0,Qua_nhieu,2
P007,27,762,MedHigh/762,3,4.0,Qua_nhieu,2
P007,28,762,MedHigh/762,4,4.0,Qua_nhieu,2
P007,29,762,MedHigh/762,5,4.0,Qua_nhieu,2
P009,0,189,Medium/189,1,3.0,Vua_phai,1
P009,1,189,Medium/189,2,3.0,Vua_phai,1
P009,2,189,Medium/189,3,3.0,Vua_phai,1
P009,3,189,Medium/189,4,3.0,Vua_phai,1
P009,5,762,MedHigh/762,1,4.0,Qua_nhieu,2
P009,6,762,MedHigh/762,2,4.0,Qua_nhieu,2
P009,7,762,MedHigh/762,3,4.0,Qua_nhieu,2
P009,8,762,MedHigh/762,4,4.0,Qua_nhieu,2
P009,9,762,MedHigh/762,5,4.0,Qua_nhieu,2
P009,10,453,MedLow/453,1,2.0,Khong_du,0
P009,11,453,MedLow/453,2,2.0,Khong_du,0
P009,12,453,MedLow/453,3,2.0,Khong_du,0
P009,13,453,MedLow/453,4,2.0,Khong_du,0
P009,14,453,MedLow/453,5,2.0,Khong_du,0
P009,15,893,High/893,1,5.0,Qua_nhieu,2
P009,16,893,High/893,2,5.0,Qua_nhieu,2
P009,17,893,High/893,3,5.0,Qua_nhieu,2
P009,18,893,High/893,4,5.0,Qua_nhieu,2
P009,19,258,Low/258,1,1.0,Khong_du,0
P009,20,258,Low/258,2,1.0,Khong_du,0
P009,21,258,Low/258,3,1.0,Khong_du,0
P009,22,258,Low/258,4,1.0,Khong_du,0
P009,23,258,Low/258,5,1.0,Khong_du,0
P009,25,893,High/893,5,5.0,Qua_nhieu,2
P010,0,762,MedHigh/762,1,3.0,Vua_phai,1
P010,1,762,MedHigh/762,2,3.0,Vua_phai,1
P010,2,762,MedHigh/762,3,3.0,Vua_phai,1
P010,3,762,MedHigh/762,4,3.0,Vua_phai,1
P010,4,762,MedHigh/762,5,3.0,Vua_phai,1
P010,5,893,High/893,1,4.0,Qua_nhieu,2
P010,6,893,High/893,2,4.0,Qua_nhieu,2
P010,7,893,High/893,3,4.0,Qua_nhieu,2
P010,8,893,High/893,4,4.0,Qua_nhieu,2
P010,9,893,High/893,5,4.0,Qua_nhieu,2
P010,10,189,Medium/189,1,2.0,Khong_du,0
P010,11,189,Medium/189,2,2.0,Khong_du,0
P010,12,189,Medium/189,3,2.0,Khong_du,0
P010,13,189,Medium/189,4,2.0,Khong_du,0
P010,14,189,Medium/189,5,2.0,Khong_du,0
P010,25,258,Low/258,1,1.0,Khong_du,0
P010,26,258,Low/258,2,1.0,Khong_du,0
P010,28,258,Low/258,4,1.0,Khong_du,0
P010,29,258,Low/258,5,1.0,Khong_du,0
P011,0,893,High/893,1,2.0,Khong_du,0
P011,1,893,High/893,2,2.0,Khong_du,0
P011,2,893,High/893,3,2.0,Khong_du,0
P011,3,893,High/893,4,2.0,Khong_du,0
P011,4,893,High/893,5,2.0,Khong_du,0
P011,15,258,Low/258,1,1.0,Khong_du,0
P011,16,258,Low/258,2,1.0,Khong_du,0
P011,17,258,Low/258,3,1.0,Khong_du,0
P011,18,258,Low/258,4,1.0,Khong_du,0
P011,20,189,Medium/189,1,2.0,Khong_du,0
P011,21,189,Medium/189,2,2.0,Khong_du,0
P011,22,189,Medium/189,3,2.0,Khong_du,0
P011,23,189,Medium/189,4,2.0,Khong_du,0
P011,24,189,Medium/189,5,2.0,Khong_du,0
P013,0,258,Low/258,1,1.0,Khong_du,0
P013,1,258,Low/258,2,1.0,Khong_du,0
P013,2,258,Low/258,3,1.0,Khong_du,0
P013,3,258,Low/258,4,1.0,Khong_du,0
P013,4,258,Low/258,5,1.0,Khong_du,0
P013,15,189,Medium/189,1,4.0,Qua_nhieu,2
P013,16,189,Medium/189,2,4.0,Qua_nhieu,2
P013,17,189,Medium/189,3,4.0,Qua_nhieu,2
P013,18,189,Medium/189,4,4.0,Qua_nhieu,2
P013,19,189,Medium/189,5,4.0,Qua_nhieu,2
P013,20,893,High/893,1,5.0,Qua_nhieu,2
P013,24,893,High/893,5,5.0,Qua_nhieu,2
P014,0,453,MedLow/453,1,2.0,Khong_du,0
P014,1,453,MedLow/453,2,2.0,Khong_du,0
P014,2,453,MedLow/453,3,2.0,Khong_du,0
P014,4,453,MedLow/453,5,2.0,Khong_du,0
P014,25,893,High/893,1,4.0,Qua_nhieu,2
P014,26,893,High/893,2,4.0,Qua_nhieu,2
P014,27,893,High/893,3,4.0,Qua_nhieu,2
P014,28,893,High/893,4,4.0,Qua_nhieu,2
P014,29,893,High/893,5,4.0,Qua_nhieu,2
P015,10,453,MedLow/453,1,1.0,Khong_du,0
P015,11,453,MedLow/453,2,1.0,Khong_du,0
P015,12,453,MedLow/453,3,1.0,Khong_du,0
P015,13,453,MedLow/453,4,1.0,Khong_du,0
P015,14,453,MedLow/453,5,1.0,Khong_du,0
P015,15,893,High/893,1,5.0,Qua_nhieu,2
P015,16,893,High/893,2,5.0,Qua_nhieu,2
P015,17,893,High/893,3,5.0,Qua_nhieu,2
P015,18,893,High/893,4,5.0,Qua_nhieu,2
P015,19,893,High/893,5,5.0,Qua_nhieu,2
P015,20,258,Low/258,1,1.0,Khong_du,0
P015,21,258,Low/258,2,1.0,Khong_du,0
P015,22,258,Low/258,3,1.0,Khong_du,0
P015,23,258,Low/258,4,1.0,Khong_du,0
P015,24,258,Low/258,5,1.0,Khong_du,0
P016,0,762,MedHigh/762,1,3.0,Vua_phai,1
P016,1,762,MedHigh/762,2,3.0,Vua_phai,1
P016,2,762,MedHigh/762,3,3.0,Vua_phai,1
P016,3,762,MedHigh/762,4,3.0,Vua_phai,1
P016,4,762,MedHigh/762,5,3.0,Vua_phai,1
P016,10,189,Medium/189,1,2.0,Khong_du,0
P016,11,189,Medium/189,2,2.0,Khong_du,0
P016,12,189,Medium/189,3,2.0,Khong_du,0
P016,13,189,Medium/189,4,2.0,Khong_du,0
P016,14,189,Medium/189,5,2.0,Khong_du,0
P017,5,605,Water/605,1,1.0,Khong_du,0
P017,6,605,Water/605,2,1.0,Khong_du,0
P017,7,605,Water/605,3,1.0,Khong_du,0
P017,10,762,MedHigh/762,1,2.0,Khong_du,0
P017,11,762,MedHigh/762,2,2.0,Khong_du,0
P017,12,762,MedHigh/762,3,2.0,Khong_du,0
P017,13,762,MedHigh/762,4,2.0,Khong_du,0
P017,14,762,MedHigh/762,5,2.0,Khong_du,0
P017,20,189,Medium/189,1,2.0,Khong_du,0
P017,21,189,Medium/189,2,2.0,Khong_du,0
P017,22,189,Medium/189,3,2.0,Khong_du,0
P017,23,189,Medium/189,4,2.0,Khong_du,0
P017,24,189,Medium/189,5,2.0,Khong_du,0
P018,0,605,Water/605,1,1.0,Khong_du,0
P018,2,605,Water/605,3,1.0,Khong_du,0
P018,4,605,Water/605,5,1.0,Khong_du,0
P018,5,258,Low/258,1,1.0,Khong_du,0
P018,6,258,Low/258,2,1.0,Khong_du,0
P018,7,258,Low/258,3,1.0,Khong_du,0
P018,8,258,Low/258,4,1.0,Khong_du,0
P018,9,258,Low/258,5,1.0,Khong_du,0
P018,10,893,High/893,1,4.0,Qua_nhieu,2
P018,11,893,High/893,2,4.0,Qua_nhieu,2
P018,12,893,High/893,3,4.0,Qua_nhieu,2
P018,13,893,High/893,4,4.0,Qua_nhieu,2
P018,14,893,High/893,5,4.0,Qua_nhieu,2
P018,15,453,MedLow/453,1,3.0,Vua_phai,1
P018,16,453,MedLow/453,2,3.0,Vua_phai,1
P018,17,453,MedLow/453,3,3.0,Vua_phai,1
P018,18,453,MedLow/453,4,3.0,Vua_phai,1
P018,19,453,MedLow/453,5,3.0,Vua_phai,1
P018,20,762,MedHigh/762,1,4.0,Qua_nhieu,2
P018,21,762,MedHigh/762,2,4.0,Qua_nhieu,2
P018,22,762,MedHigh/762,3,4.0,Qua_nhieu,2
P018,23,762,MedHigh/762,4,4.0,Qua_nhieu,2
P018,24,762,MedHigh/762,5,4.0,Qua_nhieu,2
P019,0,258,Low/258,1,1.0,Khong_du,0
P019,1,258,Low/258,2,1.0,Khong_du,0
P019,2,258,Low/258,3,1.0,Khong_du,0
P019,3,258,Low/258,4,1.0,Khong_du,0
P019,4,258,Low/258,5,1.0,Khong_du,0
P019,5,453,MedLow/453,1,3.0,Vua_phai,1
P019,6,453,MedLow/453,2,3.0,Vua_phai,1
P019,8,453,MedLow/453,4,3.0,Vua_phai,1
P019,9,453,MedLow/453,5,3.0,Vua_phai,1
P019,15,189,Medium/189,1,4.0,Qua_nhieu,2
P019,16,189,Medium/189,2,4.0,Qua_nhieu,2
P019,17,189,Medium/189,3,4.0,Qua_nhieu,2
P019,18,189,Medium/189,4,4.0,Qua_nhieu,2
P019,19,189,Medium/189,5,4.0,Qua_nhieu,2
P019,20,893,High/893,1,4.0,Qua_nhieu,2
P019,22,893,High/893,3,4.0,Qua_nhieu,2
P019,23,893,High/893,4,4.0,Qua_nhieu,2
P019,24,893,High/893,5,4.0,Qua_nhieu,2
P019,25,762,MedHigh/762,1,3.0,Vua_phai,1
P019,27,762,MedHigh/762,3,3.0,Vua_phai,1
P019,28,762,MedHigh/762,4,3.0,Vua_phai,1
P019,29,762,MedHigh/762,5,3.0,Vua_phai,1
P020,0,453,MedLow/453,1,3.0,Vua_phai,1
P020,1,453,MedLow/453,2,3.0,Vua_phai,1
P020,2,453,MedLow/453,3,3.0,Vua_phai,1
P020,3,453,MedLow/453,4,3.0,Vua_phai,1
P020,4,453,MedLow/453,5,3.0,Vua_phai,1
P020,15,762,MedHigh/762,1,4.0,Qua_nhieu,2
P020,16,762,MedHigh/762,2,4.0,Qua_nhieu,2
P020,17,762,MedHigh/762,3,4.0,Qua_nhieu,2
P020,18,762,MedHigh/762,4,4.0,Qua_nhieu,2
P020,19,762,MedHigh/762,5,4.0,Qua_nhieu,2
P020,20,605,Water/605,1,1.0,Khong_du,0
P020,22,605,Water/605,3,1.0,Khong_du,0
P020,23,605,Water/605,4,1.0,Khong_du,0
P020,24,605,Water/605,5,1.0,Khong_du,0
P020,25,893,High/893,1,5.0,Qua_nhieu,2
P020,26,893,High/893,2,5.0,Qua_nhieu,2
P020,27,893,High/893,3,5.0,Qua_nhieu,2
P020,28,893,High/893,4,5.0,Qua_nhieu,2
P020,29,893,High/893,5,5.0,Qua_nhieu,2
P021,0,189,Medium/189,1,4.0,Qua_nhieu,2
P021,1,189,Medium/189,2,4.0,Qua_nhieu,2
P021,2,189,Medium/189,3,4.0,Qua_nhieu,2
P021,3,189,Medium/189,4,4.0,Qua_nhieu,2
P021,4,189,Medium/189,5,4.0,Qua_nhieu,2
P021,5,762,MedHigh/762,1,4.0,Qua_nhieu,2
P021,6,762,MedHigh/762,2,4.0,Qua_nhieu,2
P021,7,762,MedHigh/762,3,4.0,Qua_nhieu,2
P021,8,762,MedHigh/762,4,4.0,Qua_nhieu,2
P021,9,762,MedHigh/762,5,4.0,Qua_nhieu,2
P021,10,453,MedLow/453,1,2.0,Khong_du,0
P021,11,453,MedLow/453,2,2.0,Khong_du,0
P021,12,453,MedLow/453,3,2.0,Khong_du,0
P021,13,453,MedLow/453,4,2.0,Khong_du,0
P021,14,453,MedLow/453,5,2.0,Khong_du,0
P021,15,893,High/893,1,5.0,Qua_nhieu,2
P021,16,893,High/893,2,5.0,Qua_nhieu,2
P021,17,893,High/893,3,5.0,Qua_nhieu,2
P021,18,893,High/893,4,5.0,Qua_nhieu,2
P021,19,893,High/893,5,5.0,Qua_nhieu,2
P021,25,605,Water/605,1,1.0,Khong_du,0
P021,26,605,Water/605,2,1.0,Khong_du,0
P021,27,605,Water/605,3,1.0,Khong_du,0
P021,28,605,Water/605,4,1.0,Khong_du,0
P021,29,605,Water/605,5,1.0,Khong_du,0
P023,0,893,High/893,1,4.0,Qua_nhieu,2
P023,1,893,High/893,2,4.0,Qua_nhieu,2
P023,2,893,High/893,3,4.0,Qua_nhieu,2
P023,3,893,High/893,4,4.0,Qua_nhieu,2
P023,4,893,High/893,5,4.0,Qua_nhieu,2
P023,5,605,Water/605,1,1.0,Khong_du,0
P023,6,605,Water/605,2,1.0,Khong_du,0
P023,7,605,Water/605,3,1.0,Khong_du,0
