fold,experiment,n_inner_folds,n_train_conditions,n_test_conditions,train_subjects,test_subjects,selected_k_features,selected_C,n,accuracy,balanced_accuracy,macro_f1,per_class_recall,per_class_precision,per_class_f1,support,mae,quadratic_weighted_kappa
1,video_raw,3,110,30,P001|P002|P005|P006|P007|P008|P009|P010|P014|P015|P016|P017|P018|P019|P020|P021|P023|P025|P026|P028|P029|P030,P003|P004|P011|P013|P024|P027,16,0.1,30,0.6,0.6,0.5833333333333333,"[0.6, 0.6]","[0.75, 0.42857142857142855]","[0.6666666666666665, 0.5]","[20, 10]",0.4,0.18181818181818188
1,video_trial_delta,3,110,30,P001|P002|P005|P006|P007|P008|P009|P010|P014|P015|P016|P017|P018|P019|P020|P021|P023|P025|P026|P028|P029|P030,P003|P004|P011|P013|P024|P027,16,0.1,30,0.4666666666666667,0.45,0.4444444444444444,"[0.5, 0.4]","[0.625, 0.2857142857142857]","[0.5555555555555556, 0.3333333333333333]","[20, 10]",0.5333333333333333,-0.09090909090909083
1,video_water_delta,3,110,30,P001|P002|P005|P006|P007|P008|P009|P010|P014|P015|P016|P017|P018|P019|P020|P021|P023|P025|P026|P028|P029|P030,P003|P004|P011|P013|P024|P027,16,0.1,30,0.36666666666666664,0.4,0.3659621802002224,"[0.3, 0.5]","[0.5454545454545454, 0.2631578947368421]","[0.3870967741935483, 0.3448275862068966]","[20, 10]",0.6333333333333333,-0.16326530612244916
