experiment,n,accuracy,balanced_accuracy,macro_f1,per_class_recall,per_class_precision,per_class_f1,support,mae,quadratic_weighted_kappa
video_raw,30,0.6,0.6,0.5833333333333333,"[0.6, 0.6]","[0.75, 0.42857142857142855]","[0.6666666666666665, 0.5]","[20, 10]",0.4,0.18181818181818188
video_trial_delta,30,0.4666666666666667,0.45,0.4444444444444444,"[0.5, 0.4]","[0.625, 0.2857142857142857]","[0.5555555555555556, 0.3333333333333333]","[20, 10]",0.5333333333333333,-0.09090909090909083
video_water_delta,30,0.36666666666666664,0.4,0.3659621802002224,"[0.3, 0.5]","[0.5454545454545454, 0.2631578947368421]","[0.3870967741935483, 0.3448275862068966]","[20, 10]",0.6333333333333333,-0.16326530612244916
