Source,SS,ddof1,ddof2,MS,F,p_unc,p_GG_corr,ng2,eps
substance,1.420289855072464,1,22,1.420289855072464,4.466079751424122,0.046148786475289194,0.046148786475289194,0.01490834410892219,1.0
intensity,67.89492753623189,2,44,33.947463768115945,58.910831666190326,3.607051501494154e-13,1.9513175163867688e-11,0.41977106247619905,0.8421941070493756
substance * intensity,3.1557971014492665,2,44,1.5778985507246333,5.586588921282791,0.006885617674714071,0.0069628135012332545,0.032532775557464526,0.9959241679200829
