Source,SS,ddof1,ddof2,MS,F,p_unc,p_GG_corr,ng2,eps
substance,1.8149999999999957,1,24,1.8149999999999957,0.9389280068975409,0.3422181255593599,0.3422181255593599,0.004688287031655613,1.0
intensity,11.923333333333316,2,48,5.961666666666658,1.581052709123722,0.2162857464394832,0.22211506743969744,0.03001518800399415,0.6431503946686277
substance * intensity,6.310000000000018,2,48,3.155000000000009,5.800817160367735,0.005541070185330924,0.009013361371306323,0.016112146669049913,0.8334660478912691
