intensity,n,t,p,mean_sucrose,mean_sucralose,mean_diff,p_fdr
5,23,2.952728135011975,0.007356359468942387,5.869565217391305,5.021739130434782,0.8478260869565217,0.022069078406827165
7,23,0.06435500186512498,0.9492687451576843,5.826086956521739,5.804347826086956,0.021739130434782608,1.0
12,23,0.0,1.0,5.065217391304348,5.065217391304348,0.0,1.0
