ma_mau,substance,intensity,n,liking_mean,liking_sem,sweetness_jar_mean,sweetness_jar_sem,aftertaste_mean,aftertaste_sem
H2O,Water,0,50,4.44,0.33583280582663116,1.1,0.058901508937395146,1.08,0.05598833697790121
S1_12,Sucrose,12,50,5.04,0.3568112746456952,4.06,0.14116136373754998,3.78,0.15462924717411206
S1_5,Sucrose,5,50,5.84,0.19242809417694556,2.76,0.11972758194146835,2.42,0.13428571428571429
S1_7,Sucrose,7,50,5.72,0.2374008923181827,3.26,0.13033708260522336,3.1,0.14638501094227996
S2_12,Sucralose,12,50,5.1,0.3120047095405936,4.0,0.14568627181693672,3.92,0.1507532109516905
S2_5,Sucralose,5,50,5.04,0.24571428571428572,1.92,0.10629185850136157,1.88,0.12980361933257767
S2_7,Sucralose,7,50,5.8,0.19378085666072195,2.84,0.13510389048613586,2.84,0.13510389048613586
