Source,SS,ddof1,ddof2,MS,F,p_unc,p_GG_corr,ng2,eps
substance,6.521739130434774,1,22,6.521739130434774,22.732491389207713,9.256534172049532e-05,9.256534172049532e-05,0.07403751233958528,1.0
intensity,66.7427536231884,2,44,33.3713768115942,87.19061962134246,4.934256337294354e-16,7.892945369307864e-15,0.45002809469132476,0.91277462580046
substance * intensity,4.054347826086939,2,44,2.0271739130434696,6.43439623627807,0.003537779285213468,0.00511246325514726,0.04735305319283971,0.8889547721360013
