epoch,n_inner_folds,mean_validation_balanced_accuracy,mean_validation_macro_f1,mean_validation_loss
1,3,0.5205314009661836,0.3818571106603561,0.7237848423776172
2,3,0.5271739130434783,0.39497833399245624,0.7120593224252975
3,3,0.519927536231884,0.38784001664326206,0.7029657324155173
4,3,0.4840950736752836,0.4327971913262733,0.6970239048912411
5,3,0.49652067905441216,0.4710037878787879,0.6945172196342831
6,3,0.49879227053140096,0.43111243523537374,0.693155536765144
7,3,0.49094202898550726,0.43201689524017084,0.6940064634595599
8,3,0.5285595838444413,0.49870773733709767,0.6957746732802619
9,3,0.5645340208683537,0.5628943378509774,0.6959654359590438
10,3,0.4904063119955174,0.4693686653405324,0.6972681686991736
11,3,0.5245691548165312,0.4721629583148133,0.6994964838027955
12,3,0.5522920358002816,0.5283968676400025,0.6985657328651064
