filter,n_samples,n_subjects,majority_baseline,strategy,K,model,accuracy,balanced_acc,f1
strict,90,27,0.7888888888888889,std+wins,15,LogReg_C1,0.6,0.5730170496664195,0.533410138248848
strict,90,27,0.7888888888888889,std+wins,15,LogReg_C10,0.6,0.5730170496664195,0.533410138248848
strict,90,27,0.7888888888888889,std+wins,15,SVM_RBF,0.5666666666666667,0.39770200148257967,0.40417586148361906
strict,90,27,0.7888888888888889,std+wins,15,RForest,0.7777777777777778,0.49295774647887325,0.4375
strict,90,27,0.7888888888888889,std+wins,15,GradBoost,0.6666666666666666,0.4225352112676056,0.4
strict,90,27,0.7888888888888889,std+wins,20,LogReg_C0.1,0.5444444444444444,0.49925871015567086,0.47368421052631576
strict,90,27,0.7888888888888889,std+wins,20,LogReg_C1,0.5888888888888889,0.5274277242401779,0.5052741048878324
strict,90,27,0.7888888888888889,std+wins,20,LogReg_C10,0.6,0.5344699777613047,0.5132211538461539
strict,90,27,0.7888888888888889,std+wins,20,SVM_RBF,0.6,0.4381022979985174,0.4409937888198757
strict,90,27,0.7888888888888889,std+wins,20,RForest,0.7888888888888889,0.5,0.4409937888198758
