epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,validation_trial_balanced_accuracy,validation_trial_macro_f1,validation_condition_balanced_accuracy,validation_condition_macro_f1,learning_rate
1,1.1111829137802125,0.3788235294117647,1.0933589277267457,0.392,0.3352380952380953,0.23019350127783866,0.34761904761904766,0.2558922558922559,0.001
2,1.0897982137343463,0.36,1.10094659614563,0.32,0.3116666666666667,0.24102940277523077,0.325,0.20683760683760685,0.001
3,1.0734152551258311,0.4258823529411765,1.1281820631027222,0.368,0.3852380952380952,0.3467228112389402,0.39404761904761904,0.3223931623931624,0.001
4,1.051401585410623,0.42823529411764705,1.078541953086853,0.408,0.39119047619047626,0.3876396283536903,0.3666666666666667,0.3308270676691729,0.001
5,1.0432933165045346,0.45176470588235296,1.1670383443832397,0.32,0.3371428571428572,0.25195767195767194,0.3333333333333333,0.16161616161616163,0.001
6,1.0331095544029685,0.4423529411764706,1.1346404809951782,0.432,0.41238095238095235,0.4107109612060107,0.33928571428571425,0.33559577677224733,0.001
7,1.0409222232594209,0.4588235294117647,1.1610997905731202,0.264,0.2592857142857143,0.25305401863715776,0.21428571428571427,0.16883116883116886,0.001
8,1.0157036089897156,0.5105882352941177,1.134317352294922,0.392,0.3935714285714286,0.390511927097293,0.39285714285714285,0.41111111111111115,0.001
9,1.016796729704913,0.4541176470588235,1.2279036254882814,0.304,0.29523809523809524,0.2723809035653113,0.325,0.20609318996415774,0.001
10,1.0095414063509773,0.4682352941176471,1.1817059259414673,0.368,0.38880952380952377,0.3656484491242092,0.3345238095238095,0.3239962651727358,0.001
11,0.9925642518436207,0.4776470588235294,1.2401981410980225,0.32,0.33476190476190476,0.3228404737025427,0.29285714285714287,0.28478057889822594,0.001
12,0.9975482961710762,0.5223529411764706,1.1527570753097534,0.272,0.2680952380952381,0.26202047096939457,0.2035714285714286,0.19576719576719578,0.001
13,0.9957114184603971,0.47294117647058825,1.369529426574707,0.472,0.48619047619047623,0.4432234432234432,0.49404761904761907,0.44166666666666665,0.001
14,0.9891412781266605,0.4823529411764706,1.1632250385284424,0.408,0.40523809523809523,0.40048320670146126,0.3511904761904762,0.34736048265460023,0.001
15,0.9620562386512757,0.5576470588235294,1.3267126674652099,0.416,0.4064285714285714,0.3799013299013299,0.38928571428571423,0.38492063492063494,0.001
16,0.9550495083191816,0.5011764705882353,1.2888598670959472,0.392,0.3807142857142857,0.3788362224926812,0.4702380952380952,0.4619883040935672,0.001
17,0.9270994312622968,0.5294117647058824,1.296873734474182,0.4,0.3904761904761905,0.39043859649122803,0.39285714285714285,0.3883237505528527,0.001
18,0.9387098810252021,0.5176470588235295,1.3664453086853028,0.376,0.37857142857142856,0.3713268345995875,0.43452380952380953,0.4351851851851852,0.001
19,0.932330775681664,0.5247058823529411,1.2656138792037963,0.416,0.40071428571428575,0.398491779807697,0.38690476190476186,0.38629426129426125,0.001
20,0.892421101401834,0.5858823529411765,1.6049461421966553,0.416,0.40499999999999997,0.4005774591796097,0.42857142857142855,0.4444444444444445,0.001
21,0.8875668301301844,0.5811764705882353,1.6011932601928711,0.36,0.3578571428571429,0.347868894934577,0.3952380952380952,0.4000000000000001,0.001
22,0.9014111145804911,0.56,1.449327579498291,0.432,0.4311904761904762,0.4326770496620629,0.38690476190476186,0.41176470588235287,0.001
23,0.8719708087865045,0.5882352941176471,1.4724003534317016,0.4,0.3930952380952381,0.36716024317102486,0.4321428571428571,0.40105820105820106,0.001
24,0.8947906937318689,0.5694117647058824,1.4938842906951904,0.424,0.41071428571428575,0.40740740740740744,0.38095238095238093,0.37407407407407406,0.001
25,0.89468386369593,0.5741176470588235,1.6433920440673828,0.392,0.3954761904761905,0.37474295937507246,0.44047619047619047,0.4385026737967914,0.001
