epoch,loss,accuracy
1,1.1127269812063738,0.36363636363636365
2,1.0681615803458473,0.44181818181818183
3,1.0683233486522328,0.4
4,1.0572933795235373,0.43272727272727274
5,1.0558753098141063,0.43272727272727274
6,1.0522045664353805,0.4309090909090909
7,1.0494908675280483,0.4218181818181818
8,1.0446622425859624,0.45636363636363636
9,1.0015635403719816,0.46545454545454545
10,0.9992964259060947,0.4890909090909091
11,1.0158577580885453,0.45454545454545453
12,1.0067165474458175,0.48727272727272725
13,0.9988708964261142,0.46
