epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,validation_trial_balanced_accuracy,validation_trial_macro_f1,validation_condition_balanced_accuracy,validation_condition_macro_f1,learning_rate
1,1.1200760867860582,0.3377777777777778,1.0868168029785157,0.36,0.3619047619047619,0.29708990292931897,0.39166666666666666,0.3,0.001
2,1.083821145693461,0.3844444444444444,1.5589161128997804,0.384,0.3666666666666667,0.2961139440829963,0.3833333333333333,0.31070889894419307,0.001
3,1.0615046665403578,0.42444444444444446,1.1207700624465942,0.384,0.38857142857142857,0.374313010328336,0.3369047619047619,0.29572649572649573,0.001
4,1.0460604619979859,0.4822222222222222,1.1071142339706421,0.448,0.42666666666666675,0.4107372457409986,0.41785714285714287,0.39335232668566,0.001
5,1.0280303382873535,0.4622222222222222,1.1383708672523498,0.376,0.3680952380952381,0.36972059779077315,0.3452380952380952,0.34492753623188405,0.001
6,1.0148303667704264,0.44222222222222224,1.1712045803070068,0.328,0.3526190476190476,0.2818342151675485,0.33928571428571425,0.22152560083594564,0.001
7,1.0074478970633614,0.4822222222222222,1.1213052434921265,0.392,0.37785714285714284,0.3552670358477981,0.46547619047619043,0.42959001782531203,0.001
8,0.9882265710830689,0.5155555555555555,1.2930545148849488,0.328,0.344047619047619,0.2920760102446976,0.2976190476190476,0.20346320346320343,0.001
9,0.9995551694764031,0.4911111111111111,1.1398540892601012,0.416,0.43166666666666664,0.4143453017250414,0.4071428571428572,0.39389978213507626,0.001
10,0.9800558678309123,0.5177777777777778,1.1927151327133179,0.408,0.4157142857142857,0.4097994921635584,0.4238095238095238,0.4000000000000001,0.001
11,0.9964275333616469,0.4888888888888889,1.190284260749817,0.408,0.3985714285714286,0.3975445625931063,0.33095238095238094,0.31616161616161614,0.001
12,0.9769193914201525,0.46444444444444444,1.396010684967041,0.376,0.3780952380952381,0.3215156054813338,0.3726190476190476,0.29444444444444445,0.001
13,0.9653657865524292,0.49333333333333335,1.2152493381500244,0.4,0.3973809523809524,0.3878482804278099,0.36428571428571427,0.31555555555555553,0.001
14,0.9327185911602444,0.5511111111111111,1.424890058517456,0.336,0.3240476190476191,0.28594958594958597,0.35000000000000003,0.27149321266968324,0.001
15,0.9686069255405002,0.5133333333333333,1.3240774097442627,0.376,0.36000000000000004,0.35652270601547525,0.4142857142857143,0.39613526570048313,0.001
16,0.9080210261874728,0.5666666666666667,1.2914846143722534,0.304,0.3273809523809524,0.28826705940108005,0.21428571428571427,0.15555555555555556,0.001
17,0.9043684646818373,0.5488888888888889,1.324795407295227,0.344,0.34023809523809523,0.3070519816686166,0.3988095238095238,0.3657477025898079,0.001
18,0.9421210861206055,0.5466666666666666,1.8927652072906493,0.368,0.35333333333333333,0.2838709677419355,0.35000000000000003,0.2731481481481481,0.001
19,0.9157978630065918,0.5333333333333333,1.2962448735237122,0.344,0.33071428571428574,0.330605900532493,0.3119047619047619,0.3156565656565656,0.001
