epoch,n_inner_folds,mean_validation_balanced_accuracy,mean_validation_macro_f1,mean_validation_loss
1,3,0.5013264379206408,0.32352316623416366,0.6986352557227725
2,3,0.5300811641391352,0.4112536417549739,0.6958660710425604
3,3,0.4790866674924646,0.3688102021435355,0.6965290506680807
4,3,0.47899007862775983,0.36669330219025964,0.697136630330767
5,3,0.52950384290964,0.4696327996516693,0.6961888358706521
6,3,0.5071984510390307,0.43538596237148236,0.696262140501113
7,3,0.4752415458937198,0.41047214905862844,0.6953405334835961
8,3,0.49094202898550726,0.42814891673539607,0.6955040381068276
9,3,0.4720880300590445,0.38978015448603687,0.6953384722982134
10,3,0.4720880300590445,0.38978015448603687,0.696743951525007
11,3,0.4779976464759073,0.43370811167513573,0.6959533526783898
