fold,experiment,C,balanced_accuracy,macro_f1,negative_log_likelihood,code_C,face_C,alpha_face
1,code_only,0.001,0.5905572755417956,0.5870870870870871,0.691731411369999,,,
1,code_only,0.01,0.5905572755417956,0.5870870870870871,0.6817499780159034,,,
1,code_only,0.1,0.5673374613003096,0.5528455284552846,0.6774890024933939,,,
1,code_only,1.0,0.5673374613003096,0.5528455284552846,0.7059054483480552,,,
1,code_only,10.0,0.5673374613003096,0.5528455284552846,0.7403107905743677,,,
1,face_raw,0.001,0.4729102167182663,0.47115384615384615,0.6814758095522297,,,
1,face_raw,0.01,0.46478328173374617,0.46100449162923646,0.7727145335454998,,,
1,face_raw,0.1,0.4713622291021672,0.46695535622229095,1.1790050622009016,,,
1,face_raw,1.0,0.4713622291021672,0.46695535622229095,1.8599344014359378,,,
1,face_raw,10.0,0.4713622291021672,0.46695535622229095,8.933847353426716,,,
1,face_trial_delta,0.001,0.49109907120743035,0.48488718603661135,0.6759610398915255,,,
1,face_trial_delta,0.01,0.4860681114551083,0.48346263781135157,0.7392995604048774,,,
1,face_trial_delta,0.1,0.5058049535603715,0.5020528476681756,1.1270829483443445,,,
1,face_trial_delta,1.0,0.5058049535603715,0.5020528476681756,1.7898434618348047,,,
1,face_trial_delta,10.0,0.5073529411764706,0.5059207839934666,8.84787897516057,,,
1,face_water_delta,0.001,0.44272445820433437,0.43181818181818177,0.7240836759911304,,,
1,face_water_delta,0.01,0.4643962848297214,0.4639080459770115,0.8653814528145939,,,
1,face_water_delta,0.1,0.49226006191950467,0.4909292854498334,1.3455858985066953,,,
1,face_water_delta,1.0,0.49226006191950467,0.4909292854498334,2.1448510373076592,,,
1,face_water_delta,10.0,0.49226006191950467,0.4909292854498334,9.315862043028634,,,
1,fusion_raw,,0.5905572755417956,0.5870870870870871,0.691731411369999,0.001,0.001,0.0
1,fusion_raw,,0.5236068111455109,0.5238095238095238,0.6890811759009876,0.001,0.001,0.1
1,fusion_raw,,0.5139318885448917,0.5123208578203938,0.6857978169052873,0.001,0.001,0.25
1,fusion_raw,,0.4794891640866873,0.47730259832170663,0.6821535308165118,0.001,0.001,0.5
1,fusion_raw,,0.4729102167182663,0.47115384615384615,0.6807422804941732,0.001,0.001,0.75
1,fusion_raw,,0.4729102167182663,0.47115384615384615,0.6809317755561689,0.001,0.001,0.9
1,fusion_raw,,0.4729102167182663,0.47115384615384615,0.6814758095522297,0.001,0.001,1.0
1,fusion_raw,,0.5905572755417956,0.5870870870870871,0.691731411369999,0.001,0.01,0.0
1,fusion_raw,,0.5058049535603715,0.5020528476681756,0.6849854630948264,0.001,0.01,0.1
1,fusion_raw,,0.4713622291021672,0.46695535622229095,0.6821839892736133,0.001,0.01,0.25
1,fusion_raw,,0.4713622291021672,0.46695535622229095,0.695352754043043,0.001,0.01,0.5
1,fusion_raw,,0.46478328173374617,0.46100449162923646,0.7269911390322863,0.001,0.01,0.75
1,fusion_raw,,0.46478328173374617,0.46100449162923646,0.7529817987333677,0.001,0.01,0.9
1,fusion_raw,,0.46478328173374617,0.46100449162923646,0.7727145335454998,0.001,0.01,1.0
1,fusion_raw,,0.5905572755417956,0.5870870870870871,0.691731411369999,0.001,0.1,0.0
1,fusion_raw,,0.4779411764705882,0.47291666666666665,0.6825009134460782,0.001,0.1,0.1
1,fusion_raw,,0.4713622291021672,0.46695535622229095,0.706317314149436,0.001,0.1,0.25
1,fusion_raw,,0.4713622291021672,0.46695535622229095,0.8187516741059739,0.001,0.1,0.5
1,fusion_raw,,0.4713622291021672,0.46695535622229095,0.984446632844137,0.001,0.1,0.75
1,fusion_raw,,0.4713622291021672,0.46695535622229095,1.0986596133292903,0.001,0.1,0.9
1,fusion_raw,,0.4713622291021672,0.46695535622229095,1.1790050622009016,0.001,0.1,1.0
1,fusion_raw,,0.5905572755417956,0.5870870870870871,0.691731411369999,0.001,1.0,0.0
1,fusion_raw,,0.4713622291021672,0.46695535622229095,0.6895168180431395,0.001,1.0,0.1
1,fusion_raw,,0.4713622291021672,0.46695535622229095,0.786353175400359,0.001,1.0,0.25
1,fusion_raw,,0.4713622291021672,0.46695535622229095,1.0868252201410113,0.001,1.0,0.5
1,fusion_raw,,0.4713622291021672,0.46695535622229095,1.4586395738094668,0.001,1.0,0.75
1,fusion_raw,,0.4713622291021672,0.46695535622229095,1.6971218227866904,0.001,1.0,0.9
1,fusion_raw,,0.4713622291021672,0.46695535622229095,1.8599344014359378,0.001,1.0,1.0
1,fusion_raw,,0.5905572755417956,0.5870870870870871,0.691731411369999,0.001,10.0,0.0
1,fusion_raw,,0.4713622291021672,0.46695535622229095,1.3353727616411024,0.001,10.0,0.1
1,fusion_raw,,0.4713622291021672,0.46695535622229095,2.4873888826170556,0.001,10.0,0.25
1,fusion_raw,,0.4713622291021672,0.46695535622229095,4.580587651740973,0.001,10.0,0.5
1,fusion_raw,,0.4713622291021672,0.46695535622229095,6.744795522112944,0.001,10.0,0.75
1,fusion_raw,,0.4713622291021672,0.46695535622229095,8.056437873539855,0.001,10.0,0.9
1,fusion_raw,,0.4713622291021672,0.46695535622229095,8.933847353426716,0.001,10.0,1.0
1,fusion_raw,,0.5905572755417956,0.5870870870870871,0.6817499780159035,0.01,0.001,0.0
1,fusion_raw,,0.6052631578947368,0.6002236511042773,0.6798407401472343,0.01,0.001,0.1
1,fusion_raw,,0.5692724458204335,0.5664414414414415,0.6777750096302547,0.01,0.001,0.25
1,fusion_raw,,0.5301857585139319,0.5305210918114144,0.6764484454255508,0.01,0.001,0.5
1,fusion_raw,,0.5139318885448917,0.5123208578203938,0.677715210912383,0.01,0.001,0.75
1,fusion_raw,,0.4794891640866873,0.47730259832170663,0.6796802264260361,0.01,0.001,0.9
1,fusion_raw,,0.4729102167182663,0.47115384615384615,0.6814758095522297,0.01,0.001,1.0
1,fusion_raw,,0.5905572755417956,0.5870870870870871,0.6817499780159035,0.01,0.01,0.0
1,fusion_raw,,0.538312693498452,0.538581601794947,0.6755484869498264,0.01,0.01,0.1
1,fusion_raw,,0.5073529411764706,0.5059207839934666,0.6737544290487245,0.01,0.01,0.25
1,fusion_raw,,0.5058049535603715,0.5020528476681756,0.6891612134574101,0.01,0.01,0.5
1,fusion_raw,,0.4713622291021672,0.46695535622229095,0.7236656008155841,0.01,0.01,0.75
1,fusion_raw,,0.4713622291021672,0.46695535622229095,0.7516075036196685,0.01,0.01,0.9
1,fusion_raw,,0.46478328173374617,0.46100449162923646,0.7727145335454998,0.01,0.01,1.0
1,fusion_raw,,0.5905572755417956,0.5870870870870871,0.6817499780159035,0.01,0.1,0.0
1,fusion_raw,,0.5007739938080495,0.4995450409463148,0.672669623767187,0.01,0.1,0.1
1,fusion_raw,,0.4713622291021672,0.46695535622229095,0.6971034764606311,0.01,0.1,0.25
1,fusion_raw,,0.4779411764705882,0.47291666666666665,0.8117864609026034,0.01,0.1,0.5
1,fusion_raw,,0.4713622291021672,0.46695535622229095,0.9807405848604022,0.01,0.1,0.75
1,fusion_raw,,0.4713622291021672,0.46695535622229095,1.0971482773530106,0.01,0.1,0.9
1,fusion_raw,,0.4713622291021672,0.46695535622229095,1.1790050622009016,0.01,0.1,1.0
1,fusion_raw,,0.5905572755417956,0.5870870870870871,0.6817499780159035,0.01,1.0,0.0
1,fusion_raw,,0.48452012383900933,0.47889251500157914,0.6792150579358877,0.01,1.0,0.1
1,fusion_raw,,0.4713622291021672,0.46695535622229095,0.7763874650845645,0.01,1.0,0.25
1,fusion_raw,,0.4713622291021672,0.46695535622229095,1.0795328283582726,0.01,1.0,0.5
1,fusion_raw,,0.4713622291021672,0.46695535622229095,1.4549693840447622,0.01,1.0,0.75
1,fusion_raw,,0.4713622291021672,0.46695535622229095,1.6956699167611995,0.01,1.0,0.9
1,fusion_raw,,0.4713622291021672,0.46695535622229095,1.8599344014359378,0.01,1.0,1.0
1,fusion_raw,,0.5905572755417956,0.5870870870870871,0.6817499780159035,0.01,10.0,0.0
1,fusion_raw,,0.49264705882352944,0.48963810702134236,1.3246246351616533,0.01,10.0,0.1
1,fusion_raw,,0.48452012383900933,0.47889251500157914,2.4768137725692565,0.01,10.0,0.25
1,fusion_raw,,0.4713622291021672,0.46695535622229095,4.573223652839761,0.01,10.0,0.5
1,fusion_raw,,0.4713622291021672,0.46695535622229095,6.741214518720427,0.01,10.0,0.75
1,fusion_raw,,0.4713622291021672,0.46695535622229095,8.055035981411072,0.01,10.0,0.9
1,fusion_raw,,0.4713622291021672,0.46695535622229095,8.933847353426716,0.01,10.0,1.0
1,fusion_raw,,0.5673374613003096,0.5528455284552846,0.6774890024933939,0.1,0.001,0.0
1,fusion_raw,,0.5855263157894737,0.5778508771929824,0.6730014700642467,0.1,0.001,0.1
1,fusion_raw,,0.614938080495356,0.6027446731672084,0.6682360813776766,0.1,0.001,0.25
1,fusion_raw,,0.5692724458204335,0.5664414414414415,0.6657138486896383,0.1,0.001,0.5
1,fusion_raw,,0.5301857585139319,0.5305210918114144,0.6701279764647241,0.1,0.001,0.75
1,fusion_raw,,0.5139318885448917,0.5123208578203938,0.6761134845062204,0.1,0.001,0.9
1,fusion_raw,,0.4729102167182663,0.47115384615384615,0.6814758095522297,0.1,0.001,1.0
1,fusion_raw,,0.5673374613003096,0.5528455284552846,0.6774890024933939,0.1,0.01,0.0
1,fusion_raw,,0.608359133126935,0.5951162581919383,0.668083941148312,0.1,0.01,0.1
1,fusion_raw,,0.538312693498452,0.538581601794947,0.6628338042004556,0.1,0.01,0.25
1,fusion_raw,,0.5073529411764706,0.5059207839934666,0.6767494934963573,0.1,0.01,0.5
1,fusion_raw,,0.5058049535603715,0.5020528476681756,0.7151528925844299,0.1,0.01,0.75
1,fusion_raw,,0.4713622291021672,0.46695535622229095,0.7477135731526491,0.1,0.01,0.9
1,fusion_raw,,0.46478328173374617,0.46100449162923646,0.7727145335454998,0.1,0.01,1.0
1,fusion_raw,,0.5673374613003096,0.5528455284552846,0.6774890024933939,0.1,0.1,0.0
1,fusion_raw,,0.5971362229102167,0.5944796294545799,0.6637062313985632,0.1,0.1,0.1
1,fusion_raw,,0.5286377708978328,0.5283789301755818,0.6827011959154544,0.1,0.1,0.25
1,fusion_raw,,0.4713622291021672,0.46695535622229095,0.7956835952167312,0.1,0.1,0.5
1,fusion_raw,,0.4779411764705882,0.47291666666666665,0.9705337293180367,0.1,0.1,0.75
1,fusion_raw,,0.4779411764705882,0.47291666666666665,1.092716028763017,0.1,0.1,0.9
1,fusion_raw,,0.4713622291021672,0.46695535622229095,1.1790050622009016,0.1,0.1,1.0
1,fusion_raw,,0.5673374613003096,0.5528455284552846,0.6774890024933939,0.1,1.0,0.0
1,fusion_raw,,0.5661764705882353,0.5670995670995671,0.668098382520586,0.1,1.0,0.1
1,fusion_raw,,0.5058049535603715,0.5020528476681756,0.7577153149416168,0.1,1.0,0.25
1,fusion_raw,,0.4713622291021672,0.46695535622229095,1.0609056831644974,0.1,1.0,0.5
1,fusion_raw,,0.4713622291021672,0.46695535622229095,1.4444531240454108,0.1,1.0,0.75
1,fusion_raw,,0.4713622291021672,0.46695535622229095,1.6913399158270608,0.1,1.0,0.9
1,fusion_raw,,0.4713622291021672,0.46695535622229095,1.8599344014359378,0.1,1.0,1.0
1,fusion_raw,,0.5673374613003096,0.5528455284552846,0.6774890024933939,0.1,10.0,0.0
1,fusion_raw,,0.5367647058823529,0.5372596153846154,1.310960154745881,0.1,10.0,0.1
1,fusion_raw,,0.49922600619195046,0.49583333333333335,2.454388616203171,0.1,10.0,0.25
1,fusion_raw,,0.48452012383900933,0.47889251500157914,4.553467789185644,0.1,10.0,0.5
1,fusion_raw,,0.4713622291021672,0.46695535622229095,6.730782273804973,0.1,10.0,0.75
1,fusion_raw,,0.4713622291021672,0.46695535622229095,8.05083201718926,0.1,10.0,0.9
1,fusion_raw,,0.4713622291021672,0.46695535622229095,8.933847353426716,0.1,10.0,1.0
1,fusion_raw,,0.5673374613003096,0.5528455284552846,0.7059054483480552,1.0,0.001,0.0
1,fusion_raw,,0.5739164086687307,0.5603517186250999,0.695167237483573,1.0,0.001,0.1
1,fusion_raw,,0.5952012383900929,0.5798916422417622,0.6820008460979408,1.0,0.001,0.25
1,fusion_raw,,0.5789473684210527,0.5704295704295704,0.6687892740495898,1.0,0.001,0.5
1,fusion_raw,,0.5251547987616099,0.5249064209617046,0.668056312523788,1.0,0.001,0.75
1,fusion_raw,,0.5286377708978328,0.5283789301755818,0.6743293290612771,1.0,0.001,0.9
1,fusion_raw,,0.4729102167182663,0.47115384615384615,0.6814758095522297,1.0,0.001,1.0
1,fusion_raw,,0.5673374613003096,0.5528455284552846,0.7059054483480552,1.0,0.01,0.0
1,fusion_raw,,0.5936532507739938,0.5828819068255688,0.6899547646213765,1.0,0.01,0.1
1,fusion_raw,,0.5905572755417956,0.5870870870870871,0.6759953012083945,1.0,0.01,0.25
1,fusion_raw,,0.5367647058823529,0.5372596153846154,0.6793733987035918,1.0,0.01,0.5
1,fusion_raw,,0.5205108359133127,0.5187499999999999,0.7132372672208113,1.0,0.01,0.75
1,fusion_raw,,0.4779411764705882,0.47291666666666665,0.7461715376491893,1.0,0.01,0.9
1,fusion_raw,,0.46478328173374617,0.46100449162923646,0.7727145335454998,1.0,0.01,1.0
1,fusion_raw,,0.5673374613003096,0.5528455284552846,0.7059054483480552,1.0,0.1,0.0
1,fusion_raw,,0.6002321981424148,0.5904095904095904,0.6846387130291455,1.0,0.1,0.1
1,fusion_raw,,0.544891640866873,0.5454545454545454,0.6932924630064498,1.0,0.1,0.25
1,fusion_raw,,0.48452012383900933,0.47889251500157914,0.7949934686901604,1.0,0.1,0.5
