experiment,n,accuracy,balanced_accuracy,macro_f1,per_class_recall,per_class_precision,per_class_f1,support,mae,quadratic_weighted_kappa
code_only,140,0.6714285714285714,0.6557765151515151,0.6422222222222222,"[0.6979166666666666, 0.6136363636363636]","[0.7976190476190477, 0.48214285714285715]","[0.7444444444444444, 0.54]","[96, 44]",0.32857142857142857,0.2901234567901234
face_raw,140,0.5285714285714286,0.44696969696969696,0.4461759769839367,"[0.6666666666666666, 0.22727272727272727]","[0.6530612244897959, 0.23809523809523808]","[0.6597938144329897, 0.23255813953488372]","[96, 44]",0.4714285714285714,-0.10738255033557054
face_trial_delta,140,0.5642857142857143,0.48532196969696967,0.4847662141779788,"[0.6979166666666666, 0.2727272727272727]","[0.6767676767676768, 0.2926829268292683]","[0.6871794871794872, 0.28235294117647053]","[96, 44]",0.4357142857142857,-0.029908345393150126
face_water_delta,140,0.6214285714285714,0.5516098484848485,0.5523378582202112,"[0.7395833333333334, 0.36363636363636365]","[0.7171717171717171, 0.3902439024390244]","[0.7282051282051282, 0.3764705882352941]","[96, 44]",0.37857142857142856,0.1051616015436565
fusion_raw,140,0.6285714285714286,0.606060606060606,0.5955555555555555,"[0.6666666666666666, 0.5454545454545454]","[0.7619047619047619, 0.42857142857142855]","[0.7111111111111111, 0.4799999999999999]","[96, 44]",0.37142857142857144,0.19753086419753085
fusion_trial_delta,140,0.5857142857142857,0.556344696969697,0.5488888888888889,"[0.6354166666666666, 0.4772727272727273]","[0.7261904761904762, 0.375]","[0.6777777777777777, 0.42]","[96, 44]",0.4142857142857143,0.10493827160493818
fusion_water_delta,140,0.6285714285714286,0.59375,0.5878623188405797,"[0.6875, 0.5]","[0.75, 0.4230769230769231]","[0.717391304347826, 0.4583333333333333]","[96, 44]",0.37142857142857144,0.1787003610108303
