epoch,n_inner_folds,mean_validation_balanced_accuracy,mean_validation_macro_f1,mean_validation_loss
1,3,0.5,0.41047214905862833,0.7063292009489878
2,3,0.5,0.41047214905862833,0.7022406555357433
3,3,0.49404761904761907,0.40754560530679934,0.694420377981095
4,3,0.501984126984127,0.4287728026533996,0.6920917550722757
5,3,0.49404761904761907,0.40754560530679934,0.6922923014277503
6,3,0.49404761904761907,0.40754560530679934,0.6921193156923566
7,3,0.5092063492063492,0.44700491188127156,0.6940723101298015
8,3,0.44373015873015875,0.37698212746895227,0.6935094413303192
9,3,0.5065873015873016,0.40750848777206344,0.6934984139033727
10,3,0.4603174603174603,0.39821724709784406,0.694205531619844
11,3,0.48412698412698413,0.42340039728099427,0.6944998366492134
12,3,0.47547619047619044,0.3746834833098431,0.6955329667954219
13,3,0.47214285714285714,0.3885852124658095,0.6966300016357785
14,3,0.4886507936507936,0.44261869188628583,0.6983500157083785
15,3,0.4920634920634921,0.40655058043117737,0.695382995832534
16,3,0.4920634920634921,0.40655058043117737,0.6947700812703087
