model,accuracy,balanced_accuracy,f1_weighted
LogisticRegression,0.4900497512437811,0.33425864048390136,0.3350446789136398
SVM (RBF),0.2885572139303483,0.26980879259435936,0.3049513527209368
RandomForest,0.38930348258706465,0.2990421519879932,0.35246798776768196
