fold,selected_epochs,inner_selected_epochs,n_train_conditions,n_test_conditions,train_subjects,test_subjects,residual_gate,n,accuracy,balanced_accuracy,macro_f1,loss,mae,quadratic_weighted_kappa
1,12,9|18|12,110,30,P001|P002|P005|P006|P007|P008|P009|P010|P014|P015|P016|P017|P018|P019|P020|P021|P023|P025|P026|P028|P029|P030,P003|P004|P011|P013|P024|P027,0.10244476795196533,30,0.6666666666666666,0.7,0.6606334841628959,0.6241718828678131,0.3333333333333333,0.34782608695652173
2,5,15|5|1,110,30,P002|P003|P004|P006|P007|P008|P009|P010|P011|P013|P014|P016|P017|P018|P019|P024|P025|P026|P027|P028|P029|P030,P001|P005|P015|P020|P021|P023,0.09993299841880798,30,0.7666666666666667,0.7698412698412698,0.7435897435897436,0.5764952580134074,0.23333333333333334,0.4927536231884059
3,12,14|12|7,110,30,P001|P002|P003|P004|P005|P008|P009|P010|P011|P013|P015|P018|P019|P020|P021|P023|P024|P025|P026|P027|P028|P029,P006|P007|P014|P016|P017|P030,0.10208311676979065,30,0.5333333333333333,0.5079365079365079,0.4976076555023924,0.8971866925557455,0.4666666666666667,0.014084507042253502
4,8,8|7|13,115,25,P001|P002|P003|P004|P005|P006|P007|P009|P011|P013|P014|P015|P016|P017|P020|P021|P023|P024|P025|P027|P028|P029|P030,P008|P010|P018|P019|P026,0.10111784934997559,25,0.6,0.6349206349206349,0.5833333333333334,0.6087672877311706,0.4,0.21383647798742134
5,7,3|7|13,115,25,P001|P003|P004|P005|P006|P007|P008|P010|P011|P013|P014|P015|P016|P017|P018|P019|P020|P021|P023|P024|P026|P027|P030,P002|P009|P025|P028|P029,0.10036502033472061,25,0.56,0.5347222222222222,0.533106960950764,0.6795941877365113,0.44,0.06779661016949157
