epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,validation_trial_balanced_accuracy,validation_trial_macro_f1,validation_condition_balanced_accuracy,validation_condition_macro_f1,learning_rate
1,1.1045926063201006,0.36,1.1185829191207886,0.312,0.2888888888888889,0.22417840375586853,0.2962962962962963,0.16161616161616163,0.001
2,1.074918150621302,0.4047058823529412,1.1560710892677306,0.328,0.3164021164021164,0.3079667510640753,0.22222222222222224,0.18937198067632852,0.001
3,1.025156358831069,0.43529411764705883,1.2279691610336303,0.272,0.2645502645502646,0.24431331069420473,0.2804232804232804,0.23589743589743586,0.001
4,1.03472471854266,0.4823529411764706,1.191989854812622,0.352,0.3322751322751323,0.30468839064486475,0.3703703703703704,0.2978395061728395,0.001
5,1.0527699045573964,0.4588235294117647,1.2217794437408447,0.256,0.23703703703703705,0.1932523616734143,0.22222222222222224,0.1634920634920635,0.001
6,0.9787682276613572,0.4988235294117647,1.3274244918823241,0.312,0.2888888888888889,0.2339861281109751,0.22222222222222224,0.16987179487179485,0.001
7,1.0222397945908939,0.48705882352941177,1.3680494017601013,0.248,0.22962962962962963,0.19907407407407407,0.25925925925925924,0.2074074074074074,0.001
8,1.0066934463557076,0.44941176470588234,1.2911312856674195,0.288,0.30687830687830686,0.2786415002137927,0.31216931216931215,0.24155844155844156,0.001
9,1.006554972564473,0.5105882352941177,1.2915358123779297,0.272,0.25396825396825395,0.2194053855344178,0.2962962962962963,0.24492753623188404,0.001
10,0.989321917926564,0.46352941176470586,1.3353818941116333,0.264,0.255026455026455,0.24629435107376282,0.2328042328042328,0.22491582491582496,0.001
11,0.9486873694027171,0.5694117647058824,1.4641471495628358,0.24,0.2222222222222222,0.1873249299719888,0.2222222222222222,0.18695652173913044,0.001
12,0.9526755703196806,0.5176470588235295,1.3851581969261169,0.288,0.27301587301587305,0.24780819466809803,0.22222222222222224,0.17499999999999996,0.001
13,0.9648964702381807,0.5035294117647059,1.4038587675094605,0.24,0.24338624338624337,0.24159800772704,0.20634920634920637,0.2003341687552214,0.001
14,0.9378760797837201,0.548235294117647,1.4608296136856078,0.264,0.2486772486772487,0.2326234256078669,0.25925925925925924,0.22121212121212122,0.001
15,0.9315506435843075,0.5529411764705883,1.420255736351013,0.2,0.19788359788359788,0.1974143503555268,0.1693121693121693,0.16053511705685616,0.001
16,0.9338749926230486,0.5364705882352941,1.5891744422912597,0.336,0.3111111111111111,0.24458204334365327,0.3333333333333333,0.25615763546798026,0.001
