epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,validation_trial_balanced_accuracy,validation_trial_macro_f1,validation_condition_balanced_accuracy,validation_condition_macro_f1,learning_rate
1,0.7090430461035835,0.5288888888888889,0.7569979190826416,0.656,0.4823529411764706,0.39613526570048313,0.5,0.40476190476190477,0.001
2,0.6970907203356425,0.5422222222222223,0.8645243709087371,0.512,0.4161764705882353,0.4098753966411269,0.4411764705882353,0.375,0.001
3,0.683810806274414,0.5733333333333334,0.8501003360748292,0.44,0.46911764705882353,0.43562951496388025,0.5477941176470589,0.512987012987013,0.001
4,0.6801220761405097,0.6111111111111112,1.091523225545883,0.616,0.45294117647058824,0.3811881188118812,0.5,0.40476190476190477,0.001
5,0.6559278249740601,0.6133333333333333,0.877837248802185,0.36,0.4566176470588235,0.3530020703933747,0.4632352941176471,0.3506493506493506,0.001
6,0.6447641234927707,0.6133333333333333,0.9630245850086212,0.52,0.44191176470588234,0.44096601073345265,0.4117647058823529,0.358974358974359,0.001
7,0.6209251255459256,0.6311111111111111,0.9374227800369263,0.528,0.4875,0.48530951217810037,0.48161764705882354,0.47916666666666663,0.001
8,0.6537275097105238,0.6333333333333333,1.0456476910114287,0.552,0.5183823529411765,0.513888888888889,0.41911764705882354,0.4206773618538324,0.001
9,0.629432063764996,0.6288888888888889,1.348677566766739,0.528,0.4345588235294118,0.4292237442922374,0.47058823529411764,0.39024390243902435,0.001
10,0.6223966256777446,0.6155555555555555,0.9462954454421997,0.44,0.48897058823529416,0.4391025641025641,0.5808823529411764,0.5192307692307692,0.001
11,0.6125920640097724,0.6577777777777778,1.0357390875816346,0.464,0.486764705882353,0.45719100395359386,0.5147058823529411,0.49999999999999994,0.001
12,0.6134059105979072,0.6644444444444444,0.9454006395339966,0.336,0.41911764705882354,0.3317230273752013,0.40441176470588236,0.25,0.001
13,0.5895731234550476,0.6688888888888889,1.1016087865829467,0.52,0.46838235294117647,0.46823596142938173,0.44485294117647056,0.4282744282744283,0.001
14,0.6026936590671539,0.6577777777777778,0.8903321180343627,0.408,0.4522058823529411,0.40705128205128205,0.3970588235294118,0.3589743589743589,0.001
15,0.5635117395718893,0.7066666666666667,1.1674138844013213,0.488,0.4713235294117647,0.46294307196562834,0.5698529411764706,0.5714285714285714,0.001
16,0.5793488587273492,0.6977777777777778,1.0360158395767212,0.544,0.5191176470588236,0.512019724676392,0.41911764705882354,0.4206773618538324,0.001
17,0.5731837948163351,0.6822222222222222,1.0686010413169862,0.456,0.4875,0.45175438596491224,0.5477941176470589,0.512987012987013,0.001
18,0.5745118126604292,0.7,1.1911223721504212,0.488,0.48455882352941176,0.4700582935877054,0.48161764705882354,0.47916666666666663,0.001
19,0.6210653119617038,0.7244444444444444,1.4303435325622558,0.576,0.45,0.42536213028016306,0.5,0.40476190476190477,0.001
20,0.5713067173957824,0.6866666666666666,1.0532440719604492,0.424,0.49044117647058827,0.423963133640553,0.5514705882352942,0.48,0.001
21,0.5796081646283467,0.7044444444444444,0.8890789856910706,0.544,0.4794117647058823,0.4795090948937103,0.47794117647058826,0.47619047619047616,0.001
22,0.5792921564314101,0.6933333333333334,1.1667338280677795,0.424,0.47058823529411764,0.42307692307692313,0.48897058823529416,0.4391025641025641,0.001
