model,sampling,K,accuracy,balanced_acc,f1_macro,rec_vua,rec_oth,oracle_bacc,oracle_thr
XGB_gpu,smote,11,0.5798,0.5236,0.5097,0.4138,0.6333,0.5557,0.65
XGB_gpu,smote,12,0.5714,0.5063,0.4961,0.3793,0.6333,0.533,0.66
XGB_gpu,smote,13,0.5966,0.5347,0.5221,0.4138,0.6556,0.5557,0.61
XGB_gpu,smote,14,0.5714,0.5063,0.4961,0.3793,0.6333,0.5619,0.6
XGB_gpu,smote,15,0.5966,0.5347,0.5221,0.4138,0.6556,0.5584,0.87
XGB_gpu,smote,16,0.5546,0.5186,0.4979,0.4483,0.5889,0.5391,0.62
XGB_gpu,smote,17,0.5882,0.5174,0.5082,0.3793,0.6556,0.5651,0.79
XGB_gpu,smote,18,0.5294,0.4435,0.4424,0.2759,0.6111,0.5207,0.72
XGB_gpu,smote,19,0.563,0.5125,0.4974,0.4138,0.6111,0.528,0.59
XGB_gpu,smote,20,0.5546,0.4718,0.4681,0.3103,0.6333,0.5299,0.16
XGB_gpu,smote,21,0.5378,0.4607,0.4566,0.3103,0.6111,0.5358,0.39
XGB_gpu,smote,22,0.5294,0.4318,0.4333,0.2414,0.6222,0.5096,0.7
XGB_gpu,smote,23,0.5882,0.4707,0.4711,0.2414,0.7,0.542,0.38
XGB_gpu,smote,24,0.563,0.4657,0.4647,0.2759,0.6556,0.5134,0.82
XGB_gpu,smote,25,0.5378,0.4374,0.4387,0.2414,0.6333,0.5134,0.86
XGB_gpu,smote,26,0.5798,0.4534,0.4547,0.2069,0.7,0.5299,0.14
XGB_gpu,smote,27,0.5966,0.4996,0.4968,0.3103,0.6889,0.5257,0.72
XGB_gpu,smote,28,0.605,0.5052,0.5026,0.3103,0.7,0.5379,0.66
XGB_gpu,smote,29,0.563,0.454,0.4549,0.2414,0.6667,0.5042,0.3
XGB_gpu,smote,30,0.5714,0.4596,0.4603,0.2414,0.6778,0.5314,0.32
GradBoost,smote,1,0.6134,0.5341,0.5265,0.3793,0.6889,0.5523,0.86
GradBoost,smote,2,0.5294,0.4318,0.4333,0.2414,0.6222,0.527,0.22
GradBoost,smote,3,0.5462,0.4663,0.4623,0.3103,0.6222,0.5115,0.16
GradBoost,smote,4,0.5462,0.4546,0.4536,0.2759,0.6333,0.5,0.9
GradBoost,smote,5,0.5798,0.4534,0.4547,0.2069,0.7,0.5117,0.9
GradBoost,smote,6,0.6555,0.5385,0.538,0.3103,0.7667,0.5496,0.52
GradBoost,smote,7,0.6807,0.5669,0.5669,0.3448,0.7889,0.5902,0.47
GradBoost,smote,8,0.6975,0.5897,0.5897,0.3793,0.8,0.5897,0.5
GradBoost,smote,9,0.6975,0.5897,0.5897,0.3793,0.8,0.6063,0.53
GradBoost,smote,10,0.6555,0.5502,0.5481,0.3448,0.7556,0.583,0.6
GradBoost,smote,11,0.6639,0.5674,0.5638,0.3793,0.7556,0.578,0.57
GradBoost,smote,12,0.6555,0.5385,0.538,0.3103,0.7667,0.549,0.59
GradBoost,smote,13,0.6555,0.5268,0.5271,0.2759,0.7778,0.5852,0.38
GradBoost,smote,14,0.6807,0.5552,0.5563,0.3103,0.8,0.5826,0.23
GradBoost,smote,15,0.6639,0.5324,0.533,0.2759,0.7889,0.5496,0.48
GradBoost,smote,16,0.6387,0.5274,0.5261,0.3103,0.7444,0.554,0.65
GradBoost,smote,17,0.5882,0.4473,0.4479,0.1724,0.7222,0.5075,0.29
GradBoost,smote,18,0.5966,0.4529,0.4529,0.1724,0.7333,0.5176,0.12
GradBoost,smote,19,0.6134,0.4757,0.4757,0.2069,0.7444,0.5347,0.37
GradBoost,smote,20,0.6387,0.4923,0.4916,0.2069,0.7778,0.5015,0.1
GradBoost,smote,21,0.6387,0.4807,0.4781,0.1724,0.7889,0.5059,0.12
GradBoost,smote,22,0.6471,0.4862,0.4833,0.1724,0.8,0.5031,0.18
GradBoost,smote,23,0.6303,0.4868,0.4863,0.2069,0.7667,0.5352,0.25
GradBoost,smote,24,0.6387,0.4807,0.4781,0.1724,0.7889,0.517,0.11
GradBoost,smote,25,0.6387,0.4807,0.4781,0.1724,0.7889,0.5464,0.27
GradBoost,smote,26,0.6303,0.4751,0.473,0.1724,0.7778,0.5285,0.31
GradBoost,smote,27,0.6555,0.5034,0.5024,0.2069,0.8,0.537,0.2
GradBoost,smote,28,0.6723,0.5146,0.5134,0.2069,0.8222,0.5218,0.39
GradBoost,smote,29,0.605,0.4234,0.4135,0.069,0.7778,0.5042,0.16
GradBoost,smote,30,0.6555,0.4801,0.4732,0.1379,0.8222,0.5326,0.15
